window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,42.118.225.67,9,5,3,5,5,1207,1206,218616.2857210165,28156.0138986922,28156.0138986922,0.5,0.998853862285614,7538
W1,42.118.228.124,6,5,1,5,5,1771,1760,123020.0459231593,3190.5798692085,3190.5798692085,0.08430120348930359,0.2142428159713745,7539
W1,42.118.25.154,6,5,2,0,0,413,385,2046.3170939504,-127.7592750354,-127.7592750354,0.23689964413642883,1.0,7540
W1,42.118.25.176,8,5,3,3,3,450,289,343515.5098367415,-19076.0876859250,-19076.0876859250,0.1216326504945755,0.43492957949638367,7541
W1,45.122.220.65,12,5,1,1,1,2713,1316,435480.9255044736,-17084.2442630114,-17084.2442630114,0.24845680594444275,1.0,7542
W1,45.136.253.134,31,5,2,3,3,614,566,45270.8462141299,5193.1543628580,5178.8676515510,0.1684664934873581,1.0,7543
W1,45.136.253.139,21,5,2,1,1,505,458,36029.7070497688,-997.9948138514,-1005.7566899290,0.06550219655036926,0.6699997782707214,7544
W1,49.131.17.214,5,5,1,2,2,3994,1745,974294.5950612460,-4887.3251596867,-4887.3251596867,0.4164589047431946,0.9962406158447266,7545
W1,49.150.206.118,19,5,4,3,3,420,417,2924.5982904246,162.6690296118,162.6690296118,0.15202699601650238,0.9757575988769531,7546
W1,49.215.22.37,5,5,0,1,1,2545,1998,33402.4724485973,-3999.2660048923,-3999.2660048923,0.007364899851381779,0.11025100201368332,7547
W1,49.215.84.46,5,5,0,0,0,2792,1778,34603.2532586435,-3063.6216740312,-3063.6216740312,0.03273690119385719,0.42322099208831787,7548
W1,49.215.89.195,5,5,0,1,1,3361,2358,79838.4143057465,-3261.1332543518,-3261.1332543518,0.05897330120205879,0.1910112053155899,7549
W1,49.216.182.130,7,5,1,0,0,526,269,5740.9931339611,-879.4327153121,-879.4327153121,0.028176400810480118,0.8553052544593811,7550
W1,49.216.206.193,8,5,1,3,3,969,521,12179.1715990852,17.9157125133,17.9157125133,0.08239780366420746,0.27906036376953125,7551
W1,49.216.98.137,9,5,2,2,2,1132,433,12750.6041400807,-43.2969618626,-43.2969618626,0.07276739925146103,0.9666666388511658,7552
W1,49.216.98.171,13,5,2,0,0,377,283,2341.7009135431,-370.2850561478,-370.2850561478,0.09170310199260712,1.0,7553
W1,49.216.98.32,5,5,1,1,1,1415,627,23775.6214000530,-873.4627160173,-873.4627160173,0.6973683834075928,1.0,7554
W1,49.218.99.30,5,5,1,1,1,1801,789,59208.7329956112,-3411.5128449193,-3411.5128449193,0.08939620107412338,0.48595041036605835,7555
W1,49.228.107.141,7,5,2,2,2,391,381,156978.4249766159,-14824.0155142115,-15437.2775462977,0.0841502994298935,0.3292308449745178,7556
W1,49.228.108.76,7,5,2,2,2,605,604,54274.8343764969,-1249.7027335747,-1345.9896288657,0.3424657881259918,0.8976742625236511,7557
W1,49.228.109.81,6,5,1,1,1,1952,642,16558.7263513294,-1050.8089699892,-1050.8089699892,0.037298399955034256,0.06891006976366043,7558
W1,49.228.113.173,5,5,2,0,0,543,542,41582.2064671704,-1826.8744626747,-1826.8744626747,0.3287670910358429,1.0,7559
W1,49.228.113.54,5,5,0,1,1,1912,1893,58599.2496054147,-4060.3287665859,-4060.3287665859,0.21345709264278412,0.8687644004821777,7560
W1,49.228.113.76,6,5,2,3,3,473,472,45232.5364019685,1832.6801404150,1797.6133601977,0.16221699118614197,0.34791597723960876,7561
W1,49.228.121.241,7,5,3,2,2,382,334,3344.6125498320,-314.3809259081,-314.3809259081,0.04216869920492172,0.8243899941444397,7562
W1,49.228.122.34,9,5,1,2,2,1205,999,46982.6855777141,-306.9024920978,-306.9024920978,0.06918240338563919,0.789909839630127,7563
W1,49.228.123.42,8,5,1,1,1,454,420,8291.2425319329,-958.2917059960,-962.3496403451,0.905063271522522,1.0,7564
W1,49.228.125.161,6,5,0,0,0,5556,1496,84733.7884111906,-7509.2291180892,-7509.2291180892,0.10573200136423111,0.4549960792064667,7565
W1,49.228.125.205,6,5,2,2,2,873,298,20827.9960260822,1256.4014025267,1256.4014025267,0.06835904717445374,0.9095478057861328,7566
W1,49.228.168.7,5,5,0,0,0,859,850,10540.5248251700,-914.5044875933,-914.5044875933,0.441989004611969,1.0,7567
W1,49.228.177.79,12,5,1,1,1,484,451,18271.0688106223,841.2388277906,715.5367947718,0.29082804918289185,1.0,7568
W1,49.228.178.93,6,5,2,2,2,2760,2623,59650.6019429342,-653.8720935010,-653.8720935010,0.09559005498886108,0.4682025611400604,7569
W1,49.228.179.223,5,5,1,4,4,1393,484,10219.6552267656,280.3912473532,280.3912473532,0.15502959489822388,0.16168369352817535,7570
W1,49.228.179.245,6,5,1,2,1,1299,982,17682.1750796400,249.4619080055,220.1481924448,0.03658809885382652,0.9066941738128662,7571
W1,49.228.184.123,7,5,1,1,1,945,463,14486.2642808125,1352.0000943158,1352.0000943158,0.07972969859838486,0.3516305983066559,7572
W1,49.228.185.89,12,5,1,3,3,1011,392,5378.9212748275,609.1611827414,609.1611827414,0.12734359502792358,1.0,7573
W1,49.228.187.63,6,5,1,1,1,450,320,2431.9908291814,-57.5199393260,-57.5199393260,0.25091230869293213,0.9755554795265198,7574
W1,49.228.235.249,6,5,1,2,2,2952,2909,84335.7315129039,632.7106242115,632.7106242115,0.06810994446277618,0.11991839110851288,7575
W1,49.228.241.156,7,5,0,3,3,927,556,64774.4111373462,133.8108920686,133.7788468680,0.3232170045375824,1.0,7576
W1,49.228.242.118,7,5,0,2,2,308,194,1444.0706743965,-126.0199768974,-126.0199768974,0.049751199781894684,1.0,7577
W1,49.228.249.23,11,5,1,2,2,2444,555,8423.7431676772,-45.5455987104,-52.2398499764,0.2709580957889557,1.0,7578
W1,49.228.49.0,9,5,0,2,2,2389,592,12852.2952952457,33.2813404903,33.2813404903,0.027317900210618973,0.25526660680770874,7579
W1,49.228.50.44,20,5,1,3,3,544,389,15886.9858697250,534.5894243300,534.5894243300,0.38852816820144653,1.0,7580
W1,49.228.51.190,6,5,3,4,4,753,354,12124.3484952645,211.1334462460,211.1334462460,0.08659195154905319,0.8896167874336243,7581
W1,49.228.84.204,8,5,2,3,3,504,498,192288.5483960430,15138.7634409367,14876.8596976214,0.08042940497398376,0.48696890473365784,7582
W1,49.228.92.165,7,5,3,3,3,456,451,196266.4198641108,16873.6768517160,16054.9805083139,0.11764709651470184,0.8817203044891357,7583
W1,49.229.167.6,8,5,3,4,4,755,583,30350.1811063105,-1147.2544824819,-1230.8971264751,0.90625,1.0,7584
W1,49.229.168.100,11,5,0,0,0,862,801,7408.6731886700,-643.5529704131,-652.6890857360,0.01694919914007187,0.061012979596853256,7585
W1,49.229.168.209,6,5,2,2,2,389,178,144799.6810045811,-30738.4916241024,-30740.6435465003,0.014476099982857704,0.16239149868488312,7586
W1,49.229.173.44,6,5,0,1,1,945,498,37529.3442827744,981.5781377451,981.5781377451,0.022393500432372093,0.903901994228363,7587
W1,49.229.174.44,5,5,0,0,0,687,479,45731.7165301689,-4042.5389988666,-4042.5389988666,0.017627300694584846,0.9571428894996643,7588
