dealer_id,平均每局秒数,局速
2084,46.97931305563445,76.6294729711514
1150,47.03210849188889,76.5434533010752
2210,47.16133113132635,76.3337232779832
2090,47.27610548120071,76.14840442877716
1060,47.76133025000387,75.37478502286288
2214,47.812681887650854,75.29383121530805
2244,47.84752108584271,75.23900754526613
2078,48.08377101948672,74.8693358210412
2237,48.370161663027375,74.42604854371876
2063,49.01436095276719,73.44786160670643
2189,49.32288916028913,72.9884250758456
2087,50.40693539929695,71.41874370030064
1283,50.78828991843376,70.88248109518193
1370,51.433114449763494,69.99381698956311
2186,51.72169568992273,69.60328643481445
2082,52.20227381895074,68.96251325154172
-1,52.99191731872329,67.93488860475776
