dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
925,58444368.45445544,46495,28819,7,-291866.4758831759,28819,0.1375128228136103,0.0986849,2735384.6127323257,541807.1575010867,129.0,0.04680321962695101,0.002774491880847403,0.009270476725628517,75.91973244147157,72.9933110367893,2.926421404682273
1330,95049365.27362712,64301,23632,5,-1654799.8313211985,23632,0.1333073760467571,0.1456923,4035085.012715866,1239183.5187517572,152.0,0.04245251928931567,0.002363882365748589,0.013037262428680177,79.68227424749165,76.83946488294313,2.842809364548515
1353,58377923.362157695,45634,28587,7,-1537636.0382398355,28587,0.1355577728532404,0.0822752,3169449.708028076,501549.8473974755,123.0,0.0542919227935848,0.002695358723758601,0.008591430090550207,71.90635451505017,69.06354515050167,2.8428093645485006
2174,100132752.38139585,66504,24628,4,-1514875.241463615,24628,0.1324092108316753,0.1666802,4419024.141862125,884283.0613297473,168.0,0.044131655594869645,0.0025261638397690365,0.008831107108307578,79.84949832775919,77.0066889632107,2.8428093645484864
1654,61598435.78946913,47690,29007,7,-1358762.672267493,29007,0.1345543453878067,0.1080084,2054216.8403668732,899910.0366494105,124.0,0.03334852279995821,0.0026001258125393162,0.014609300140755508,73.82943143812709,71.07023411371237,2.759197324414714
2059,2292167.8752390104,4208,1304,6,-221419.8418404661,1304,0.1089933596303398,0.0943252,30060.671778585,0.0,2.0,0.013114515783644554,0.0004752851711026616,0.0,32.10702341137124,29.47324414715719,2.6337792642140485
1306,90682378.20931512,65210,22292,5,-1824835.197486992,22292,0.1327607131140069,0.1413063,4141838.108815786,939034.6438524766,152.0,0.04567412313840624,0.0023309308388284006,0.01035520530444157,77.67558528428094,75.25083612040135,2.4247491638795964
2155,65835888.27909527,48917,30664,8,-609362.8250986389,30664,0.1369035611431135,0.1231738,3041707.5773492623,864824.1589998524,131.0,0.04620136003109249,0.002678005601324693,0.013136059702477778,83.02675585284281,80.76923076923076,2.2575250836120517
2153,70926459.26529424,50078,32968,7,-1663362.914562269,32968,0.1366574505181889,0.1104101,4853390.8612587815,1302725.7979084288,142.0,0.06842849497258979,0.002835576500658972,0.018367275222857193,85.86956521739131,83.94648829431438,1.923076923076934
1078,38738810.98225725,31901,19351,7,-837821.1301058629,19351,0.1373506670203562,0.0797375,1261085.992598152,294543.165935397,97.0,0.03255355444894118,0.0030406570326948997,0.007603309406432237,61.53846153846153,59.78260869565218,1.7558528428093538
1393,1515985.8148058702,3183,725,4,-51854.2717182019,725,0.1352062287586278,0.1806897,0.0,0.0,0.0,0.0,0.0,0.0,29.4314381270903,28.051839464882946,1.3795986622073535
2149,3597046.3599283984,5126,2139,4,-87021.8237786411,2139,0.1243385791720904,0.172043,10531.9295066958,723.2318027002,2.0,0.002927938217317123,0.0003901677721420211,0.00020106268597399907,42.22408026755853,41.22073578595318,1.003344481605346
1299,53381665.165142216,43151,24739,7,-2024079.5938713255,24739,0.1402861903495546,0.1061482,1833450.9784233917,738158.1928432495,113.0,0.0343460806767905,0.0026187110379828973,0.01382793493907831,72.07357859531773,71.23745819397993,0.8361204013377943
2080,2842968.350878626,3644,1113,3,-247682.8653538013,1113,0.1349831501853889,0.328841,2040.0,0.0,1.0,0.0007175598699048244,0.00027442371020856203,0.0,38.00167224080268,37.16555183946488,0.8361204013377943
1702,40009121.52036905,33463,19153,8,-217109.3469005062,19153,0.1391994236051269,0.0887589,1449762.1365074127,316381.6082151218,96.0,0.036235790275208214,0.0028688402115769657,0.007907736940788581,63.7123745819398,62.876254180602004,0.8361204013377943
2093,91012132.10546723,65474,22248,4,-1840952.0300833152,22248,0.1329531610166312,0.1800162,3760179.788186324,982185.5868809114,152.0,0.041315148883985374,0.0023215322112594312,0.010791809445170773,77.96822742474916,77.17391304347825,0.7943143812709081
1963,54528102.93703777,43452,28751,6,-882966.6175950594,28751,0.0794517978970328,0.0628848,2961334.0609940267,420073.6286798611,81.0,0.05430840065009055,0.001864125932062966,0.007703800536851786,56.93979933110368,56.18729096989967,0.7525083612040078
1505,83475799.44803272,63188,20091,4,-2571148.010693432,20091,0.1316647663894165,0.1721666,3547516.0519172647,664765.8920438179,129.0,0.04249753911162895,0.0020415268721909225,0.007963576227355131,71.23745819397993,70.65217391304348,0.5852842809364489
2248,46173235.40179189,38208,22907,5,-941220.9669635365,22907,0.0694213827413458,0.038067,2190518.991465737,201495.078857904,63.0,0.047441314701129375,0.0016488693467336683,0.004363893435331681,46.98996655518394,46.65551839464883,0.3344481605351106
2273,997168.2971538109,1720,465,4,145255.5084048552,465,0.1491925429590289,0.288172,0.0,0.0,0.0,0.0,0.0,0.0,31.52173913043478,31.229096989966557,0.29264214046822445
1384,88997300.12550274,65609,22638,4,-561068.5021524178,22638,0.1320455597293223,0.135701,4982163.266000899,797556.8974760568,157.0,0.05598106076223798,0.002392964379886906,0.008961585310468445,75.16722408026756,74.91638795986623,0.2508361204013312
1144,220549.657813714,823,179,2,-28429.0439913605,179,0.1365499988311728,0.1396648,0.0,0.0,0.0,0.0,0.0,0.0,23.913043478260867,24.03846153846154,-0.1254180602006727
1703,2267970.296334502,3552,921,6,81101.3378499436,921,0.0740615210852525,0.1259501,0.0,0.0,0.0,0.0,0.0,0.0,21.65551839464883,21.86454849498328,-0.20903010033444858
2251,82898279.39246409,62998,19594,5,-1948626.4631704388,19594,0.1324281574404747,0.1834745,2782524.059873226,761695.5496662427,155.0,0.033565522472426286,0.0024603955681132736,0.009188315550678184,72.49163879598662,73.07692307692308,-0.5852842809364631
