uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
124605471,2088,21204.0000000000,-3578.8500000000,-3578.8500000000,0.3882353,102,97,0.467537087629,-1.465344562704983,-9765.8500000000,-9765.8500000000,730479.0000000000,0.4850914,0.4878049
115682079,2123,2673.6927271426,-564.6206717365,-564.6206717365,0.3846154,40,40,0.501937415000,-1.4653626905842498,5515.9142912837,5515.9142912837,219381.2908358581,0.5188679,0.5207226
151691305,1396,1928.3744999091,-607.6293821615,-607.6293821615,0.3846154,40,40,0.501937415000,-1.4653626905842498,-2161.5947126702,-2161.5947126702,164026.8529376492,0.5045080,0.5063694
148024617,2153,1489.5332393888,-317.9629091715,-317.9629091715,0.3714286,38,38,0.495271800000,-1.4653983636412498,-3098.1334883190,-3098.1334883190,161684.6466942072,0.4905573,0.4912062
147717198,789,2021.7682471163,-623.5132922135,-623.5132922135,0.3714286,38,38,0.495271800000,-1.4653983636412498,708.5010633827,708.5010633827,236901.8408260072,0.5065775,0.5076054
145846574,1645,3841.3004636890,-236.4671063887,-236.4671063887,0.4842058,2457,2457,0.499770584900,-1.4654085039893219,-10753.7930400254,-10753.7930400254,684133.9857234195,0.4994249,0.4995023
122760538,-1,6560.9832854827,-1586.5171429892,-1586.5171429892,0.3877551,58,57,0.492415831579,-1.4654188038704203,-5204.3951470492,-5204.3951470492,26001.2361005821,0.4324324,0.4485294
98826693,1505,5038.3941148154,-1412.0852491056,-1412.0852491056,0.3488372,54,49,0.460220626531,-1.4654249569949762,-2650.2636906618,-2650.2636906618,373745.8533655346,0.4969502,0.4990234
152597892,2147,600.9357454839,-151.3595521732,-151.3595521732,0.3783784,38,38,0.498836300000,-1.4654378332256317,-978.0313307707,-978.0313307707,73652.8076113432,0.5034299,0.5052184
69309155,2246,6492.6816624879,-1608.4518264021,-1608.4518264021,0.3333333,34,32,0.474159406250,-1.46546587798355,-22924.8421213495,-22924.8421213495,447677.5315451328,0.4783538,0.4804772
146349908,2209,617.5742551162,-375.7594848083,-371.0212815079,0.3548387,35,33,0.486396478788,-1.4655078188387836,-4745.9182431537,-6935.9574251858,301908.9477922329,0.5025044,0.5028752
