member_id,罕见度,相似度,是否种子,T4新命中
77302483,0.5770361535910395,1.0,1,0
147873867,0.5788805022462649,1.0,1,0
92017890,0.506175889187129,1.0,0,0
152617360,0.5134103000270127,1.0,1,0
149760718,0.500478053754496,1.0,1,0
133991270,0.5041838126062272,1.0,1,0
141125373,0.5181752378986249,1.0,1,0
152833402,0.49717280977983125,1.0,0,0
122304078,0.5295392484458514,1.0,1,0
146561555,0.5095051454066323,1.0,1,0
147336162,0.5094583447526411,1.0,0,0
152193495,0.5086864616872683,1.0,1,0
126979050,0.5328496701520856,1.0,1,0
144590578,0.47152024198352255,1.0,0,0
151589776,0.4895557715854089,1.0,0,0
81418855,0.504026535388659,1.0,0,0
146975331,0.6165862348035159,1.0,1,0
148541506,0.6834025831179333,1.0,1,0
17658682,0.5857501194292416,1.0,1,0
135843743,0.6519590224385835,1.0,1,0
50668004,0.4870002518453934,1.0,1,0
72216248,0.7245265889089081,1.0,1,0
111979675,0.4771341699872109,1.0,1,0
116479096,0.48527888318173484,1.0,0,0
150304963,0.4942773156448587,1.0,0,0
152229593,0.4981683266539653,1.0,0,0
54161451,0.459475777950528,1.0,1,0
125419106,0.5409990803119447,1.0,1,0
151392932,0.49406587037882993,1.0,1,0
128114345,0.5024996272899415,1.0,1,0
13165462,0.4786430109381533,1.0,0,0
83095108,0.5636204908370239,1.0,1,0
149158803,0.4856745497253726,1.0,0,0
141125415,0.4667467704182986,1.0,1,0
149027175,0.682067731209885,1.0,1,0
118364215,0.5062457788960741,1.0,1,0
152395461,0.4474126815098259,1.0,1,0
144492584,0.6982747839879742,1.0,1,0
144747024,0.6672163659502939,1.0,1,0
130207970,0.49955035180114965,1.0,0,0
101153588,0.701229899686537,1.0,1,0
146698944,0.49117662255765543,1.0,0,0
147598865,0.6825434470282298,1.0,1,0
135875124,0.4495439925940995,1.0,0,0
125053154,0.4747296865877507,1.0,1,0
122556407,0.4854243337314296,1.0,1,0
34334005,0.4655093775622596,1.0,1,0
145382253,0.5000815451748923,1.0,1,0
134240639,0.5718509101648135,1.0,1,0
149949430,0.5507246791920646,1.0,1,0
150757399,0.4590793399947811,1.0,1,0
147717608,0.49174561452509175,1.0,0,0
139887843,0.6943657267471038,1.0,1,0
142227920,0.4755478272361294,1.0,0,0
129323665,0.46034878448508393,1.0,1,0
123903499,0.7061626638576393,1.0,1,0
147596262,0.5017938932421422,1.0,1,0
144106846,0.4694023192816306,1.0,1,0
145014743,0.48732698777795275,1.0,1,0
108842071,0.513674056614676,1.0,1,0
145274997,0.46810394056504007,1.0,1,0
121749347,0.4281153546555994,1.0,0,0
138985504,0.6012595791992216,1.0,1,0
124741081,0.43474256022075825,1.0,0,0
52959664,0.435194550017885,1.0,1,0
