table_id,sec_elapsed,n_orders,n_player,n_rounds,valid_bet,game_pnl
7,13,290324,49224,131664,33841714.6758838873,-695150.2788840799
7,14,8,6,6,1006.2593648099,-905.8183407414
8,0,49750,644,45828,275635.6650001845,7840.5006635961
8,1,60044,8388,49006,5041624.4215502498,88672.4734368312
8,2,157725,20634,104091,15673181.2368705059,53870.9421000896
8,3,216752,30733,127798,20047163.7138145937,-83318.4558727965
8,4,253218,38589,138857,23142342.0262278448,-672575.9380675579
8,5,286299,44666,146978,25031415.3196634005,-468982.7052546676
8,6,318763,49789,154800,27335117.9551689949,-908539.4110190170
8,7,354909,54195,161804,31034098.1356549514,-233212.0943039469
8,8,397547,58552,170362,34724495.6343574812,100054.8381308225
8,9,460776,64041,182548,41969486.9216709060,-492390.4675970206
8,10,530839,68394,193745,51952500.4265983839,-1255201.0122513567
8,11,596591,71432,203594,63611966.7678218828,-701693.4645501149
8,12,612721,69661,207620,72734597.3943379194,23171.3157020332
8,13,263647,46524,124377,31633854.9903723269,-1152336.2443131589
8,14,3,3,3,134.4171300478,40.0040337872
900,0,7,7,7,1385.5167996407,199.5215130222
900,1,301,104,252,23087.3043750918,7429.5603600487
900,2,1050,378,837,69117.7633872215,-9161.9909073836
900,3,1473,592,1074,131713.0617462750,-11892.6789269378
900,4,1640,725,1141,145590.2508906565,6571.3212225571
900,5,1630,817,1079,166131.7660826970,-17454.0016959391
900,6,1692,852,1107,160251.9440960840,-27210.0154067564
900,7,1900,970,1200,147972.7664637169,-26370.0744055621
900,8,1914,955,1178,158270.9202113084,-4067.3065537461
900,9,1981,1022,1216,162927.2945781655,2504.9963366503
900,10,2002,1025,1220,199514.1595191781,9217.3450658957
900,11,1944,1021,1206,175733.8480554280,11444.9181082302
900,12,1992,1050,1227,178120.9800689520,19733.1710510478
900,13,1912,1039,1187,130452.3044291809,-273.5230509694
900,14,1850,1013,1145,179144.6685527569,58984.0629285508
900,15,1851,1022,1196,163166.9217531508,12459.9464369882
900,16,1917,1039,1199,229808.9761306356,-28005.6327328367
900,17,1887,1006,1148,163733.5102375352,33420.7388947719
900,18,1923,1061,1205,184388.9356635275,7111.8905529724
900,19,1884,1066,1196,168276.4075065023,-6537.4722284323
900,20,2073,1147,1255,196583.7856131109,5806.1479813816
900,21,2330,1219,1396,195859.0054836324,-5910.1682140932
900,22,2515,1292,1452,264316.3918381894,-20515.2928698617
900,23,2679,1342,1563,284913.0409402297,1644.9352631106
900,24,2644,1297,1554,274784.8681615398,23188.7354089258
900,25,1041,617,754,118053.8683316175,13258.6491196496
901,0,175,110,173,6212.2908311310,-352.7192449822
901,1,5065,1654,4505,422892.6865268512,-50401.3988933252
901,2,17427,4301,13504,1416142.6636339933,-131126.3422196389
901,3,25204,6698,17922,2080971.1571042347,3702.7403186432
901,4,28109,8134,19335,2429774.7831945279,21964.2348673858
901,5,30314,9103,20113,2561331.3313401822,-142582.8675937374
901,6,32151,10001,20711,2803240.5822436877,192034.9321806411
901,7,34491,10674,21845,2953806.0696754865,-86672.1437908261
901,8,35906,11185,22345,2887651.7542567866,-278810.8310541507
901,9,37005,11547,22700,3034463.1794919852,-20795.1823363718
901,10,37203,11615,22838,3075552.4839006531,-142595.8888835728
901,11,37417,11953,22992,3115678.0471629722,-76725.5944763520
901,12,37743,12108,22796,2968003.6754796480,-89892.6486716131
901,13,36558,12047,22417,3250578.6328862815,100255.7924441829
901,14,36369,12024,22119,3205932.0025852613,58821.0880673987
901,15,35883,12117,22078,3065391.7923200972,20861.9355369898
901,16,35902,12182,22162,3227524.1876698601,-154051.4534939426
901,17,36148,12367,22315,3232979.8481491637,-131299.9572392701
901,18,36611,12478,22542,3376338.5506922136,-322239.0546047863
901,19,36671,12487,22672,3678227.8166780824,-202596.3759440871
901,20,38601,13038,23624,3965548.2480672871,-137404.9404816422
901,21,41626,13541,25006,4602669.5534016531,-73876.8975283476
901,22,46170,14168,27113,6033644.6072668412,-110044.8074258293
901,23,50411,14554,28850,6732508.8378298630,-208194.7699155278
901,24,49817,13962,28834,7143919.7258053805,-160902.4729682754
901,25,22016,8327,14866,2937110.2704413401,-17462.7137091318
901,26,935,581,615,80250.1190110188,5246.7550078318
901,27,981,623,659,98049.3507014140,16132.9955736350
901,28,1014,633,652,104767.1214142516,-41474.3087299560
901,29,1015,672,687,87697.3618842072,-1494.2141354169
901,30,1115,683,736,178828.5299591438,42166.8253351294
901,31,1287,745,817,150695.4056817678,30682.9768489377
901,32,1420,817,880,174372.6977640369,29412.2082923065
901,33,1504,877,925,167217.5650643280,-14866.4642555239
901,34,1521,850,930,186947.6287239113,-30826.0842366402
901,35,667,452,473,79328.7998105908,-8901.0665803919
902,0,223,113,214,7766.1930969147,-918.1167520178
902,1,4886,1602,4371,335540.2209073603,-20515.3138325812
902,2,17222,4332,13344,1492137.9058899626,-74468.9809484219
902,3,24255,6332,17331,2321375.7073340669,31775.0590110035
902,4,27109,7842,18513,2197787.3497694217,-16281.5467805608
902,5,28842,8851,19361,2530586.5192470538,155175.6829944971
902,6,30542,9606,19838,2755654.3727013789,-15288.2430489317
902,7,32821,10334,21020,2724210.1518399538,-60366.6209443502
902,8,33747,10677,21257,2724776.8577138199,-97401.5273809649
902,9,34360,11012,21455,2939348.0351570399,-169331.5899326513
902,10,35278,11293,21916,3045137.4216515066,-96306.3753213839
902,11,35523,11281,21807,2929426.9349720852,70785.6126104345
902,12,35242,11504,21709,2977893.1538115480,36445.9853305743
902,13,34713,11579,21460,3097821.7075904397,212814.1208771084
902,14,34195,11571,21286,2741540.4456863304,-246913.5338354749
902,15,34087,11467,21183,3148678.1895856842,-14612.9658902406
902,16,34109,11677,21247,3047915.0916999764,-189201.9640410520
902,17,34086,11768,21306,3286669.3788106971,-211064.7125340665
902,18,34385,11896,21450,2984612.4519693926,-74255.4267472928
902,19,35214,12142,21979,3626101.9414741237,128357.1763594334
902,20,36570,12399,22563,3819252.9420357656,-10337.0588009077
902,21,39826,13034,24221,4492985.4586187394,-116454.7612749603
902,22,44358,13658,26187,5645008.3804018415,468578.4433556354
902,23,48084,14096,27729,6253787.5059496258,74337.2498572154
902,24,47305,13433,27775,6566535.7694904276,-545033.0079872238
902,25,20995,7933,14275,2747051.4317629296,-39948.2927160754
902,26,903,578,598,105159.0420159716,15363.0649895195
902,27,905,600,627,65411.6958983059,-2403.7103843402
902,28,882,599,610,112834.5328609018,31292.0570370862
902,29,986,659,696,116577.6727206992,28272.5574288607
902,30,1023,659,699,157439.6323687195,-66622.8746197248
902,31,1165,726,753,111878.4417758562,11517.1329228871
902,32,1185,750,774,152167.5486565150,-42978.7126903029
902,33,1412,819,902,211684.9767705270,-51668.1980143394
902,34,1465,795,875,211516.3067910009,-19609.9637992891
902,35,597,402,432,80853.0228348851,5454.4144056513
903,0,159,96,159,6201.5878855787,626.7625025658
903,1,4723,1552,4204,317654.3894674747,-36152.7323533000
903,2,15995,3974,12607,1423630.7709135838,-47466.8469203196
903,3,22556,5948,16397,1971586.1460657150,35209.0766151000
903,4,24904,7357,17468,2452766.1692581634,-25181.5261219784
903,5,26437,8247,18026,2352464.9230910716,30081.1961679477
903,6,28143,8869,18785,2530260.5150293185,-9589.0073479387
903,7,29964,9647,19651,2870649.2692917395,-286366.9688760174
903,8,30769,10052,20067,2734813.8838733185,-104324.1564223396
903,9,31373,10301,20121,2628153.1870233804,-108698.9473620786
903,10,32229,10596,20450,2746891.7997630529,-255607.6937091799
903,11,32278,10823,20412,2693969.4918314369,-67523.0768899504
903,12,31905,10885,20158,2860862.6581105939,-517.9180158055
903,13,31881,10946,20096,2700712.8248870236,-150793.1440922008
903,14,31199,10759,19786,2681776.1257808279,-172007.4557204251
903,15,31385,10879,19785,2749621.7507953098,-5636.2863646025
903,16,31119,10942,19636,2915989.4099992796,16179.0544661981
903,17,31132,11006,19830,3105030.3803926569,-25584.3932781009
903,18,31443,11206,20007,3264201.9645952295,-23740.1543455590
903,19,32012,11355,20158,3226246.0676938599,-23927.5404919856
903,20,33140,11672,21017,3567400.9252337008,72203.5135424274
903,21,36600,12267,22628,4358893.1230103566,6836.3137649435
903,22,39836,12782,23976,5279969.2077115404,-41965.3637343327
903,23,43514,13189,25997,6190079.6802634100,-26813.8717802242
903,24,43521,12701,26085,6258478.3508181920,57105.0896660514
903,25,18714,7386,12929,2634872.2848766236,-84697.7137981910
903,26,786,539,546,139781.0069147195,-19079.8996297760
903,27,792,538,541,69785.6408377483,-9317.0600245218
903,28,776,545,561,86107.1034502342,-15230.3393846070
903,29,862,584,594,106244.1542896138,-12827.8372556458
903,30,928,588,611,104845.8698429181,-189.4517465043
903,31,996,638,676,110708.8895043635,-9274.5210746981
903,32,1199,722,755,138544.8218111216,-9092.3068691413
903,33,1300,811,815,165025.2074012678,4240.6776015285
