member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149374914,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,2.5945721551,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149375619,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,4.2012393656,6.3018590484,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149375786,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,6.6896344114,6.6896344114,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149375823,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,3.8918582326,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149376189,2026-05-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,51.8914431010,51.8914431010,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149377145,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,12.9728607753,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149377363,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,12.6037180968,18.9055771452,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149378228,2026-04-01,游戏输赢为零,有值,4,4,1,1,0,0,0,4,0E-7,8.4024787312,8.4024787312,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149378889,2026-04-01,游戏输赢为零,有值,4,4,1,2,0,0,0,4,0E-7,129.7286077526,129.7286077526,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149381188,2026-07-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,5.1635556244,5.1635556244,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149382818,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,5.7080587411,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149383312,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,39.4632991318,39.4632991318,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149383511,2026-08-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,202.0365282042,202.0365282042,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149384768,2026-07-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,516.3555624402,516.3555624402,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149385054,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,25.9457215505,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149385759,2026-04-01,游戏输赢为零,有值,25,25,1,23,0,0,1,24,0E-7,176.4309065434,181.6200508535,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
