bet_id,biz_date,bet_time,table_id,shoe_id,round_no,member_id,play_type,fx_rate,stake_raw,payout_raw,rebate_raw,bet41_val,validbet_val,diff_abs,diff_rel,diff_kind,in_clean,chk_def
5350115083,2026-03-27,2026-03-27 14:28:53,37,114589921,8,48408655,BPair,3.79770000,110.0000,110.0000,0.0000,0.0000,110.0000,-110.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115084,2026-03-27,2026-03-27 14:28:53,37,114589921,8,48408655,PPair,3.79770000,110.0000,110.0000,0.0000,0.0000,110.0000,-110.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115085,2026-03-27,2026-03-27 14:28:48,37,114589921,8,48408655,Super6,3.79770000,30.0000,30.0000,0.0000,0.0000,30.0000,-30.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115086,2026-03-27,2026-03-27 14:28:48,37,114589921,8,48408655,Lucky7,3.79770000,30.0000,30.0000,0.0000,0.0000,30.0000,-30.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115087,2026-03-27,2026-03-27 14:28:48,37,114589921,8,48408655,SuperLucky7,3.79770000,50.0000,50.0000,0.0000,0.0000,50.0000,-50.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115125,2026-03-27,2026-03-27 14:28:53,37,114589921,8,28665154,Banker,1.00000000,55.0000,55.0000,0.0000,0.0000,55.0000,-55.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115126,2026-03-27,2026-03-27 14:28:49,37,114589921,8,147756727,Lucky7,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115136,2026-03-27,2026-03-27 14:28:50,37,114589921,8,122587449,Player,3.79770000,400.0000,400.0000,0.0000,0.0000,400.0000,-400.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115165,2026-03-27,2026-03-27 14:28:51,37,114589921,8,141715514,Player,0.56740000,80.0000,80.0000,0.0000,0.0000,80.0000,-80.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115166,2026-03-27,2026-03-27 14:28:51,37,114589921,8,141715514,Super6,0.56740000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115167,2026-03-27,2026-03-27 14:28:51,37,114589921,8,141715514,Lucky7,0.56740000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115168,2026-03-27,2026-03-27 14:28:51,37,114589921,8,141715514,SuperLucky7,0.56740000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115198,2026-03-27,2026-03-27 14:28:51,37,114589921,8,137801186,Player,4.54360000,20.0000,20.0000,0.0000,0.0000,20.0000,-20.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115199,2026-03-27,2026-03-27 14:28:51,37,114589921,8,147756727,SuperLucky7,0.56740000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
