uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg,audit_rn,batch_id
6472498,17,127,0.5652,0.6923,1.0,27.94,350,1
6473090,142,617,0.5508,0.684,1.0,27.23,351,1
6481598,14,116,0.5407,0.5879,2.0,27.79,352,1
6529161,95,392,0.5306,0.7045,1.0,26.59,353,1
6532134,648,1426,0.5523,0.6176,1.0,26.86,354,1
6555603,364,2964,0.4167,0.66,0.7673,21.47,355,1
6581583,872,1805,0.52,0.6336,1.0,26.22,356,1
6589414,781,1452,0.6275,0.7333,1.0,31.42,357,1
6594911,1792,6903,0.6346,0.6869,1.5,31.64,358,1
6597783,179,841,0.5192,0.7115,1.0,27.37,359,1
6601503,60,215,0.4087,0.5914,1.0,23.45,360,1
6610639,1294,4813,0.2128,0.5532,0.7143,16.16,361,1
6612981,165,1471,0.1875,0.3846,0.8182,10.25,362,1
6637260,265,1197,0.4468,0.6538,1.0,22.66,363,1
6637744,1875,6022,0.4255,0.6122,1.0,23.33,364,1
6667752,27,118,0.551,0.6471,1.0,28.74,365,1
6679654,354,987,0.3125,0.4,1.0,19.19,366,1
6688969,502,1258,0.4444,0.5817,1.0,23.11,367,1
6692185,307,8819,0.3922,0.7021,2.3077,19.92,368,1
6709037,138,377,0.4721,0.5643,1.0,24.52,369,1
6717896,968,2269,0.4255,0.5213,1.0,23.09,370,1
6734064,75,240,0.46,0.6154,1.0,23.03,371,1
6757963,75,135,0.5,0.5849,1.0,25.2,372,1
6761025,30,111,0.4421,0.5093,1.0,20.67,373,1
6764832,582,1068,0.5957,0.7011,1.0,30.12,374,1
6784255,126,1612,0.1937,0.5895,0.9758,14.4,375,1
6786988,110,896,0.6735,0.9608,0.7143,32.43,376,1
6795629,4,123,0.4071,0.5751,2.8583,20.25,377,1
6806541,70,186,0.567,0.6311,1.0,28.47,378,1
6817116,152,384,0.5408,0.5644,1.0,27.0,379,1
6884217,67,318,0.3585,0.4706,1.0,20.3,380,1
6915448,17,282,0.6957,1.0,1.0,31.65,381,1
6937003,60,196,0.2662,0.2918,1.0,15.22,382,1
6946571,102,160,0.5414,0.6931,1.0,26.18,383,1
6952366,831,1805,0.5185,0.6596,1.0,26.5,384,1
6964193,9,212,0.5283,0.5686,3.6667,23.89,385,1
6980715,431,2242,0.32,0.5208,0.8,18.6,386,1
6981313,14,130,0.2633,0.35,1.0,13.07,387,1
6994514,256,573,0.1562,0.2708,1.0,9.91,388,1
7027840,530,1008,0.4898,0.625,1.0,25.89,389,1
7035408,121,1475,0.3148,0.4255,1.4667,17.74,390,1
7040132,16,186,0.6749,0.8811,1.1125,34.75,391,1
7048632,377,385,0.551,0.5556,1.0,26.7,392,1
7048706,107,107,0.549,0.549,1.0,26.3,393,1
7050114,405,692,0.4898,0.5918,1.0,24.53,394,1
7050843,84,620,0.5639,0.612,2.3333,29.8,395,1
7051400,90,145,0.5483,0.5885,1.0,27.72,396,1
7057105,4,159,0.3873,0.6861,1.6071,18.25,397,1
7059117,94,191,0.4813,0.5313,1.0,24.53,398,1
7061849,104,970,0.24,0.4343,1.0,15.31,399,1
7063878,108,217,0.4344,0.5114,1.0,23.05,400,1
7066016,86,272,0.5698,0.6265,1.0,28.97,401,1
7066162,26,239,0.5689,0.7911,1.0,27.65,402,1
7067784,758,2012,0.3469,0.4681,1.0,20.21,403,1
7072768,122,411,0.5521,0.5979,1.6667,27.98,404,1
7076751,73,1008,0.38,0.5,1.8571,21.67,405,1
7076927,263,697,0.4902,0.5636,1.0,24.55,406,1
7079277,8036,18819,0.4375,0.6667,1.0,23.3,407,1
7085710,85,756,0.5294,0.6596,1.1,28.18,408,1
7098982,145,358,0.2708,0.375,1.0,16.81,409,1
7107627,463,1525,0.4118,0.5476,1.0,21.71,410,1
7114903,52,390,0.4674,0.5766,1.0,25.31,411,1
7121799,58,156,0.5601,0.5962,2.0,28.43,412,1
7126278,42,281,0.1458,0.3675,1.0,12.95,413,1
7150205,237,465,0.4889,0.5918,1.0,24.86,414,1
7160448,19,134,0.52,0.6538,1.0,27.63,415,1
7163064,80,1911,0.2113,0.2999,6.2188,13.41,416,1
7195062,20,101,0.6925,0.7491,1.5833,31.05,417,1
7196771,699,2040,0.5294,0.617,2.0,26.71,418,1
7199670,71,213,0.3273,0.3913,1.0,19.04,419,1
7207783,78,323,0.5542,0.6667,1.0,27.71,420,1
7212510,122,282,0.6315,0.68,1.0,31.3,421,1
7212821,513,1170,0.6923,0.7556,1.0,33.34,422,1
7221725,117,341,0.386,0.4808,1.0,21.77,423,1
7237594,129,686,0.3125,0.375,1.25,19.6,424,1
7244385,85,141,0.4043,0.5833,1.0,23.82,425,1
7297592,782,1358,0.4904,0.6391,1.0,25.39,426,1
7302028,382,611,0.5051,0.549,1.0,23.85,427,1
7303283,7,123,0.5333,0.6735,1.6923,22.86,428,1
7311353,93,579,0.5745,0.6415,1.0,26.81,429,1
7312854,56,516,0.4181,0.57,1.1183,22.63,430,1
7315301,182,460,0.3609,0.4241,1.0,21.15,431,1
7322386,148,302,0.4733,0.5809,1.0,24.08,432,1
7337445,412,2131,0.59,0.7347,1.0,29.17,433,1
7354522,54,182,0.4848,0.564,1.0,24.85,434,1
7356474,24,146,0.7374,0.7474,1.0,32.63,435,1
7361877,301,847,0.6,0.6731,1.0,29.98,436,1
7366652,35,196,0.5918,0.7451,1.0,27.57,437,1
7378611,47,400,0.4423,0.6923,1.0,23.79,438,1
7391140,138,1462,0.5352,0.704,1.0714,26.3,439,1
7404737,356,1145,0.5816,0.6906,1.0,28.65,440,1
7405833,29,285,0.54,0.7292,1.0,26.41,441,1
7416995,61,155,0.4792,0.52,1.0,22.98,442,1
7433521,189,379,0.56,0.6383,1.0,28.7,443,1
7439015,118,488,0.6307,0.7901,1.0,32.35,444,1
7441469,25,152,0.2642,0.3913,1.0,16.16,445,1
7461216,7,412,0.6122,1.0,3.9545,34.29,446,1
7462908,12509,30405,0.3725,0.6735,0.75,21.58,447,1
7479184,347,8701,0.5,0.7083,2.0769,24.8,448,1
7506504,160,380,0.6104,0.6629,1.0,29.48,449,1
7558483,26,227,0.2527,0.4687,1.0,16.0,450,1
7593527,566,1421,0.4583,0.5148,1.0,23.94,451,1
7604023,843,2677,0.4681,0.7174,1.0,24.32,452,1
7604054,60,165,0.1856,0.2396,1.0,9.65,453,1
7652964,3641,19499,0.3333,0.5306,1.0,20.13,454,1
