dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-06-17,113,114680016,4,1,4,0,21,39,残靴：截断／换荷官／开收台可疑,87.0,132,1
2026-06-18,909,1266039,4,1,4,0,6,12,残靴：截断／换荷官／开收台可疑,87.0,133,1
2026-06-21,7,114684339,4,3,2,2,3,7,残靴：截断／换荷官／开收台可疑,87.0,134,1
2026-06-23,33,114686601,4,1,4,0,10,17,残靴：截断／换荷官／开收台可疑,87.0,135,1
2026-06-27,115,114691125,4,1,4,0,29,67,残靴：截断／换荷官／开收台可疑,87.0,136,1
2026-06-27,37,114691122,4,1,4,0,24,63,残靴：截断／换荷官／开收台可疑,87.0,137,1
2026-06-27,905,1272627,4,2,3,1,3,5,残靴：截断／换荷官／开收台可疑,87.0,138,1
2026-06-28,3,114692129,4,1,4,0,8,17,残靴：截断／换荷官／开收台可疑,87.0,139,1
2026-06-30,2,114694395,4,1,4,0,22,53,残靴：截断／换荷官／开收台可疑,87.0,140,1
2026-06-30,35,114694392,4,1,4,0,8,13,残靴：截断／换荷官／开收台可疑,87.0,141,1
2026-07-02,913,1277707,4,1,4,0,9,15,残靴：截断／换荷官／开收台可疑,87.0,142,1
2026-07-04,115,114699258,4,1,4,0,27,50,残靴：截断／换荷官／开收台可疑,87.0,143,1
2026-07-06,913,1281210,4,1,4,0,9,12,残靴：截断／换荷官／开收台可疑,87.0,144,1
2026-07-10,32,114705877,4,1,4,0,9,18,残靴：截断／换荷官／开收台可疑,87.0,145,1
2026-07-11,7,114706976,4,1,4,0,11,17,残靴：截断／换荷官／开收台可疑,87.0,146,1
2026-07-16,116,114712391,4,1,4,0,17,36,残靴：截断／换荷官／开收台可疑,87.0,147,1
2026-07-18,5,114714693,4,1,4,0,15,33,残靴：截断／换荷官／开收台可疑,87.0,148,1
2026-07-21,33,114717969,4,1,4,0,13,19,残靴：截断／换荷官／开收台可疑,87.0,149,1
2026-07-24,908,1297315,4,2,3,1,9,11,残靴：截断／换荷官／开收台可疑,87.0,150,1
2026-07-26,911,1298942,4,2,3,1,8,10,残靴：截断／换荷官／开收台可疑,87.0,151,1
2026-08-05,3,114734678,4,1,4,0,23,39,残靴：截断／换荷官／开收台可疑,87.0,152,1
2026-03-22,35,114585411,3,1,3,0,5,8,残靴：截断／换荷官／开收台可疑,87.0,153,1
2026-03-24,5,114587587,3,1,3,0,10,15,残靴：截断／换荷官／开收台可疑,87.0,154,1
2026-03-27,905,124406,3,2,2,1,3,4,残靴：截断／换荷官／开收台可疑,87.0,155,1
2026-03-31,37,114595178,3,1,3,0,17,27,残靴：截断／换荷官／开收台可疑,87.0,156,1
2026-04-02,909,126084,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,157,1
2026-04-03,910,126694,3,1,3,0,2,3,残靴：截断／换荷官／开收台可疑,87.0,158,1
2026-04-07,7,114603060,3,1,3,0,9,15,残靴：截断／换荷官／开收台可疑,87.0,159,1
2026-04-07,905,129086,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0,160,1
2026-04-11,33,114607425,3,1,3,0,11,20,残靴：截断／换荷官／开收台可疑,87.0,161,1
2026-04-12,3,114608365,3,1,3,0,8,14,残靴：截断／换荷官／开收台可疑,87.0,162,1
2026-04-16,912,1215552,3,1,3,0,6,9,残靴：截断／换荷官／开收台可疑,87.0,163,1
2026-04-17,3,114613702,3,1,3,0,10,17,残靴：截断／换荷官／开收台可疑,87.0,164,1
2026-04-19,911,1217424,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,165,1
2026-04-22,1,114619030,3,1,3,0,14,19,残靴：截断／换荷官／开收台可疑,87.0,166,1
2026-04-22,907,1219565,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0,167,1
2026-04-24,32,114621223,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0,168,1
2026-04-26,906,1222286,3,1,3,0,11,26,残靴：截断／换荷官／开收台可疑,87.0,169,1
2026-04-27,112,114624391,3,1,3,0,38,50,残靴：截断／换荷官／开收台可疑,87.0,170,1
2026-04-27,905,1222936,3,3,1,2,1,4,残靴：截断／换荷官／开收台可疑,87.0,171,1
2026-04-29,2,114626577,3,1,3,0,17,27,残靴：截断／换荷官／开收台可疑,87.0,172,1
2026-05-03,908,1227239,3,1,3,0,10,11,残靴：截断／换荷官／开收台可疑,87.0,173,1
2026-05-09,1,114637856,3,1,3,0,13,23,残靴：截断／换荷官／开收台可疑,87.0,174,1
2026-05-14,112,114642921,3,1,3,0,24,60,残靴：截断／换荷官／开收台可疑,87.0,175,1
2026-05-15,116,114643965,3,1,3,0,22,36,残靴：截断／换荷官／开收台可疑,87.0,176,1
2026-05-16,905,1238197,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0,177,1
2026-05-16,911,1238194,3,1,3,0,3,5,残靴：截断／换荷官／开收台可疑,87.0,178,1
2026-05-17,905,1238946,3,2,2,1,1,2,残靴：截断／换荷官／开收台可疑,87.0,179,1
2026-05-19,1,114648133,3,1,3,0,11,19,残靴：截断／换荷官／开收台可疑,87.0,180,1
2026-05-19,32,114648129,3,1,3,0,14,20,残靴：截断／换荷官／开收台可疑,87.0,181,1
2026-05-19,907,1240657,3,1,3,0,5,8,残靴：截断／换荷官／开收台可疑,87.0,182,1
2026-05-21,905,1242334,3,1,3,0,7,8,残靴：截断／换荷官／开收台可疑,87.0,183,1
2026-05-24,905,1244755,3,1,2,1,8,9,残靴：截断／换荷官／开收台可疑,87.0,184,1
2026-05-25,2,114653503,3,1,3,0,29,46,残靴：截断／换荷官／开收台可疑,87.0,185,1
2026-05-25,33,114653542,3,2,2,1,12,17,残靴：截断／换荷官／开收台可疑,87.0,186,1
2026-05-30,36,114660065,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,187,1
2026-05-30,902,1249727,3,1,2,1,2,4,残靴：截断／换荷官／开收台可疑,87.0,188,1
2026-05-31,2,114661031,3,1,3,0,7,14,残靴：截断／换荷官／开收台可疑,87.0,189,1
2026-05-31,8,114661030,3,1,2,1,7,7,残靴：截断／换荷官／开收台可疑,87.0,190,1
2026-06-04,909,1253902,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,191,1
2026-06-06,36,114668163,3,1,3,0,8,14,残靴：截断／换荷官／开收台可疑,87.0,192,1
2026-06-09,36,114671356,3,1,3,0,6,12,残靴：截断／换荷官／开收台可疑,87.0,193,1
2026-06-10,31,114672459,3,1,3,0,4,5,残靴：截断／换荷官／开收台可疑,87.0,194,1
2026-06-11,2,114673571,3,1,3,0,12,21,残靴：截断／换荷官／开收台可疑,87.0,195,1
2026-06-11,907,1259926,3,1,3,0,3,3,残靴：截断／换荷官／开收台可疑,87.0,196,1
2026-06-13,37,114675312,3,1,3,0,15,30,残靴：截断／换荷官／开收台可疑,87.0,197,1
2026-06-15,908,1263383,3,1,3,0,4,6,残靴：截断／换荷官／开收台可疑,87.0,198,1
2026-06-17,36,114679732,3,1,3,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,199,1
