uid,n_orders_all,n_orders_late,late_def,late_share,shoe_pos_p50,stake_late_avg,stake_early_avg,stake_ramp,roi_late,roi_early,stake_late,game_pnl_late,stake_all,game_pnl_all,audit_rn,batch_id
101770655,3869,657,shoe_pos>=0.80,0.1698113,0.9019607901573181,125.829408292054,124.219687601689,1.012958659947,0.002452707184,-0.010941288240,82669.9212478798,202.7651097270,481663.5578245057,-4162.7392738002,69686,1
119885833,1007,171,shoe_pos>=0.80,0.1698113,0.8958333134651184,65.765840252521,54.760225269083,1.200978263500,0.044285065591,-0.089039077132,11245.9586831811,498.0280179183,57025.5070081342,-3578.1407164554,69687,1
118171033,583,99,shoe_pos>=0.80,0.1698113,0.8913043141365051,124.318054455140,157.321154472356,0.790218295004,-0.054603868583,-0.020668872968,12307.4873910589,-672.0364240926,88450.9261556790,-2245.8354872428,69688,1
130400660,477,81,shoe_pos>=0.80,0.1698113,0.8999999761581421,82.810153481972,84.946603023178,0.974849499978,0.083481027523,-0.066479208656,6707.6224320397,559.9592128605,40346.4772292183,-1676.3252341563,69689,1
153266169,477,81,shoe_pos>=0.80,0.1698113,0.8979591727256775,8.862466455122,9.545804732846,0.928414806625,-0.199780267781,-0.033402349114,717.8597828649,-143.4142196498,4497.9984570719,-269.6797313464,69690,1
41099147,371,63,shoe_pos>=0.80,0.1698113,0.8958333134651184,3.874466280341,4.414741395244,0.877620212254,-0.023908969551,0.022587851189,244.0913756615,-5.8359732684,1603.8317253965,24.8776394075,69691,1
146077626,318,54,shoe_pos>=0.80,0.1698113,0.957446813583374,2324.630740185472,2166.441460180586,1.073018026525,0.167279000114,-0.010408028265,125530.0599700155,20998.5429160415,697470.6054576903,15045.7695527634,69692,1
151794645,265,45,shoe_pos>=0.80,0.1698113,0.8936169743537903,5.903143866980,5.234280210484,1.127785221578,-0.063891577927,0.087114783388,265.6414740141,-16.9722529375,1417.1831203206,83.3440481426,69693,1
65475952,265,45,shoe_pos>=0.80,0.1698113,0.8999999761581421,86.074750493629,77.715201744625,1.107566454971,-0.070888090602,-0.053402936246,3873.3637722133,-274.5753620204,20970.7081560307,-1187.6237541283,69694,1
150230903,212,36,shoe_pos>=0.80,0.1698113,0.9183333516120911,8.129659419158,5.189144310100,1.566666666667,0.337765957447,0.026136363637,292.6677390897,98.8531991075,1205.9571376673,122.7232629342,69695,1
151867602,212,36,shoe_pos>=0.80,0.1698113,0.8888888955116272,31.917700329769,44.946151862118,0.710131991448,-0.008376475655,-0.015402692950,1149.0372118717,-9.6248822314,9059.5599396044,-131.4682348793,69696,1
153052557,212,36,shoe_pos>=0.80,0.1698113,0.8811764717102051,20.305555555556,25.761363636364,0.788217419007,0.169630642955,0.055921923247,731.0000000000,124.0000000000,5265.0000000000,377.5500000000,69697,1
129994276,159,27,shoe_pos>=0.80,0.1698113,0.9166666865348816,30.540229190989,29.330610563727,1.041240826700,0.314704948192,-0.186981526036,824.5861881567,259.5013536235,4696.2267825686,-464.4239129822,69698,1
151523721,159,27,shoe_pos>=0.80,0.1698113,0.9375,19.513509975826,16.991156645405,1.148450949106,-0.093486862554,-0.257054826005,526.8647693473,-49.2549342763,2769.6974465408,-625.7858978707,69699,1
17950475,159,27,shoe_pos>=0.80,0.1698113,0.8936169743537903,11.575159889185,8.745060665666,1.323622594710,-0.207069916026,0.000950644672,312.5293170080,-64.7154194286,1466.8773248759,-63.6180446454,69700,1
