member_id,treat_time,treat_field,n_treat_events,n_pre,n_post,d_pre,d_post,stake_pre,stake_post,d_stake,d_validbet,d_revenue,hold_pre_pct,hold_post_pct,d_hold_pct,roi_pre,roi_post,d_roi,d_bets_per_day,verdict_exposure,audit_rn,batch_id
147245894,2026-05-20 22:54:04,mem015,1,177,0,3,0,3481.01,0.00,-3481.01,-3142.91,-981.33,31.223754,,,-0.281911,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,71,1
153246007,2026-07-27 15:58:18,mem016,2,296,0,6,0,448540.24,0.00,-448540.24,-424109.85,-978.95,0.230824,,,-0.002183,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,72,1
149451759,2026-05-20 22:54:50,mem015,1,2361,0,9,0,22027.76,0.00,-22027.76,-19574.90,-891.67,4.555184,,,-0.040479,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,73,1
147987535,2026-05-20 22:54:35,mem015,1,29,0,2,0,1544.21,0.00,-1544.21,-1456.55,-614.43,42.183978,,,-0.397892,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,74,1
147056715,2026-04-12 18:32:11,mem016,2,519,0,9,0,19622.34,0.00,-19622.34,-17354.81,-489.41,2.820018,,,-0.024941,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,75,1
147797090,2026-03-30 15:25:56,mem015,2,381,895,2,5,174393.73,271778.10,97384.38,83131.65,-448.99,5.483599,3.429886,-2.053712,-0.050530,-0.030772,0.019758,-11.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,76,1
143676609,2026-05-21 00:00:38,mem015,1,25,2,5,1,1206.35,157.12,-1049.23,-920.24,-307.91,38.693266,100.000000,61.306734,-0.320363,-0.500000,-0.179637,-3.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,77,1
147797324,2026-05-23 11:26:42,mem015,1,154,55,6,3,2386.49,1098.59,-1287.91,-1130.75,-267.07,25.938404,28.698698,2.760294,-0.226174,-0.248222,-0.022048,-7.3333,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,78,1
145231196,2026-05-23 11:40:10,mem015,1,11,0,1,0,1279.57,0.00,-1279.57,-932.20,-254.81,27.334906,,,-0.199141,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,79,1
145429384,2026-05-22 22:20:26,mem015,1,18,6,11,2,498.71,192.04,-306.67,-218.86,-218.86,78.756378,54.545455,-24.210924,-0.648902,-0.545455,0.103448,1.3636,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,80,1
145431551,2026-05-22 23:14:31,mem015,1,0,10,0,2,0.00,1003.84,1003.84,907.82,-192.04,,-21.153846,,,0.191304,,,NO_BASELINE —— 处置前无注单，无从比对,81,1
143676310,2026-05-21 00:00:25,mem015,1,84,12,7,1,3686.68,555.17,-3131.52,-3044.23,-185.77,8.855981,26.772388,17.916407,-0.084366,-0.225629,-0.141263,0.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,82,1
145000867,2026-05-20 21:45:02,mem015,1,433,198,14,3,48228.96,20075.94,-28153.01,-24193.63,-150.26,1.113738,1.766971,0.653233,-0.009801,-0.016059,-0.006259,35.0714,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,83,1
143676162,2026-05-20 23:59:40,mem015,1,9,0,4,0,497.56,0.00,-497.56,-471.18,-113.69,24.129177,,,-0.228497,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,84,1
143676106,2026-05-20 23:59:33,mem015,1,3,0,2,0,157.17,0.00,-157.17,-157.17,-105.72,67.266494,,,-0.672665,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,85,1
