member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,audit_rn,batch_id
101160860,2026-08-05,2.0548121131,-2.0548121131,-2.0548121131,0E-10,2.0548121131,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,108,1
101172876,2026-08-05,4109.6242262349,-1541.1090848381,-1541.1090848381,0E-10,4109.6242262349,3,1,1,shoe_pos>=0.80,1.0000000,0E-7,0.10825317547306268,109,1
101173089,2026-08-04,102.2269026276,-26.0961138367,-26.0961138367,0E-10,102.2269026276,3,2,1,shoe_pos>=0.80,0E-7,0E-7,0.413497921149624,110,1
101176024,2026-08-04,4826.6526588021,-41.3164700184,-41.3164700184,0E-10,4604.4124777773,77,29,3,shoe_pos>=0.80,0.2077922,0E-7,0.6752746743095476,111,1
101176024,2026-08-06,171.7310489737,86.3706158073,86.3706158073,0E-10,171.7310489737,5,4,1,shoe_pos>=0.80,0E-7,0E-7,0.26306682088333344,112,1
101191616,2026-08-05,825.0070634165,-568.1555492769,-568.1555492769,0E-10,825.0070634165,4,4,1,shoe_pos>=0.80,0.5000000,0E-7,0.7530104628769383,113,1
101191616,2026-08-06,1030.7451262425,-1030.7451262425,-1030.7451262425,0E-10,1030.7451262425,2,2,2,shoe_pos>=0.80,0E-7,0E-7,0.3534652885771914,114,1
101222815,2026-08-05,560.8108108110,-344.5945945948,-344.5945945948,0E-10,493.2432432434,7,1,2,shoe_pos>=0.80,0E-7,0E-7,0.2685963471038461,115,1
101222815,2026-08-06,2425.6756756755,246.6216216216,246.6216216216,0E-10,2222.9729729728,14,2,2,shoe_pos>=0.80,0.1428571,0E-7,0.26209589392580734,116,1
101290614,2026-08-05,7.0712784870,-1.0606917730,-1.0606917730,0E-10,5.0509132050,5,3,2,shoe_pos>=0.80,0.6000000,0E-7,0.3912303982179758,117,1
101290614,2026-08-06,5.6570227897,-5.6570227897,-5.6570227897,0E-10,5.6570227897,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.4040610178387408,118,1
101300553,2026-08-04,105.0522692831,-22.1020727917,-22.1020727917,0E-10,92.7233966044,9,5,1,shoe_pos>=0.80,0.1111111,0E-7,0.11063400828220465,119,1
101300553,2026-08-05,678.3448488429,284.4116816071,284.4116816071,0E-10,584.0803431536,22,8,3,shoe_pos>=0.80,0.1363636,0E-7,1.3586436891541545,120,1
101300553,2026-08-06,2208.9230216013,-260.5373333675,-260.5373333675,0E-10,2167.3130763106,69,21,2,shoe_pos>=0.80,0.0434783,0E-7,1.1188021439031857,121,1
101301271,2026-08-05,28.0000000000,-28.0000000000,-28.0000000000,0E-10,28.0000000000,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,122,1
101366515,2026-08-04,30.3084786685,-30.3084786685,-30.3084786685,0E-10,30.3084786685,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,123,1
101366515,2026-08-05,33.6475483523,-33.6475483523,-33.6475483523,0E-10,33.6475483523,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,124,1
101382908,2026-08-04,574.3199856167,-87.2396167777,-87.2396167777,0E-10,492.6412041203,28,8,2,shoe_pos>=0.80,0.1785714,0E-7,0.5387118658666615,125,1
101406618,2026-08-05,1118.0000000000,116.1000000000,116.1000000000,0E-10,1118.0000000000,12,3,1,shoe_pos>=0.80,0.2500000,0E-7,0.4622715965981464,126,1
101406618,2026-08-06,1581.0000000000,223.0500000000,223.0500000000,0E-10,1259.0000000000,17,4,1,shoe_pos>=0.80,0E-7,0E-7,0.6836207021613907,127,1
101411074,2026-08-04,1604.1381442391,-34.6961533365,-34.6961533365,0E-10,1504.5488671999,72,15,1,shoe_pos>=0.80,0.1527778,0E-7,0.43136024620142355,128,1
101431224,2026-08-04,24682.3985776624,555.9843219654,555.9843219654,0E-10,20839.6638112167,89,10,1,shoe_pos>=0.80,0.4606742,0E-7,0.9392578951508873,129,1
101431224,2026-08-05,23022.0623888795,-14570.8744140940,-14570.8744140940,0E-10,20638.0313560688,27,4,1,shoe_pos>=0.80,0.7407407,0E-7,1.255853412030864,130,1
101444673,2026-08-04,148.9738782012,0.2568515141,0.2568515141,0E-10,141.2683327770,19,1,1,shoe_pos>=0.80,0.4210526,0E-7,0.6594686723760529,131,1
101459021,2026-08-04,918.0000000000,-918.0000000000,-918.0000000000,0E-10,918.0000000000,4,3,2,shoe_pos>=0.80,0.2500000,0E-7,0.6166308647361459,132,1
101459021,2026-08-05,1348.0000000000,-1024.0000000000,-1024.0000000000,0E-10,1348.0000000000,8,5,2,shoe_pos>=0.80,0E-7,0E-7,1.1509550422387986,133,1
101462342,2026-08-05,19082.3412698412,2066.7162698410,2066.7162698410,0E-10,16883.2671957671,80,19,1,shoe_pos>=0.80,0.2500000,0E-7,0.3846772096963874,134,1
101462342,2026-08-06,7316.4682539684,1010.2513227509,1010.2513227509,0E-10,7184.1931216933,34,12,1,shoe_pos>=0.80,0.2058824,0E-7,0.5149503935366345,135,1
101470435,2026-08-05,31.5176983998,-17.7792144819,-17.7792144819,0E-10,17.7792144819,2,1,1,shoe_pos>=0.80,1.0000000,0E-7,0.1813094310700221,136,1
101470435,2026-08-06,329.9256505564,-65.5608534013,-65.5608534013,0E-10,319.8238241462,24,3,1,shoe_pos>=0.80,0E-7,0E-7,0.3175424365351964,137,1
101472312,2026-08-05,121.6259899787,-20.1026345562,-20.1026345562,0E-10,111.5241635685,10,1,1,shoe_pos>=0.80,0E-7,0E-7,0.3885291746507275,138,1
101473268,2026-08-06,639.6476482924,-157.8713431369,-157.8713431369,0E-10,519.8399870673,33,7,2,shoe_pos>=0.80,0.0909091,0E-7,0.763017720309536,139,1
101475972,2026-08-05,40.4073056408,26.5678034589,26.5678034589,0E-10,40.4073056408,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,140,1
101478559,2026-08-04,1926.3863560475,-667.8139367631,-667.8139367631,0E-10,1926.3863560475,10,5,2,shoe_pos>=0.80,0.3000000,0E-7,0.3513641844633356,141,1
101478559,2026-08-05,1284.2575706985,-256.8515141397,-256.8515141397,0E-10,1284.2575706985,5,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,142,1
101478559,2026-08-06,513.7030282794,-513.7030282794,-513.7030282794,0E-10,513.7030282794,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.0,143,1
101495897,2026-08-06,65.4971361055,-4.3664757403,-4.3664757403,0E-10,65.4971361055,10,9,1,shoe_pos>=0.80,0.1000000,0E-7,0.3513641844577887,144,1
101501093,2026-08-04,166.9534841909,82.8346133100,82.8346133100,0E-10,159.2479387667,17,8,2,shoe_pos>=0.80,0.0588235,0E-7,1.742804310271499,145,1
101501093,2026-08-05,529.3709706423,-97.7320011304,-97.7320011304,0E-10,485.7062132385,43,8,2,shoe_pos>=0.80,0.4418605,0E-7,1.5002807059719008,146,1
