"LV3 代理线","综合分","赏侧均值","罚侧均值","综合分分位","领域｜D01 获客","领域｜D06 收入","领域｜D05 留存","领域｜D08 风险","领域｜D11 网络","领域｜D07 盈利","维度｜线下规模","维度｜真实流水","维度｜下线留存","维度｜新增会员质量","维度｜对打渗透率","维度｜单链密度","维度｜退水消耗比"
"56680",0.91,59.98,59.07,51.5,77.4,77.3,7.9,51.9,69.1,1.9,81.9,77.3,7.9,72.9,48.1,30.9,98.1
"38506",1.05,61.01,59.96,51.7,58.2,66,61.6,51.9,14.9,53.3,70.7,66,61.6,45.8,48.1,85.1,46.7
"40953",1.07,58.75,57.69,52,69.7,70.7,24.9,51.9,21.7,53.3,91.7,70.7,24.9,47.7,48.1,78.3,46.7
"49379",1.09,43,41.91,52.3,43.8,52.1,32.3,51.9,69.1,53.3,69.6,52.1,32.3,18.1,48.1,30.9,46.7
"31792",1.22,43.13,41.91,52.5,35.2,4.4,97.7,51.9,69.1,53.3,17.9,4.4,97.7,52.6,48.1,30.9,46.7
"53695",1.25,62.19,60.93,52.8,61.5,71,54.8,51.9,12,53.3,67.3,71,54.8,55.6,48.1,88,46.7
"56034",1.29,59.46,58.18,53.1,74,78.6,11.1,51.9,69.1,4.5,50,78.6,11.1,98.1,48.1,30.9,95.5
"42197",1.36,43.27,41.91,53.3,51.6,43.6,26.4,51.9,69.1,53.3,45.9,43.6,26.4,57.3,48.1,30.9,46.7
"21787",1.46,43.37,41.91,53.6,24.9,34.8,88.9,51.9,69.1,53.3,36.1,34.8,88.9,13.7,48.1,30.9,46.7
"42838",1.47,43.38,41.91,53.9,47.5,32.9,45.7,51.9,69.1,53.3,55.7,32.9,45.7,39.2,48.1,30.9,46.7
"37589",1.48,58.1,56.62,54.1,51.7,78.9,50.1,51.9,24.9,53.3,32.7,78.9,50.1,70.7,48.1,75.1,46.7
"21052",1.58,64.34,62.76,54.4,57.7,83,58.9,51.9,6.5,53.3,88.3,83,58.9,27.1,48.1,93.5,46.7
"6182",1.6,63.86,62.27,54.7,65.9,54.5,69.2,51.9,8,53.3,72.3,54.5,69.2,59.5,48.1,92,46.7
"39218",1.65,56.58,54.93,54.9,48.1,50.1,80.1,51.9,30,53.3,50.9,50.1,80.1,45.2,48.1,70,46.7
"55838",1.78,60.49,58.71,55.2,60.3,68.8,52.5,51.9,18.7,53.3,79.9,68.8,52.5,40.8,48.1,81.3,46.7
"45819",1.82,43.73,41.91,55.5,10,62.2,92.7,51.9,69.1,53.3,12.4,62.2,92.7,7.7,48.1,30.9,46.7
"25655",1.83,54.85,53.02,55.7,46.4,84.7,41.9,51.9,35.7,53.3,82.1,84.7,41.9,10.7,48.1,64.3,46.7
"21218",1.92,43.83,41.91,56,43.5,36.7,51.6,51.9,69.1,53.3,65.1,36.7,51.6,21.9,48.1,30.9,46.7
"33541",1.93,43.84,41.91,56.3,63.7,31.2,16.7,51.9,69.1,53.3,44.9,31.2,16.7,82.5,48.1,30.9,46.7
"436",2.29,44.2,41.91,56.5,23.7,52.6,76.8,51.9,69.1,53.3,41.1,52.6,76.8,6.3,48.1,30.9,46.7
"5078",2.37,73.7,71.33,56.8,74.1,90.7,56,1.1,31.6,53.3,54.1,90.7,56,94,98.9,68.4,46.7
"24107",2.52,44.44,41.91,57.1,46,32.1,53.7,51.9,69.1,53.3,36.1,32.1,53.7,55.9,48.1,30.9,46.7
"29216",2.53,44.44,41.91,57.3,67,35.3,8.5,51.9,69.1,53.3,52.3,35.3,8.5,81.6,48.1,30.9,46.7
"6518",2.55,65.75,63.2,57.6,66.3,89.9,40.5,51.9,5.2,53.3,97.9,89.9,40.5,34.8,48.1,94.8,46.7
"32970",2.57,44.48,41.91,57.9,36.3,7.7,97.7,51.9,69.1,53.3,4.7,7.7,97.7,67.9,48.1,30.9,46.7
"18767",2.68,44.59,41.91,58.1,30,46,72.3,51.9,69.1,53.3,47.7,46,72.3,12.3,48.1,30.9,46.7
"14383",2.72,44.63,41.91,58.4,53.6,21.1,50.1,51.9,69.1,53.3,24.3,21.1,50.1,83,48.1,30.9,46.7
"12457",2.86,44.77,41.91,58.7,34.9,30.4,78.9,51.9,69.1,53.3,42.9,30.4,78.9,26.8,48.1,30.9,46.7
"50764",2.97,44.88,41.91,58.9,40.8,82.7,15.2,51.9,69.1,53.3,74.7,82.7,15.2,6.8,48.1,30.9,46.7
"34373",3.03,58.45,55.42,59.2,65.9,49.3,52.8,51.9,28.5,53.3,67.3,49.3,52.8,64.4,48.1,71.5,46.7
"9989",3.07,61.78,58.71,59.5,61.6,48.2,75.7,51.9,18.7,53.3,36.1,48.2,75.7,87.1,48.1,81.3,46.7
"1654",3.1,79.41,76.31,59.7,87.5,98.1,44.6,51.9,16,3.2,93.6,98.1,44.6,81.4,48.1,84,96.8
"23514",3.19,58.48,55.29,60,43.6,85.8,61,51.9,28.9,53.3,78.7,85.8,61,8.5,48.1,71.1,46.7
"38733",3.24,45.15,41.91,60.3,60,35.9,24.6,51.9,69.1,53.3,47.7,35.9,24.6,72.3,48.1,30.9,46.7
"29225",3.32,63.1,59.78,60.5,41.7,87.4,81.5,51.9,15.5,53.3,73.3,87.4,81.5,10.1,48.1,84.5,46.7
"16416",3.41,56.87,53.47,60.8,61.7,36.4,67.7,51.9,34.4,53.3,49.1,36.4,67.7,74.2,48.1,65.6,46.7
"46693",3.44,45.35,41.91,61.1,45.3,NA,NA,51.9,69.1,53.3,4.7,NA,NA,86,48.1,30.9,46.7
"55578",3.53,61.35,57.82,61.3,52.5,42.7,97.7,51.9,69.1,5.6,12.4,42.7,97.7,92.6,48.1,30.9,94.4
"33301",3.55,45.46,41.91,61.6,34.3,33.7,79.5,51.9,69.1,53.3,38,33.7,79.5,30.7,48.1,30.9,46.7
"36024",3.62,45.53,41.91,61.9,39.1,27.1,76.8,51.9,69.1,53.3,12.4,27.1,76.8,65.8,48.1,30.9,46.7
"35104",3.75,61.31,57.56,62.1,50.5,51,93.3,51.9,69.1,6.4,38,51,93.3,63,48.1,30.9,93.6
"29024",3.87,57.74,53.87,62.4,62.5,47.4,58.7,51.9,33.2,53.3,41.1,47.4,58.7,83.8,48.1,66.8,46.7
"23740",4.09,46,41.91,62.7,64.1,48.5,7.3,51.9,69.1,53.3,56.9,48.5,7.3,71.2,48.1,30.9,46.7
"14801",4.1,46.01,41.91,62.9,53.5,34.2,42.8,51.9,69.1,53.3,39.9,34.2,42.8,67.1,48.1,30.9,46.7
"13623",4.33,58.42,54.09,63.2,47.9,94.8,43.1,51.9,32.5,53.3,84.5,94.8,43.1,11.2,48.1,67.5,46.7
"39429",4.35,67.55,63.2,63.5,68.5,95.1,38.1,51.9,5.2,53.3,99.5,95.1,38.1,37.5,48.1,94.8,46.7
"33729",4.36,66.89,62.53,63.7,62.1,88.8,54.5,51.9,7.2,53.3,94.9,88.8,54.5,29.3,48.1,92.8,46.7
"5244",4.37,74.02,69.64,64,73.3,75.6,73.9,51.9,34.1,5.1,56.1,75.6,73.9,90.4,48.1,65.9,94.9
"46633",5.08,46.99,41.91,64.3,22,58.6,85.3,51.9,69.1,53.3,44,58.6,85.3,0,48.1,30.9,46.7
"26488",5.34,59.03,53.69,64.5,46.1,49.9,94.1,51.9,33.7,53.3,27.5,49.9,94.1,64.7,48.1,66.3,46.7
"38556",5.42,47.33,41.91,64.8,45.4,17.3,81.2,51.9,69.1,53.3,39.9,17.3,81.2,51,48.1,30.9,46.7
"42999",5.48,62.23,56.76,65.1,66.5,78.4,37.5,51.9,24.5,53.3,94.4,78.4,37.5,38.6,48.1,75.5,46.7
"5453",5.77,47.69,41.91,65.3,47.2,38.6,57.8,51.9,69.1,53.3,51.6,38.6,57.8,42.7,48.1,30.9,46.7
"24241",5.88,47.79,41.91,65.6,35.8,26,93.5,51.9,69.1,53.3,32.7,26,93.5,38.9,48.1,30.9,46.7
"1337",6.14,48.05,41.91,65.9,51.4,58.4,31.1,51.9,69.1,53.3,69.3,58.4,31.1,33.4,48.1,30.9,46.7
"3094",6.16,58.87,52.71,66.1,74.4,61.1,25.5,51.9,36.7,53.3,65.6,61.1,25.5,83.3,48.1,63.3,46.7
"54935",6.29,48.2,41.91,66.4,59.5,41.9,31.8,51.9,69.1,53.3,34.7,41.9,31.8,84.4,48.1,30.9,46.7
"12407",6.42,48.33,41.91,66.7,23.5,61.6,84.8,51.9,69.1,53.3,42,61.6,84.8,4.9,48.1,30.9,46.7
"33850",6.47,70.51,64.04,66.9,73.6,66.6,68.3,51.9,2.7,53.3,69.1,66.6,68.3,78.1,48.1,97.3,46.7
"11848",6.84,63.33,56.49,67.5,60.8,60.5,71.3,51.9,25.3,53.3,74.9,60.5,71.3,46.6,48.1,74.7,46.7
"494",6.84,65.55,58.71,67.2,69.9,89.3,33.1,51.9,18.7,53.3,89.6,89.3,33.1,50.1,48.1,81.3,46.7
"33022",6.97,68.57,61.6,67.7,69,92.1,44.3,51.9,10,53.3,94.7,92.1,44.3,43.3,48.1,90,46.7
"14796",7.04,48.95,41.91,68,27.1,72.6,68.9,51.9,69.1,53.3,49.1,72.6,68.9,5.2,48.1,30.9,46.7
"22883",7.29,64.58,57.29,68.3,65.4,58.1,69.5,51.9,22.9,53.3,68.5,58.1,69.5,62.2,48.1,77.1,46.7
"53703",7.46,64.66,57.2,68.5,73,70.1,42.5,51.9,23.2,53.3,92,70.1,42.5,54,48.1,76.8,46.7
"9226",7.48,49.39,41.91,68.8,45.9,22.7,83,51.9,69.1,53.3,17.9,22.7,83,74,48.1,30.9,46.7
"3409",7.51,49.42,41.91,69.1,16.4,75.1,89.7,51.9,69.1,53.3,30.4,75.1,89.7,2.5,48.1,30.9,46.7
"26555",7.76,76.11,68.36,69.3,63.4,86.8,90.8,51.9,37.7,5.3,30.4,86.8,90.8,96.4,48.1,62.3,94.7
"14507",7.85,63.89,56.04,69.6,62.7,63,67.2,51.9,26.7,53.3,73.1,63,67.2,52.3,48.1,73.3,46.7
"43540",8.11,68.07,59.96,69.9,72.2,62.5,65.4,51.9,14.9,53.3,74,62.5,65.4,70.4,48.1,85.1,46.7
"14040",8.17,50.08,41.91,70.1,51.4,51.2,46.3,51.9,69.1,53.3,64.7,51.2,46.3,38.1,48.1,30.9,46.7
"3381",8.19,70.46,62.27,70.4,78.5,84.9,39.9,51.9,8,53.3,88.5,84.9,39.9,68.5,48.1,92,46.7
"57090",8.23,50.14,41.91,70.7,52.3,45.8,NA,51.9,69.1,53.3,4.7,45.8,NA,100,48.1,30.9,46.7
"6097",8.31,50.22,41.91,70.9,46.7,20,87.4,51.9,69.1,53.3,27.5,20,87.4,66,48.1,30.9,46.7
"492",8.44,72.18,63.73,71.2,67.6,93.2,60.4,51.9,3.6,53.3,97.3,93.2,60.4,37.8,48.1,96.4,46.7
"43415",8.48,64.08,55.6,71.5,67,65.5,56.9,51.9,28,53.3,81.1,65.5,56.9,52.9,48.1,72,46.7
"24110",8.53,50.44,41.91,71.7,50.5,30.1,70.7,51.9,69.1,53.3,39.9,30.1,70.7,61.1,48.1,30.9,46.7
"38329",8.58,50.49,41.91,72,68,42.5,23.5,51.9,69.1,53.3,60.1,42.5,23.5,75.9,48.1,30.9,46.7
"36351",8.62,50.53,41.91,72.3,68.2,53.4,12.3,51.9,69.1,53.3,57.5,53.4,12.3,78.9,48.1,30.9,46.7
"7591",9.46,72.53,63.07,72.5,76,79.7,58.4,51.9,5.6,53.3,91.2,79.7,58.4,60.8,48.1,94.4,46.7
"43710",9.48,69.43,59.96,72.8,78.7,77,43.4,51.9,14.9,53.3,87.2,77,43.4,70.1,48.1,85.1,46.7
"55689",9.68,51.59,41.91,73.1,57.4,41.4,50.1,51.9,69.1,53.3,17.9,41.4,50.1,97,48.1,30.9,46.7
"56011",9.76,51.68,41.91,73.3,42.9,23.3,97.7,51.9,69.1,53.3,4.7,23.3,97.7,81.1,48.1,30.9,46.7
"40961",10.34,68.52,58.18,73.6,75.7,89,33.7,51.9,20.3,53.3,97.1,89,33.7,54.2,48.1,79.7,46.7
"51870",10.41,68.5,58.09,73.9,54.9,69.6,94.7,51.9,69.1,4.8,45.9,69.6,94.7,63.8,48.1,30.9,95.2
"43525",10.54,68.94,58.4,74.1,73.2,88.5,40.8,51.9,19.6,53.3,83.2,88.5,40.8,63.3,48.1,80.4,46.7
"29234",10.57,67.2,56.62,74.4,66.4,72.9,63,51.9,24.9,53.3,80.8,72.9,63,52.1,48.1,75.1,46.7
"24757",10.65,52.56,41.91,74.7,47.9,66.8,47.5,51.9,69.1,53.3,80.5,66.8,47.5,15.3,48.1,30.9,46.7
"30827",10.72,52.63,41.91,74.9,61.4,50.7,37,51.9,69.1,53.3,34.7,50.7,37,88.2,48.1,30.9,46.7
"937",10.84,67.68,56.84,75.2,72.4,72.1,54,51.9,24.3,53.3,62.5,72.1,54,82.2,48.1,75.7,46.7
"39598",11.06,73.01,61.96,75.5,81.1,67.7,62.2,51.9,8.9,53.3,79.5,67.7,62.2,82.7,48.1,91.1,46.7
"53728",11.13,53.05,41.91,75.7,45.5,23.6,97.7,51.9,69.1,53.3,4.7,23.6,97.7,86.3,48.1,30.9,46.7
"4319",11.42,72.09,60.67,76,76.6,92.9,42.2,51.9,12.8,53.3,96.3,92.9,42.2,57,48.1,87.2,46.7
"34410",11.72,70.92,59.2,76.3,77.8,91.5,36.7,51.9,17.2,53.3,83.7,91.5,36.7,71.8,48.1,82.8,46.7
"7843",11.77,53.68,41.91,76.5,52,13.2,97.7,51.9,69.1,53.3,12.4,13.2,97.7,91.5,48.1,30.9,46.7
"18770",11.81,66.08,54.27,76.8,71.1,73.4,48.7,51.9,32,53.3,54.5,73.4,48.7,87.7,48.1,68,46.7
"9924",11.9,53.82,41.91,77.1,69.6,55.9,20.2,51.9,69.1,53.3,66.5,55.9,20.2,72.6,48.1,30.9,46.7
"14021",12.18,73.78,61.6,77.3,68.8,82.2,75.4,51.9,10,53.3,79.2,82.2,75.4,58.4,48.1,90,46.7
"26487",12.19,64.76,52.58,77.6,62.4,59.2,75.1,51.9,37.1,53.3,34.7,59.2,75.1,90.1,48.1,62.9,46.7
"6548",12.26,54.17,41.91,77.9,45.3,79.5,46.6,51.9,69.1,53.3,82.7,79.5,46.6,7.9,48.1,30.9,46.7
"41336",12.34,54.25,41.91,78.1,59.3,40.8,57.5,51.9,69.1,53.3,27.5,40.8,57.5,91.2,48.1,30.9,46.7
"34111",12.42,71.22,58.8,78.4,62.5,68.2,91.6,51.9,69.1,2.7,27.5,68.2,91.6,97.5,48.1,30.9,97.3
"22960",12.66,73.15,60.49,78.7,70.8,97.5,53.4,51.9,13.3,53.3,98.7,97.5,53.4,43,48.1,86.7,46.7
"46984",13.35,72.33,58.98,78.9,67.5,73.7,80.6,51.9,69.1,2.1,44,73.7,80.6,91,48.1,30.9,97.9
"33454",13.5,55.41,41.91,79.2,46,53.7,76,51.9,69.1,53.3,42.9,53.7,76,49,48.1,30.9,46.7
"4327",13.56,55.47,41.91,79.5,55.1,39.5,72.3,51.9,69.1,53.3,30.4,39.5,72.3,79.7,48.1,30.9,46.7
"20907",13.64,68.04,54.4,79.7,70.4,91.8,39.6,51.9,31.6,53.3,91.5,91.8,39.6,49.3,48.1,68.4,46.7
"4802",13.64,73.24,59.6,80,75.2,85.5,57.2,51.9,16,53.3,84,85.5,57.2,66.3,48.1,84,46.7
"24226",13.9,76.83,62.93,80.3,81.6,91,53.1,51.9,6,53.3,89.9,91,53.1,73.4,48.1,94,46.7
"6397",14.13,78.71,64.58,80.5,78.7,99.5,58.1,51.9,1.1,53.3,98.4,99.5,58.1,58.9,48.1,98.9,46.7
"56741",14.15,56.06,41.91,80.8,49.6,27.4,97.7,51.9,69.1,53.3,4.7,27.4,97.7,94.5,48.1,30.9,46.7
"21049",14.57,76.17,61.6,81.1,67.7,95.6,73.6,51.9,10,53.3,95.7,95.6,73.6,39.7,48.1,90,46.7
"7196",14.61,56.52,41.91,81.3,69.3,55.6,31.8,51.9,69.1,53.3,44.9,55.6,31.8,93.7,48.1,30.9,46.7
"43396",14.68,56.59,41.91,81.6,57.7,41.1,69.8,51.9,69.1,53.3,34.7,41.1,69.8,80.8,48.1,30.9,46.7
"41606",14.69,56.6,41.91,81.9,66.4,46.6,46.9,51.9,69.1,53.3,54.5,46.6,46.9,78.4,48.1,30.9,46.7
"55691",15.09,57,41.91,82.1,17.9,63.8,89.3,51.9,69.1,53.3,17.9,63.8,89.3,NA,48.1,30.9,46.7
"4330",16.21,76.79,60.58,82.4,84,93.7,45.5,51.9,13.1,53.3,92.4,93.7,45.5,75.6,48.1,86.9,46.7
"22144",16.27,58.18,41.91,82.7,55,63.6,59.2,51.9,69.1,53.3,77.3,63.6,59.2,32.6,48.1,30.9,46.7
"275",16.28,68.99,52.71,82.9,79.2,87.7,29.9,51.9,36.7,53.3,88.8,87.7,29.9,69.6,48.1,63.3,46.7
"40973",16.37,58.28,41.91,83.2,73.8,61.4,24,51.9,69.1,53.3,64.1,61.4,24,83.6,48.1,30.9,46.7
"1256",16.43,58.34,41.91,83.5,64,53.2,52.2,51.9,69.1,53.3,62.5,53.2,52.2,65.5,48.1,30.9,46.7
"16389",16.7,58.61,41.91,83.7,56.8,44.1,76.8,51.9,69.1,53.3,21.7,44.1,76.8,91.8,48.1,30.9,46.7
"3419",17.07,58.98,41.91,84,68.8,61.9,36.4,51.9,69.1,53.3,60.9,61.9,36.4,76.7,48.1,30.9,46.7
"43978",17.19,59.1,41.91,84.3,53.9,34.5,94.1,51.9,69.1,53.3,12.4,34.5,94.1,95.3,48.1,30.9,46.7
"488",17.2,71.38,54.18,84.5,75.3,79.2,55.7,51.9,32.3,53.3,76.9,79.2,55.7,73.7,48.1,67.7,46.7
"3140",17.4,59.31,41.91,84.8,68.9,65.2,34.3,51.9,69.1,53.3,63.2,65.2,34.3,74.5,48.1,30.9,46.7
"447",17.42,59.33,41.91,85.1,53.2,56.4,74.5,51.9,69.1,53.3,45.9,56.4,74.5,60.5,48.1,30.9,46.7
"44311",17.72,59.63,41.91,85.3,68.8,60.8,40.2,51.9,69.1,53.3,70.9,60.8,40.2,66.6,48.1,30.9,46.7
"28153",17.75,79.35,61.6,85.6,73.3,94.5,76.2,51.9,10,53.3,87.5,94.5,76.2,59.2,48.1,90,46.7
"13120",18.07,75.75,57.69,85.9,82.3,90.4,48.1,51.9,21.7,53.3,70.3,90.4,48.1,94.2,48.1,78.3,46.7
"7176",18.45,60.36,41.91,86.1,66.6,63.3,44.9,51.9,69.1,53.3,65.6,63.3,44.9,67.7,48.1,30.9,46.7
"21043",18.55,60.46,41.91,86.4,71.3,65.8,33.4,51.9,69.1,53.3,58,65.8,33.4,84.7,48.1,30.9,46.7
"44876",18.6,60.51,41.91,86.7,49.9,44.7,97.7,51.9,69.1,53.3,4.7,44.7,97.7,95.1,48.1,30.9,46.7
"24227",18.66,60.57,41.91,86.9,48.1,71.2,74.8,51.9,69.1,53.3,66.1,71.2,74.8,30.1,48.1,30.9,46.7
"4316",19.2,78.8,59.6,87.2,77.1,96.2,64.8,51.9,16,53.3,90.1,96.2,64.8,64.1,48.1,84,46.7
"40552",19.38,61.29,41.91,87.5,56.2,59.5,73.3,51.9,69.1,53.3,27.5,59.5,73.3,84.9,48.1,30.9,46.7
"12404",19.42,79.69,60.27,88,73.9,91.2,79.8,51.9,14,53.3,92.4,91.2,79.8,55.3,48.1,86,46.7
"54377",19.42,61.33,41.91,87.7,77.1,76.4,14.7,51.9,69.1,53.3,76.4,76.4,14.7,77.8,48.1,30.9,46.7
"50856",19.58,61.49,41.91,88.3,73.5,69.3,29.6,51.9,69.1,53.3,58,69.3,29.6,89,48.1,30.9,46.7
"37174",19.69,61.6,41.91,88.5,69.9,77.8,28.7,51.9,69.1,53.3,84.8,77.8,28.7,55.1,48.1,30.9,46.7
"19641",20.11,62.02,41.91,88.8,54.1,49,90.8,51.9,69.1,53.3,12.4,49,90.8,95.9,48.1,30.9,46.7
"15498",20.31,62.22,41.91,89.1,51.6,47.9,97.7,51.9,69.1,53.3,4.7,47.9,97.7,98.6,48.1,30.9,46.7
"20678",20.7,62.61,41.91,89.3,59,51.5,80.9,51.9,69.1,53.3,38,51.5,80.9,80,48.1,30.9,46.7
"24231",20.71,74.71,54,89.9,73.4,74.2,77.7,51.9,32.8,53.3,53.7,74.2,77.7,93.2,48.1,67.2,46.7
"33560",20.71,62.62,41.91,89.6,36.1,56.7,95,51.9,69.1,53.3,36.1,56.7,95,NA,48.1,30.9,46.7
"4659",20.72,62.63,41.91,90.1,40.9,97,71.8,51.9,69.1,53.3,77.9,97,71.8,3.8,48.1,30.9,46.7
"4806",21.04,76.33,55.29,90.4,67.2,87.1,83.9,51.9,28.9,53.3,47.7,87.1,83.9,86.6,48.1,71.1,46.7
"41503",21.33,63.24,41.91,90.7,54.5,59.7,84.2,51.9,69.1,53.3,58.4,59.7,84.2,50.7,48.1,30.9,46.7
"34506",21.5,63.41,41.91,90.9,68.5,54.2,62.5,51.9,69.1,53.3,57.5,54.2,62.5,79.5,48.1,30.9,46.7
"26135",21.6,63.51,41.91,91.2,58.9,48.8,87.4,51.9,69.1,53.3,32.7,48.8,87.4,85.2,48.1,30.9,46.7
"53687",21.72,63.63,41.91,91.5,73.9,92.3,14.4,51.9,69.1,53.3,94.1,92.3,14.4,53.7,48.1,30.9,46.7
"3059",21.8,75.05,53.24,91.7,77.5,83.3,61.9,51.9,35.1,53.3,76.4,83.3,61.9,78.6,48.1,64.9,46.7
"10857",21.98,80.69,58.71,92,84.3,97.8,56.3,51.9,18.7,53.3,93.9,97.8,56.3,74.8,48.1,81.3,46.7
"56399",22.23,64.14,41.91,92.3,52.1,54.8,97.7,51.9,69.1,53.3,4.7,54.8,97.7,99.5,48.1,30.9,46.7
"56218",22.28,64.2,41.91,92.5,79.2,89.6,8.8,51.9,69.1,53.3,68.5,89.6,8.8,89.9,48.1,30.9,46.7
"29231",22.41,80.68,58.27,92.8,77.9,94,73,51.9,20,53.3,85.9,94,73,69.9,48.1,80,46.7
"0",23.25,81.52,58.27,93.1,69.8,96.4,90,51.9,69.1,4.3,39.9,96.4,90,99.7,48.1,30.9,95.7
"50071",24.13,66.04,41.91,93.3,66.3,52.9,78.6,51.9,69.1,53.3,61.7,52.9,78.6,71,48.1,30.9,46.7
"9725",24.45,66.36,41.91,93.6,62.1,81.6,59.5,51.9,69.1,53.3,84.3,81.6,59.5,40,48.1,30.9,46.7
"51174",24.57,66.48,41.91,93.9,63.8,55.3,83,51.9,69.1,53.3,38,55.3,83,89.6,48.1,30.9,46.7
"21611",26.1,87.03,60.93,94.1,82,95.9,88.3,51.9,12,53.3,75.5,95.9,88.3,88.5,48.1,88,46.7
"33894",26.28,68.19,41.91,94.4,77,80,38.7,51.9,69.1,53.3,77.6,80,38.7,76.4,48.1,30.9,46.7
"34412",26.8,79.16,52.36,94.7,80,90.1,66.6,51.9,37.7,53.3,82.9,90.1,66.6,77,48.1,62.3,46.7
"7688",26.86,68.77,41.91,94.9,61.5,67.1,85,51.9,69.1,53.3,63.2,67.1,85,59.7,48.1,30.9,46.7
"6151",26.91,68.82,41.91,95.2,69,71.5,65.7,51.9,69.1,53.3,69.9,71.5,65.7,68.2,48.1,30.9,46.7
"14743",27.38,69.29,41.91,95.5,68.1,72.3,68.6,51.9,69.1,53.3,87.7,72.3,68.6,48.5,48.1,30.9,46.7
"870",27.78,69.69,41.91,95.7,70.1,81.9,56.6,51.9,69.1,53.3,81.6,81.9,56.6,58.6,48.1,30.9,46.7
"7485",28.36,81.61,53.24,96,81.9,96.7,66,51.9,35.1,53.3,83.5,96.7,66,80.3,48.1,64.9,46.7
"41573",28.52,70.43,41.91,96.3,73,64.7,71,51.9,69.1,53.3,47.7,64.7,71,98.4,48.1,30.9,46.7
"21483",28.99,70.9,41.91,96.5,64.1,64.1,91.2,51.9,69.1,53.3,47.7,64.1,91.2,80.5,48.1,30.9,46.7
"5765",29.36,71.27,41.91,96.8,68.1,64.4,84.5,51.9,69.1,53.3,66.9,64.4,84.5,69.3,48.1,30.9,46.7
"37278",29.94,71.85,41.91,97.1,75.1,74,63.3,51.9,69.1,53.3,61.3,74,63.3,88.8,48.1,30.9,46.7
"266",30.01,71.92,41.91,97.3,67.6,86.3,66.3,51.9,69.1,53.3,78.4,86.3,66.3,56.7,48.1,30.9,46.7
"6722",30.85,72.76,41.91,97.6,71.5,75.3,72.7,51.9,69.1,53.3,46.8,75.3,72.7,96.2,48.1,30.9,46.7
"38326",31.95,73.86,41.91,97.9,85.5,86.6,37.8,51.9,69.1,53.3,86.9,86.6,37.8,84.1,48.1,30.9,46.7
"26556",32.06,73.97,41.91,98.1,73.9,87.9,60.1,51.9,69.1,53.3,50,87.9,60.1,97.8,48.1,30.9,46.7
"12277",34.03,75.94,41.91,98.4,67.6,81.1,87.4,51.9,69.1,53.3,38,81.1,87.4,97.3,48.1,30.9,46.7
"41566",34.17,76.08,41.91,98.7,71.6,74.5,86.5,51.9,69.1,53.3,55.3,74.5,86.5,87.9,48.1,30.9,46.7
"43722",35.46,77.37,41.91,98.9,74.6,93.4,66.9,51.9,69.1,53.3,50,93.4,66.9,99.2,48.1,30.9,46.7
"55636",36.55,78.46,41.91,99.2,72.5,80.3,88.6,51.9,69.1,53.3,52.9,80.3,88.6,92.1,48.1,30.9,46.7
"55893",36.74,78.65,41.91,99.5,68.5,83.6,94.1,51.9,69.1,53.3,38,83.6,94.1,98.9,48.1,30.9,46.7
"24239",39.37,81.28,41.91,99.7,80.5,92.6,71.6,51.9,69.1,53.3,75.2,92.6,71.6,85.8,48.1,30.9,46.7
"50851",43.28,85.19,41.91,100,79.9,98.9,82.1,51.9,69.1,53.3,64.1,98.9,82.1,95.6,48.1,30.9,46.7
