"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"2266",20.63,68.88,48.26,90.2,37870208.01,1085406.6,78.4,62.4,67.4,51.5,52.6,78.4,62.4,98.6,36.1,52.3,53,40.4,47.4
"2130",21,76.14,55.14,90.6,33835017.8,-47994.47,71.1,74.9,79.3,27.6,96.5,71.1,74.9,92.2,66.4,62.4,63.4,91.3,3.5
"2169",21.02,68.41,47.39,90.9,58612041.63,658147.82,95.1,96.5,41,39.5,92,95.1,96.5,57.6,24.4,71.1,64.1,46.3,8
"2123",21.06,83.69,62.63,91.3,66401430.68,-156740.98,99.7,99.3,67.9,20.6,87.8,99.7,99.3,45.9,89.9,98.3,76,64.1,12.2
"1331",21.44,78.85,57.4,92,54532091.54,592899.94,90.9,90.9,66.8,28.5,85,90.9,90.9,54.1,79.4,90.9,74.2,49.5,15
"2254",21.44,60.72,39.29,91.6,20856168.65,-418307.9,54,51.9,68.5,62.8,54.4,54,51.9,75.2,61.8,25.8,25.8,59.9,45.6
"2258",21.5,71.5,50,92.3,38673780.6,-128912.51,80.5,67.9,68.8,48.3,55.1,80.5,67.9,92.2,45.4,54.7,54.7,45.6,44.9
"2167",21.55,75.91,54.36,92.7,36652553.2,388256.83,76.3,78.6,74.4,29.8,93,76.3,78.6,97.1,51.7,65.5,87.1,57.8,7
"2106",21.65,77.14,55.49,93,41097717,-275011.33,82.6,83.3,71.4,29.7,88.9,82.6,83.3,88.1,54.6,66.2,67.9,76.7,11.1
"2244",21.89,59.17,37.28,93.4,11571557.1,310711.84,49.8,49.8,68.5,66.7,50.9,49.8,49.8,63.1,73.9,25.8,25.8,48.4,49.1
"2093",22.34,75.12,52.79,93.7,57048095.24,791620.99,93.4,94.1,56.5,31.4,94.8,93.4,94.1,60.9,52.1,68.6,65.9,71.4,5.2
"2156",22.34,72.25,49.91,94.1,31544259.25,238426.99,66.6,62,80.2,43.4,70,66.6,62,95.3,65.1,57.5,55.7,56.4,30
"1304",22.51,81.4,58.89,94.4,35338188.01,537525.43,73.9,79.1,86.3,24.7,90.2,73.9,79.1,95.3,77.3,66.9,70,88.9,9.8
"1109",22.58,81.9,59.32,94.8,40309604.08,168938.59,81.5,84,81,21.4,98.6,81.5,84,98.6,63.4,94.1,70.7,71.1,1.4
