table_name,col_pos,column_name,data_type,column_comment,col_family,scope_db,scope_pattern,scope_scanned_at
ods_a168_jackpot,11,status,varchar,source_type=int(11); 狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_jackpot,12,operator,varchar,source_type=int(11); 最後操作人,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_member_partner_gamelist,6,status,varchar,source_type=int(11); 開關,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_member_url,7,operator,varchar,source_type=varchar(25); 最後異動者,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_gamelist,24,status,varchar,source_type=int(1); 狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_gamelist,25,status_mobile,varchar,source_type=int(1); 手機版狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_gamelist,26,status_lock,varchar,source_type=tinyint(1); 開關鎖,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_transation,16,status,varchar,"source_type=tinyint(1); 0:未處理,1:成功,2:失敗,3:回滾,4:處理中",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_type,15,status,varchar,source_type=int(11); 0: 關閉 1: 開放,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_payment_method,9,status,varchar,source_type=int(1); 狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_payment_platform,11,status,varchar,source_type=int(1); 啟停用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_payment_setting,15,status,varchar,source_type=int(1); 啟停用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissionrole,5,status,varchar,source_type=int(11); 0:禁用;1啟用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissions,6,status,varchar,source_type=int(11); 是否啟用 0:禁止;1:啟用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissions,7,mobilestatus,varchar,source_type=int(11); 手機板開關,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissionsPage,8,status,varchar,"source_type=enum(''Y'',''N''); 預設開關",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissionsPageRoles,6,status,varchar,"source_type=enum(''Y'',''N''); 啟/停用",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_permissionsgroup,5,status,varchar,source_type=int(11); 是否啟用 0:禁止;1:啟用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_shuffle_info,6,status,varchar,source_type=int(11); 0:洗牌中 1:可上桌 2:上桌中 3:已上桌 4:已完成,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_subagent_permissionrole,5,status,varchar,source_type=int(11); 0:禁用;1啟用,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_tablelimit,22,status,varchar,"source_type=int(1); 状态.0暂停,1正常",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_tablelimit,23,status_lock,varchar,source_type=tinyint(1); 開關鎖,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_tablelimit_third,9,status,varchar,source_type=int(1); 第三方狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_dtl,13,status,varchar,source_type=tinyint(1); 0:未處理 1:成功 2:失敗  3.回滾,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_dtl,16,feedback_status,varchar,"source_type=tinyint(1); 0,未處理 1,成功 2,失敗",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_reporter,10,status,varchar,"source_type=enum(''Y'',''N'',''P'',''X''); 狀態 N:未處理,Y:已處理,P:處理中, X: 處理失敗",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_reporter,11,reason,varchar,source_type=int(3); 原因,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_reporter_copy,10,status,varchar,"source_type=enum(''Y'',''N'',''P'',''X''); 狀態 N:未處理,Y:已處理,P:處理中, X: 處理失敗",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wallet_reporter_copy,11,reason,varchar,source_type=int(3); 原因,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_wechat_url,5,status,varchar,"source_type=tinyint(1); 0:使用,1:禁用",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_white_list,7,operator,varchar,source_type=varchar(30); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_ban_bet_area,4,account_type,varchar,source_type=varchar(1); ,（未命中）,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
