t,c,v,n,pct
ods_a168_bet02,bet03,114685942,13721,0.0000666
ods_a168_bet02,bet03,114687204,13700,0.0000665
ods_a168_bet02,bet03,114593418,13688,0.0000665
ods_a168_bet02,bet03,114666497,13686,0.0000665
ods_a168_bet02,bet03,114619392,13681,0.0000665
ods_a168_bet02,bet03,114640222,13629,0.0000662
ods_a168_bet02,bet03,114647046,13629,0.0000662
ods_a168_bet02,bet03,114645479,13613,0.0000661
ods_a168_bet02,bet03,114731542,13610,0.0000661
ods_a168_bet02,bet03,114646510,13579,0.000066
ods_a168_bet02,bet03,114629387,13578,0.000066
ods_a168_bet02,bet03,114674647,13573,0.0000659
ods_a168_bet02,bet03,114675192,13571,0.0000659
ods_a168_bet02,bet03,114736475,13568,0.0000659
ods_a168_bet02,bet03,114705237,13551,0.0000658
ods_a168_bet02,bet03,114730745,13549,0.0000658
ods_a168_bet02,bet03,114736370,13546,0.0000658
ods_a168_bet02,bet03,114609821,13545,0.0000658
ods_a168_bet02,bet03,114687942,13544,0.0000658
ods_a168_bet02,bet03,114600344,13537,0.0000658
ods_a168_bet02,bet03,114721360,13520,0.0000657
ods_a168_bet02,bet03,114712761,13511,0.0000656
ods_a168_bet02,bet03,114636130,13492,0.0000655
ods_a168_bet02,bet03,114622508,13468,0.0000654
ods_a168_bet02,bet03,114676861,13468,0.0000654
ods_a168_bet02,bet03,114697077,13462,0.0000654
ods_a168_bet02,bet03,114674029,13460,0.0000654
ods_a168_bet02,bet03,114633930,13454,0.0000654
ods_a168_bet02,bet03,114652497,13449,0.0000653
ods_a168_bet02,bet03,114647944,13444,0.0000653
ods_a168_bet02,bet03,114707338,13444,0.0000653
ods_a168_bet02,bet03,114706342,13441,0.0000653
ods_a168_bet02,bet03,114643362,13440,0.0000653
ods_a168_bet02,bet03,114647409,13436,0.0000653
ods_a168_bet02,bet03,114634559,13431,0.0000652
ods_a168_bet02,bet03,114717413,13403,0.0000651
ods_a168_bet02,bet03,114664094,13394,0.0000651
ods_a168_bet02,bet03,114715817,13393,0.0000651
ods_a168_bet02,bet03,114614060,13380,0.000065
ods_a168_bet02,bet03,114686045,13371,0.0000649
ods_a168_bet02,bet03,114596853,13366,0.0000649
ods_a168_bet02,bet03,114590463,13321,0.0000647
ods_a168_bet02,bet03,114650634,13320,0.0000647
ods_a168_bet02,bet03,114646316,13303,0.0000646
ods_a168_bet02,bet03,114621411,13278,0.0000645
ods_a168_bet02,bet03,114679105,13262,0.0000644
ods_a168_bet02,bet03,114711725,13258,0.0000644
ods_a168_bet02,bet03,114682715,13256,0.0000644
ods_a168_bet02,bet03,114703079,13252,0.0000644
ods_a168_bet02,bet03,114695671,13249,0.0000644
ods_a168_bet02,bet03,114714982,13241,0.0000643
ods_a168_bet02,bet03,114623721,13239,0.0000643
ods_a168_bet02,bet03,114617266,13235,0.0000643
ods_a168_bet02,bet03,114614145,13230,0.0000643
ods_a168_bet02,bet03,114619491,13203,0.0000641
ods_a168_bet02,bet03,114718340,13196,0.0000641
ods_a168_bet02,bet03,114707440,13193,0.0000641
ods_a168_bet02,bet03,114610909,13191,0.0000641
ods_a168_bet02,bet03,114650370,13157,0.0000639
ods_a168_bet02,bet03,114714798,13147,0.0000639
ods_a168_bet02,bet03,114584540,13141,0.0000638
ods_a168_bet02,bet03,114588043,13135,0.0000638
ods_a168_bet02,bet03,114619489,13132,0.0000638
ods_a168_bet02,bet03,114705880,13128,0.0000638
ods_a168_bet02,bet03,114596754,13125,0.0000638
ods_a168_bet02,bet03,114592472,13125,0.0000638
ods_a168_bet02,bet03,114621686,13119,0.0000637
ods_a168_bet02,bet03,114651946,13114,0.0000637
ods_a168_bet02,bet03,114684886,13107,0.0000637
ods_a168_bet02,bet03,114622779,13107,0.0000637
ods_a168_bet02,bet03,114620592,13097,0.0000636
ods_a168_bet02,bet03,114638483,13087,0.0000636
ods_a168_bet02,bet03,114655897,13085,0.0000636
ods_a168_bet02,bet03,114594055,13077,0.0000635
ods_a168_bet02,bet03,114701946,13076,0.0000635
ods_a168_bet02,bet03,114647236,13074,0.0000635
ods_a168_bet02,bet03,114629495,13071,0.0000635
ods_a168_bet02,bet03,114684782,13046,0.0000634
ods_a168_bet02,bet03,114677133,13033,0.0000633
ods_a168_bet02,bet03,114697268,13030,0.0000633
ods_a168_bet02,bet03,114646153,13025,0.0000633
ods_a168_bet02,bet03,114739652,13017,0.0000632
ods_a168_bet02,bet03,114669552,12997,0.0000631
ods_a168_bet02,bet03,114643450,12996,0.0000631
ods_a168_bet02,bet03,114601328,12988,0.0000631
ods_a168_bet02,bet03,114620495,12983,0.0000631
ods_a168_bet02,bet03,114728184,12979,0.000063
ods_a168_bet02,bet03,114594508,12960,0.000063
ods_a168_bet02,bet03,114689982,12960,0.000063
ods_a168_bet02,bet03,114647503,12944,0.0000629
ods_a168_bet02,bet03,114604649,12929,0.0000628
ods_a168_bet02,bet03,114627483,12928,0.0000628
ods_a168_bet02,bet03,114604555,12926,0.0000628
ods_a168_bet02,bet03,114632817,12924,0.0000628
ods_a168_bet02,bet03,114607874,12923,0.0000628
ods_a168_bet02,bet03,114658045,12903,0.0000627
ods_a168_bet02,bet03,114610815,12895,0.0000626
ods_a168_bet02,bet03,114643269,12890,0.0000626
ods_a168_bet02,bet03,114705321,12887,0.0000626
ods_a168_bet02,bet03,114695877,12882,0.0000626
ods_a168_bet02,bet03,114691609,12837,0.0000624
ods_a168_bet02,bet03,114626940,12831,0.0000623
ods_a168_bet02,bet03,114678265,12823,0.0000623
ods_a168_bet02,bet03,114629279,12818,0.0000623
ods_a168_bet02,bet03,114628308,12808,0.0000622
ods_a168_bet02,bet03,114676115,12807,0.0000622
ods_a168_bet02,bet03,114685936,12788,0.0000621
ods_a168_bet02,bet03,114663592,12772,0.000062
ods_a168_bet02,bet03,114596756,12761,0.000062
ods_a168_bet02,bet03,114622416,12757,0.000062
ods_a168_bet02,bet03,114711266,12756,0.000062
ods_a168_bet02,bet03,114704119,12747,0.0000619
ods_a168_bet02,bet03,114700702,12730,0.0000618
ods_a168_bet02,bet03,114675939,12728,0.0000618
ods_a168_bet02,bet03,114713925,12727,0.0000618
ods_a168_bet02,bet03,114705236,12711,0.0000617
ods_a168_bet02,bet03,114659063,12705,0.0000617
ods_a168_bet02,bet03,114608635,12700,0.0000617
ods_a168_bet02,bet03,114687740,12689,0.0000616
ods_a168_bet02,bet03,114626040,12684,0.0000616
ods_a168_bet02,bet03,114641256,12680,0.0000616
ods_a168_bet02,bet03,114666498,12678,0.0000616
ods_a168_bet02,bet03,114672946,12662,0.0000615
ods_a168_bet02,bet03,114703176,12662,0.0000615
ods_a168_bet02,bet03,114589148,12656,0.0000615
ods_a168_bet02,bet03,114705241,12651,0.0000615
ods_a168_bet02,bet03,114647329,12638,0.0000614
ods_a168_bet02,bet03,114595581,12633,0.0000614
ods_a168_bet02,bet03,114591386,12627,0.0000613
ods_a168_bet02,bet03,114710158,12627,0.0000613
ods_a168_bet02,bet03,114730557,12626,0.0000613
ods_a168_bet02,bet03,114681505,12611,0.0000613
ods_a168_bet02,bet03,114605736,12607,0.0000612
ods_a168_bet02,bet03,114733660,12606,0.0000612
ods_a168_bet02,bet03,114620231,12588,0.0000611
ods_a168_bet02,bet03,114613174,12586,0.0000611
ods_a168_bet02,bet03,114746332,12585,0.0000611
ods_a168_bet02,bet03,114744208,12575,0.0000611
ods_a168_bet02,bet03,114689138,12572,0.0000611
ods_a168_bet02,bet03,114684494,12568,0.000061
ods_a168_bet02,bet03,114689322,12565,0.000061
ods_a168_bet02,bet03,114613079,12550,0.000061
ods_a168_bet02,bet03,114698637,12550,0.000061
ods_a168_bet02,bet03,114616026,12541,0.0000609
ods_a168_bet02,bet03,114642307,12516,0.0000608
ods_a168_bet02,bet03,114630289,12515,0.0000608
ods_a168_bet02,bet03,114718430,12470,0.0000606
