dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率
1323,62425694.9878312528,47751,29378,7,-1011119.3503196564,29378,0.13977579607558452,0.0743754
2222,62347246.8448286935,46621,30045,6,-1551370.7036902687,30045,0.07329895299212955,0.0574804
2220,62066516.5481504160,46156,31723,6,-2711484.1734537475,31723,0.07327024166155464,0.0632664
789,62029710.0417133628,46973,29269,7,-1601083.3798105641,29269,0.13615007863950526,0.0874304
1646,61955405.2925559913,48813,31492,7,-842671.9228458648,31492,0.14014054650976074,0.0998666
1654,61598435.7894691337,47690,29007,7,-1358762.6722674930,29007,0.13455434538780675,0.1080084
2115,61314401.0659484399,45850,28907,7,-2330905.0890635284,28907,0.13884282443373513,0.0882485
2256,61055355.6902813761,44331,27579,5,-1182093.4937817952,27579,0.06807226813121521,0.0523224
1942,60936951.0944752421,47107,28901,7,-536773.8148206977,28901,0.13764438009445398,0.1145981
2130,60747891.9767285321,46793,29105,7,-1239412.2999171953,29105,0.14261347470047206,0.0883010
595,60615771.3139964312,46964,29324,7,-1281651.6772301724,29324,0.13896259078477835,0.0980767
1951,60505696.1240385871,46326,29004,7,-1474180.1791902764,29004,0.14076986961227372,0.0978831
1094,60225796.5882832968,48023,28923,8,-693569.3115185443,28923,0.14047719069177578,0.1127822
763,60083351.0425166591,46183,31270,7,-1154837.4843630267,31270,0.14181907229649746,0.0893828
2188,59453574.1586862927,45385,29900,7,-1716117.2239149610,29900,0.07290275288522023,0.0541806
2156,59157400.2591501682,44888,30194,6,-1097250.3544438199,30194,0.07459356549572627,0.0621647
2242,59023808.9307401396,44134,29778,6,-1455468.7555821150,29778,0.06700520393436708,0.0613540
1363,58916116.8729499754,45320,28474,7,-1078708.5628007905,28474,0.13482874204723783,0.0980895
2129,58794431.8228858387,44970,27584,7,-1192374.5560403583,27584,0.13942805166649955,0.1197071
1509,58742304.8139868685,45720,29597,6,-1152890.3103015904,29597,0.07955441770366559,0.0579788
1935,58692280.1980349212,45029,30991,6,-898147.4649310345,30991,0.07103486628132762,0.0602433
925,58444368.4544554408,46495,28819,7,-291866.4758831759,28819,0.13751282281361038,0.0986849
1353,58377923.3621577009,45634,28587,7,-1537636.0382398357,28587,0.13555777285324044,0.0822752
1017,58279106.4646472457,48058,27056,7,-1124100.3917178079,27056,0.14019859291780634,0.0920313
1623,57977320.1012155328,44638,29110,8,-480169.9626376189,29110,0.13843561556389633,0.1117485
2152,57911755.1303674297,44736,28714,6,-1372960.5137754159,28714,0.08257813679664296,0.0500453
1941,57703548.5403144367,44606,27492,9,-1284267.7827728292,27492,0.13621302468627944,0.1097774
1399,57557752.2665570274,44182,29232,6,-976476.2599469296,29232,0.07875882349176996,0.0627737
1151,57095537.6102717690,45117,27798,7,-773300.5102034567,27798,0.14306084688575968,0.0824520
1957,57072984.2921615451,45397,30845,6,-1270519.9678470882,30845,0.0844396032712345,0.0456152
2175,56956276.9675166819,44367,27336,6,-1284389.4211183817,27336,0.07725633578630917,0.0581285
2209,56859441.9619899897,45432,29921,6,-752373.9137649644,29921,0.08171576690191382,0.0547107
2267,56503735.1138109448,44472,27935,7,-703792.4016342197,27935,0.139373902227267,0.0870592
752,56316516.1443293910,44249,27780,7,-539278.5087963569,27780,0.14365959581032908,0.1107991
2212,56137942.7871927627,42996,27688,9,-1204289.7809900486,27688,0.06978060324194627,0.0720529
2224,55754918.6453661380,44023,29282,6,-964649.4162145051,29282,0.08388739676077954,0.0474011
2205,54939585.9439148091,42085,27525,7,-854411.3469242198,27525,0.07354822911419179,0.0436331
1966,54886384.0310668663,44128,29333,6,-947390.2434700445,29333,0.0793758880044459,0.0457164
1963,54528102.9370377773,43452,28751,6,-882966.6175950594,28751,0.07945179789703288,0.0628848
2216,53755910.7446766058,44359,28887,6,-2410567.6049825174,28887,0.07576003776580742,0.0591269
1299,53381665.1651422180,43151,24739,7,-2024079.5938713256,24739,0.1402861903495546,0.1061482
2234,53285770.8366741259,41431,27462,7,-481194.0079468799,27462,0.07555429549545788,0.0407108
2271,52870184.4347877539,40664,25102,7,-1626774.5941906644,25102,0.14005178590344108,0.1020636
