table,column,rows,sum,max_abs,ratio_to_stake,ratio_to_gross_ggr,units_verdict
QSB_02b2_lowcard_five_gates.csv,payout_over_stake,29,28.247759,0.997217,0.0000000021023788689081,0.000000120638061965785,PLAUSIBLE
R01_late_shoe.csv,stake_late_avg,92412,9955232.81051335,34785.2616521874,0.000740932089369775,0.0425159387928268,PLAUSIBLE
R01_late_shoe.csv,stake_early_avg,92412,9785521.09728666,35297.0870592872,0.000728301058366785,0.0417911488306722,PLAUSIBLE
R01_late_shoe.csv,stake_late,92412,2776134884.22789,44244675.2633175,0.206617711438254,11.8560743947462,PLAUSIBLE
R01_late_shoe.csv,game_pnl_late,92412,-44261956.5723093,1581850.44102063,-0.00329425786286803,-0.189030098270702,PLAUSIBLE
R01_late_shoe.csv,stake_all,92412,12767388192.083,113094762,0.950230676570913,54.5258463815744,PLAUSIBLE
R01_late_shoe.csv,game_pnl_all,92412,-196183219.624668,4016417.7737817,-0.0146012097941383,-0.837842159646287,PLAUSIBLE
R01_late_shoe_w2.csv,stake_late_avg,16897,1872867.62229571,50000,0.000139390785420417,0.00799847946423721,PLAUSIBLE
R01_late_shoe_w2.csv,stake_early_avg,16897,1832399.80236142,27878.0507614213,0.000136378911469616,0.00782565303333864,PLAUSIBLE
R01_late_shoe_w2.csv,stake_late,16897,221869769.508081,4347422,0.016512967101684,0.947542033414055,PLAUSIBLE
R01_late_shoe_w2.csv,game_pnl_late,16897,-1945393.08904944,339699.345279118,-0.000144788594455843,-0.00830821489324357,PLAUSIBLE
R01_late_shoe_w2.csv,stake_all,16897,1028277069.41502,21299360,0.0765309553271422,4.39147589789633,PLAUSIBLE
R01_late_shoe_w2.csv,game_pnl_all,16897,-8043366.15882408,791583.994709017,-0.000598638746783497,-0.0343509056800475,PLAUSIBLE
R03_player_dealer.csv,stake_amount,517528,5647661538.02878,2992600.63141279,0.420335088397516,24.1195396274265,PLAUSIBLE
R03_player_dealer.csv,profit_amount,517528,-36366884.1265576,827801,-0.00270665608254815,-0.155312512428408,PLAUSIBLE
R03_player_dealer.csv,net_pnl,517528,-32133250.0290023,827801,-0.0023915619589616,-0.137231877691991,PLAUSIBLE
R03_player_dealer.csv,total_bet_amount,517528,5647661538.02878,2992600.63141279,0.420335088397516,24.1195396274265,CHECK
R03_player_dealer.csv,net_pnl_all,517528,-8623158671.6303,4016417.7737817,-0.641790613353689,-36.827032904413,CHECK
R03_player_dealer.csv,game_pnl_all,517528,-9100908941.16888,4016417.7737817,-0.677347843620808,-38.8673670286445,CHECK
R03_player_dealer.csv,stake_all,517528,643996213074.355,113094762,47.9303165261486,2750.32277989184,EXCEEDS_PLATFORM_STAKE_3X
R03b_player_dealer_daily_b1_to_b8.csv,stake_amount,800000,2377078622.95769,5357777.40808519,0.176917392513842,10.1518197678588,PLAUSIBLE
R03b_player_dealer_daily_b1_to_b8.csv,profit_amount,800000,73715507.4682815,547557.259901055,0.00548637947570115,0.314817750951422,PLAUSIBLE
R03b_player_dealer_daily_b1_to_b8.csv,net_pnl,800000,76526352.1596027,547557.259901055,0.00569558051295214,0.326822060958733,PLAUSIBLE
S01_player_score.csv,流水贡献,723442,12101545164.6445,101787084.697759,0.900674380409631,51.6822221350063,PLAUSIBLE
S01_player_score.csv,游戏输赢贡献,723442,234152957.1044,4016417.7737817,0.0174271604734604,0.999999998181532,PLAUSIBLE
S01_player_score.csv,退水支出,723442,8220755.89183145,794419.859283388,0.000611841225119423,0.0351084862584799,PLAUSIBLE
S02_dealer_score.csv,在桌洗码量,299,10124987042.9566,103184568.570419,0.753566284924774,43.2409103423379,PLAUSIBLE
S02_dealer_score.csv,桌面输赢,299,-198307791.671634,3082085.40672533,-0.0147593340324899,-0.846915596383433,PLAUSIBLE
S03_agent_score.csv,cost_ownshare_a,4191,216732340.9187,10354617.9222,0.0161306068122594,0.92560155209975,CHECK
S03_agent_score.csv,stake_testline_audit,4191,6304728.31,1258130.6711,0.000469238199502859,0.0269256830086669,PLAUSIBLE
S03_agent_score.csv,profit_testline_audit,4191,410215.03,82097.3359,0.0000305308258534952,0.00175191052176692,PLAUSIBLE
S05_member_month_panel.csv,流水贡献,278729,11745711922.5012,63843972.3474229,0.87419099497941,50.1625606030893,PLAUSIBLE
S05_member_month_panel.csv,游戏输赢贡献,278729,192595321.549373,2578966,0.0143341754748036,0.822519277914877,PLAUSIBLE
S05_member_month_panel.csv,退水支出,278729,8120069.95662132,232458.473982533,0.000604347533935566,0.0346784855603373,PLAUSIBLE
S_player_tail.csv,tail_stake,159603,3276008834.68757,51500179.661599,0.243821527520233,13.9908924031636,PLAUSIBLE
S_player_tail.csv,tail_valid_bet,159603,2931105167.46329,46333817.4705454,0.21815159095,12.5179079452168,PLAUSIBLE
S_player_tail.csv,tail_game_pnl,159603,-50847827.9717876,1701512.46377118,-0.00378442052899702,-0.217156462630755,PLAUSIBLE
