TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_dailyreport_member,bet10,varchar,source_type=int(11); 幣別
ods_a168_dailyreport_member,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_a168_dailyreport_member,category,varchar,"source_type=int(11); 1:一般,2:小費"
ods_a168_dailyreport_member,count,varchar,source_type=int(11); 筆數
ods_a168_dailyreport_member,risk,varchar,source_type=tinyint(1); 風險單 1:是
ods_a168_dailyreport_member,orders,varchar,source_type=tinyint(1); 劃單 1:是
ods_a168_dailyreport_member,source_db,varchar,来源库
ods_a168_dailyreport_member,source_table,varchar,来源表
ods_a168_dailyreport_member,ods_table_name,varchar,ODS表名
ods_a168_dailyreport_member,sync_time,datetime,同步时间
ods_a168_dailyreport_table,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport_table,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport_table,id,varchar,source_type=bigint(20);
ods_a168_dailyreport_table,time,varchar,source_type=date; 日期
ods_a168_dailyreport_table,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport_table,bet10,varchar,source_type=int(11); 幣別
ods_a168_dailyreport_table,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_a168_dailyreport_table,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport_table,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport_table,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport_table,bet23,varchar,"source_type=decimal(16,4); LV1占成"
ods_a168_dailyreport_table,bet28,varchar,"source_type=decimal(16,4); LV1退水%數"
ods_a168_dailyreport_table,bet39,varchar,source_type=int(11); 桌子編號
ods_a168_dailyreport_table,bet41,varchar,"source_type=decimal(16,4); 下注退水金額"
ods_a168_dailyreport_table,validbet,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport_table,category,varchar,"source_type=int(11); 1:一般,2:小費"
ods_a168_dailyreport_table,count,varchar,source_type=int(11); 筆數
