源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,注單編號,操作者(管理員),操作時間,来源库,来源表,ODS表名,同步时间
d97ef112085e03ce21d363b3040cdb28,2025-12-29,5207818209,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
e7f0d2fa6a77770dbd40c9ec5b6714c6,2025-12-29,5209240455,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0643c91c3dacfcc8dcb93ac781814553,2025-12-29,5205347310,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
25eb352e5145be7c6a9e079f8c82f24d,2025-12-29,5208357075,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2723850ad23416d8963138782c2276c5,2025-12-29,5207098380,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
3730b394fa0c3b1f92b715c1bc7368bd,2025-12-29,5204861557,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4281ee08b4160f3138942aaec78c4753,2025-12-29,5210359387,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4bda168df7514934776fcb3f5e928ee9,2025-12-29,5209914500,273,2025-12-29T12:43:00Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
630597a7f03236efd92452c3ba08dc8e,2025-12-29,5208358582,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
64ec93f98091a8065e64c5dbd8cc3e95,2025-12-29,5209696015,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
689c4c46db5e301fb2395c5fe982c72a,2025-12-29,5209854993,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
924c71c3a87a546d3408a6aae6ffa67a,2025-12-29,5209915451,273,2025-12-29T12:43:00Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
960fbf5c58ceec4b4592a31ec8f1fe59,2025-12-29,5211513052,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a5c422197771ce139579c1fbad9090ec,2025-12-29,5209695699,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
aa0aab4e05f42d1782ec761aa76b53cd,2025-12-29,5209681815,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
eb281e9080734dfe5bc6003b4221f4d9,2025-12-29,5205580980,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
f1b800f247f8febe18cc38bec2a5080c,2025-12-29,5208994656,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2d228d1ee44103fb10ee75c9dcde5a13,2025-12-29,5211520302,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
3cae1dea85f325d5ebac8768e7383bca,2025-12-29,5208452289,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4c1fc047f7875e543eadadbc946011bd,2025-12-29,5208462714,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
59695fd26d608feec7dd17768d87a1e0,2025-12-29,5210360109,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
66ddd12d33c909a7809aad759bfd2727,2025-12-29,5206415070,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
7ac990b4ab45b6b67c9786dc1aef301c,2025-12-29,5209850316,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9d07087eb6137989cd2bea5c4facc7b2,2025-12-29,5207199773,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a4986b8265f6220c6caba5acd2130524,2025-12-29,5209128068,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a69d557d97e52aaaaab5fda40fd3c40d,2025-12-29,5209701469,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
abfaa50c453a3dc3e7f1e2bbf43e763f,2025-12-29,5207816010,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
bef81eb5d63b8bebe6fde04a85b42ba8,2025-12-29,5209131497,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
c41325450dde7ac30815e3a20e6e5c30,2025-12-29,5208894561,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
d581d42b49869f20e6bfa266390fe081,2025-12-29,5209689579,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
df0b1fcc0a125a85d9c89036331f08ff,2025-12-29,5209695210,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
