player_id,总流水,总局数,活跃天数,流水分位,度中心性,中介中心性,度中心性分位,分级
129745466,624556,925,56.0225810185185,0.926951843202176,7,0.0015,0.92840039022083,长期客户
129748163,75874,25,26.9056712962963,0.804002719720933,0,0,0.253140982055754,一般客户
129748706,1285568,199,52.9661226851852,0.948768735034144,5,0,0.881263487746475,长期客户
129752002,431036,125,52.1757870370371,0.913885357850238,0,0,0.253140982055754,长期客户
129756340,46851,243,22.3588773148148,0.75225411653413,1,0,0.59417033730452,一般客户
129760992,189709714,749,62.5202893518519,0.997457652171342,5,0,0.881263487746475,白金级
129766130,2360000,80,18.0688541666667,0.962042155674461,0,0,0.253140982055754,黄金级
129766232,11220,28,50.2119560185185,0.49797499039229,0,0,0.253140982055754,长期客户
129775663,2755,20,0.314444444444445,0.189138853578502,2,1e-04,0.725781180713631,试水型
129777158,13385,435,38.6259027777778,0.535341591036746,1,0,0.59417033730452,长期客户
129779371,9200,22,0.00914351851851852,0.451621485795371,1,0,0.59417033730452,一般客户
129780747,1175,53,0.00944444444444444,0.0217725485558873,0,0,0.253140982055754,试水型
129782149,45578,48,0.106099537037037,0.749017057380199,3,0,0.798311999290508,一般客户
129784495,3863,21,10.9671990740741,0.260827149909835,1,0,0.59417033730452,一般客户
129784783,20740,55,29.3717824074074,0.624131610843409,0,0,0.253140982055754,一般客户
129787038,37370,1019,46.7314699074074,0.721494664025778,2,0,0.725781180713631,长期客户
129787397,17400,22,50.2172106481482,0.588124870665445,1,0,0.59417033730452,长期客户
129787866,1293740,373,48.0248148148148,0.948886983770361,1,0,0.59417033730452,长期客户
129788150,9018,618,27.9237615740741,0.447837526236438,0,0,0.253140982055754,一般客户
129790027,3023,28,0.0108680555555556,0.209699352588169,0,0,0.253140982055754,试水型
129793954,11790,39,0.00883101851851852,0.507671386762054,1,0,0.59417033730452,一般客户
129795647,23843,20,49.7043055555556,0.648712566884441,0,0,0.253140982055754,长期客户
129811624,2260,31,0.00836805555555556,0.148978626540929,0,0,0.253140982055754,试水型
129815703,3060,24,0.0525347222222222,0.212492978981287,3,0,0.798311999290508,试水型
129822391,17167,175,15.9465046296296,0.58592248795341,8,0,0.943107576787773,一般客户
