dealer_id,Estimate,Est.Error,Q2.5,Q97.5,n_obs,mean_roi,total_turnover,Q0.25,Q99.75,Q0.05,Q99.95,显著_p005,显著_p001
994,-0.0316351546660641,0.00980292229317107,-0.0511738930790219,-0.012993022168247,1432,0.419338866341292,1128604410,-0.0585561901841579,-0.00408162107678457,-0.0641500940735579,0.000382246368649594,TRUE,FALSE
1363,-0.0315049880555283,0.0102890450632759,-0.0521878184510036,-0.012038559497288,1285,0.41933650342193,3182986530,-0.0607572305272853,-0.00486989540238356,-0.0657202347393307,-0.00111706282027608,TRUE,TRUE
471,-0.0308464508964521,0.0103924253479629,-0.0505097994126222,-0.00959721792627444,1142,0.420019718172566,1479853689,-0.0591567534371784,0.000760707553857132,-0.0617156856187398,0.00729008256466654,FALSE,FALSE
1109,-0.0301157678882358,0.0107371713145537,-0.051588928949567,-0.00917690991536594,1151,0.420723073439184,1801452695,-0.0591366299188524,0.00101608512262519,-0.0643506257676223,0.00469888155524975,FALSE,FALSE
1400,-0.0291327711663841,0.0102267874951651,-0.0495599224065028,-0.0091767370512459,1220,0.421873472288508,1067798666,-0.0556974571284376,-0.000397787709391844,-0.0592561908894616,0.00273730979919472,TRUE,FALSE
1353,-0.0286719113684941,0.00990728011154317,-0.0481522619692579,-0.00944226197991476,1427,0.422494453414653,1038381404,-0.0581625509775082,-0.00257937373298288,-0.0644112550708144,6.99733318576724e-05,TRUE,FALSE
772,-0.0263193110574126,0.00941723119150714,-0.0451242800519469,-0.00880773710766428,1585,0.424981168425111,3414013373,-0.0537238293039941,-0.000890957605938631,-0.0569968629898306,0.00315011498767666,TRUE,FALSE
1385,-0.0248645474846316,0.00961882577540985,-0.0431596485073484,-0.00571551099076712,1573,0.426222349885836,2304113232,-0.0524336366896745,0.00405760396659387,-0.0592288614061679,0.00528803010897713,FALSE,FALSE
1623,-0.0248328804119794,0.010697655622943,-0.0456404597836772,-0.00314375931362803,1096,0.42637773706291,2354819642,-0.0537510854270318,0.00533017136649968,-0.0598267717870144,0.00702385648370569,FALSE,FALSE
1940,-0.024710174161058,0.0102960637864756,-0.0458276678615435,-0.00549369584026525,1136,0.42658248625912,2536624878,-0.0530897375065781,0.00279733108768405,-0.0624016464532543,0.00926264660277996,FALSE,FALSE
