桌号,房间,年月,局数,短制式局数,长制式局数,逾制局数,制式纯度,最末下注秒P50,最末下注秒P95,最末下注秒最大
906,5,2026-06,127,3,124,0,0.9763780,24.0,25.0,25
910,8,2026-04,127,3,124,0,0.9763780,24.0,25.0,25
909,4,2026-03,678,16,662,0,0.9764012,24.0,25.0,25
910,2,2026-06,1415,33,1382,0,0.9766784,24.0,25.0,25
905,7,2026-03,86,2,84,0,0.9767442,24.0,25.0,25
910,5,2026-03,43,1,42,0,0.9767442,24.0,25.0,25
913,1,2026-05,1464,34,1430,0,0.9767760,24.0,25.0,25
910,3,2026-03,1214,27,1186,1,0.9769357,24.0,25.0,49
907,11,2026-05,826,19,807,0,0.9769976,24.0,25.0,25
912,4,2026-04,2142,49,2093,0,0.9771242,24.0,25.0,25
912,4,2026-08,921,21,900,0,0.9771987,24.0,25.0,25
912,1,2026-04,1579,35,1543,1,0.9772008,24.0,25.0,29
913,10,2026-08,309,7,302,0,0.9773463,24.0,25.0,25
906,4,2026-03,623,14,609,0,0.9775281,24.0,25.0,25
910,2,2026-03,401,9,392,0,0.9775561,24.0,25.0,25
906,11,2026-06,894,20,874,0,0.9776286,24.0,25.0,25
901,9,2026-06,45,1,44,0,0.9777778,24.0,25.0,25
912,5,2026-03,45,1,44,0,0.9777778,24.0,25.0,25
905,1,2026-03,542,12,530,0,0.9778598,24.0,25.0,25
911,1,2026-08,678,15,663,0,0.9778761,24.0,25.0,25
906,5,2026-04,136,3,133,0,0.9779412,24.0,25.0,25
910,8,2026-07,136,3,133,0,0.9779412,24.0,25.0,25
901,6,2026-04,227,5,222,0,0.9779736,24.0,25.0,25
911,11,2026-07,864,19,845,0,0.9780093,24.0,25.0,25
908,3,2026-03,1100,24,1076,0,0.9781818,24.0,25.0,25
911,2,2026-08,550,12,538,0,0.9781818,24.0,25.0,25
912,2,2026-07,1469,31,1437,1,0.9782165,24.0,25.0,29
909,6,2026-08,92,2,90,0,0.9782609,24.0,25.0,25
36,8,2026-03,46,1,45,0,0.9782609,24.0,25.0,25
910,2,2026-04,1476,31,1444,1,0.9783198,24.0,25.0,26
913,2,2026-07,1477,30,1445,2,0.9783345,24.0,25.0,31
902,6,2026-04,231,5,226,0,0.9783550,24.0,25.0,25
910,4,2026-04,2223,48,2175,0,0.9784076,24.0,25.0,25
911,4,2026-08,880,19,861,0,0.9784091,24.0,25.0,25
911,4,2026-06,2271,49,2222,0,0.9784236,24.0,25.0,25
912,4,2026-06,2133,46,2087,0,0.9784341,24.0,25.0,25
911,4,2026-04,1950,42,1908,0,0.9784615,24.0,25.0,25
910,4,2026-08,790,17,773,0,0.9784810,24.0,25.0,25
902,2,2026-08,560,12,548,0,0.9785714,24.0,25.0,25
907,2,2026-05,1359,29,1330,0,0.9786608,24.0,25.0,25
907,11,2026-08,329,7,322,0,0.9787234,24.0,25.0,25
36,8,2026-08,47,1,46,0,0.9787234,24.0,25.0,25
909,9,2026-04,47,1,46,0,0.9787234,24.0,25.0,25
908,8,2026-08,47,1,46,0,0.9787234,24.0,25.0,25
909,10,2026-07,895,19,876,0,0.9787709,24.0,25.0,25
907,2,2026-04,1179,25,1154,0,0.9787956,24.0,25.0,25
913,3,2026-08,1415,30,1385,0,0.9787986,24.0,25.0,25
913,3,2026-04,3448,73,3375,0,0.9788283,24.0,25.0,25
907,4,2026-04,1798,38,1760,0,0.9788654,24.0,25.0,25
912,11,2026-06,904,18,885,1,0.9789823,24.0,25.0,30
910,3,2026-06,3769,79,3690,0,0.9790395,24.0,25.0,25
913,8,2026-04,96,1,94,1,0.9791667,24.0,25.0,28
906,10,2026-04,866,18,848,0,0.9792148,24.0,25.0,25
910,1,2026-08,580,12,568,0,0.9793103,24.0,25.0,25
908,8,2026-07,145,3,142,0,0.9793103,24.0,25.0,25
911,3,2026-06,3628,75,3553,0,0.9793275,24.0,25.0,25
909,6,2026-04,242,5,237,0,0.9793388,24.0,25.0,25
908,3,2026-04,3739,77,3662,0,0.9794063,24.0,25.0,25
913,7,2026-04,243,4,238,1,0.9794239,24.0,25.0,28
909,1,2026-08,632,13,619,0,0.9794304,24.0,25.0,25
912,11,2026-07,877,18,859,0,0.9794755,24.0,25.0,25
912,4,2026-07,2437,50,2387,0,0.9794830,24.0,25.0,25
912,2,2026-04,1368,28,1340,0,0.9795322,24.0,25.0,25
909,10,2026-08,392,8,384,0,0.9795918,24.0,25.0,25
909,11,2026-08,343,7,336,0,0.9795918,24.0,25.0,25
6,5,2026-08,98,96,1,1,0.9795918,13.0,13.0,33
912,6,2026-08,98,2,96,0,0.9795918,24.0,25.0,25
908,9,2026-07,49,1,48,0,0.9795918,24.0,25.0,25
910,4,2026-07,2307,47,2260,0,0.9796272,24.0,25.0,25
910,6,2026-04,246,5,241,0,0.9796748,24.0,25.0,25
907,10,2026-08,345,7,338,0,0.9797101,24.0,25.0,25
910,10,2026-08,345,7,338,0,0.9797101,24.0,25.0,25
912,7,2026-07,297,6,291,0,0.9797980,24.0,25.0,25
906,7,2026-08,99,2,97,0,0.9797980,24.0,25.0,25
912,3,2026-04,3727,74,3652,1,0.9798766,24.0,25.0,30
913,6,2026-05,249,5,244,0,0.9799197,24.0,25.0,25
903,2,2026-03,449,9,440,0,0.9799555,24.0,25.0,25
908,10,2026-03,250,5,245,0,0.9800000,24.0,25.0,25
902,9,2026-07,50,1,49,0,0.9800000,24.0,25.0,25
912,3,2026-07,3862,77,3785,0,0.9800621,24.0,25.0,25
909,4,2026-04,2258,45,2213,0,0.9800709,24.0,25.0,25
913,2,2026-05,1310,26,1284,0,0.9801527,24.0,25.0,25
911,4,2026-03,655,13,642,0,0.9801527,24.0,25.0,25
907,3,2026-05,3781,74,3706,1,0.9801640,24.0,25.0,65
911,3,2026-07,3916,77,3839,0,0.9803371,24.0,25.0,25
909,2,2026-03,357,7,350,0,0.9803922,24.0,25.0,25
901,10,2026-08,357,7,350,0,0.9803922,24.0,25.0,25
906,6,2026-04,255,5,250,0,0.9803922,24.0,25.0,25
909,6,2026-07,255,4,250,1,0.9803922,24.0,25.0,40
907,10,2026-06,869,17,852,0,0.9804373,24.0,25.0,25
911,1,2026-04,1438,28,1410,0,0.9805285,24.0,25.0,25
913,4,2026-07,2224,43,2181,0,0.9806655,24.0,25.0,25
907,2,2026-08,569,10,558,1,0.9806678,24.0,25.0,27
913,10,2026-06,934,18,916,0,0.9807281,24.0,25.0,25
903,9,2026-07,52,1,51,0,0.9807692,24.0,25.0,25
913,5,2026-08,52,1,51,0,0.9807692,24.0,25.0,25
32,9,2026-04,52,1,51,0,0.9807692,25.0,25.0,25
909,11,2026-07,835,16,819,0,0.9808383,24.0,25.0,25
908,11,2026-04,787,15,772,0,0.9809403,24.0,25.0,25
1,8,2026-08,105,103,1,1,0.9809524,13.0,13.0,34
905,1,2026-08,582,11,571,0,0.9810997,24.0,25.0,25
33,9,2026-04,53,1,52,0,0.9811321,24.0,25.0,25
905,8,2026-08,53,1,52,0,0.9811321,24.0,25.0,25
31,5,2026-03,53,1,52,0,0.9811321,24.0,25.0,25
911,9,2026-04,53,1,52,0,0.9811321,24.0,25.0,25
909,2,2026-04,1434,27,1407,0,0.9811715,24.0,25.0,25
906,11,2026-04,744,13,730,1,0.9811828,24.0,25.0,28
905,11,2026-06,800,15,785,0,0.9812500,24.0,25.0,25
905,7,2026-04,267,5,262,0,0.9812734,24.0,25.0,25
906,7,2026-04,267,5,262,0,0.9812734,24.0,25.0,25
907,6,2026-05,269,5,264,0,0.9814126,24.0,25.0,25
902,11,2026-03,216,4,212,0,0.9814815,24.0,25.0,25
908,7,2026-08,108,2,106,0,0.9814815,24.0,25.0,25
907,9,2026-05,54,1,53,0,0.9814815,24.0,25.0,25
905,9,2026-07,54,1,53,0,0.9814815,24.0,25.0,25
908,9,2026-06,54,1,53,0,0.9814815,24.0,25.0,25
910,2,2026-08,595,11,584,0,0.9815126,24.0,25.0,25
908,11,2026-07,867,16,851,0,0.9815456,24.0,25.0,25
911,4,2026-07,2277,42,2235,0,0.9815547,24.0,25.0,25
912,7,2026-06,272,5,267,0,0.9816176,24.0,25.0,25
907,11,2026-07,926,17,909,0,0.9816415,24.0,25.0,25
907,3,2026-04,3379,62,3317,0,0.9816514,24.0,25.0,25
913,4,2026-06,2020,37,1983,0,0.9816832,24.0,25.0,25
901,6,2026-07,273,4,268,1,0.9816850,24.0,25.0,30
908,4,2026-08,984,18,966,0,0.9817073,24.0,25.0,25
912,11,2026-08,328,6,322,0,0.9817073,24.0,25.0,25
907,10,2026-04,712,13,699,0,0.9817416,24.0,25.0,25
905,10,2026-04,822,14,807,1,0.9817518,24.0,25.0,29
910,6,2026-06,274,5,269,0,0.9817518,24.0,25.0,25
912,3,2026-06,3622,64,3556,2,0.9817780,24.0,25.0,60
907,11,2026-04,661,12,649,0,0.9818457,24.0,25.0,25
909,2,2026-07,1494,25,1467,2,0.9819277,24.0,25.0,29
903,10,2026-07,943,17,926,0,0.9819724,24.0,25.0,25
913,2,2026-06,1390,25,1365,0,0.9820144,24.0,25.0,25
901,11,2026-03,278,4,273,1,0.9820144,24.0,25.0,56
912,10,2026-06,946,17,929,0,0.9820296,24.0,25.0,25
905,10,2026-08,334,6,328,0,0.9820359,24.0,25.0,25
908,6,2026-06,223,4,219,0,0.9820628,24.0,25.0,25
910,10,2026-04,781,14,767,0,0.9820743,24.0,25.0,25
35,9,2026-07,56,1,55,0,0.9821429,24.0,25.0,25
910,5,2026-08,56,1,55,0,0.9821429,24.0,25.0,25
911,10,2026-08,337,6,331,0,0.9821958,24.0,25.0,25
911,2,2026-04,1405,25,1380,0,0.9822064,24.0,25.0,25
907,3,2026-08,1577,28,1549,0,0.9822448,24.0,25.0,25
907,1,2026-04,1297,23,1274,0,0.9822668,24.0,25.0,25
905,11,2026-04,790,14,776,0,0.9822785,24.0,25.0,25
910,3,2026-07,3632,63,3568,1,0.9823789,24.0,25.0,30
907,6,2026-07,284,5,279,0,0.9823944,24.0,25.0,25
906,3,2026-04,3817,67,3750,0,0.9824469,24.0,25.0,25
911,6,2026-08,114,2,112,0,0.9824561,24.0,25.0,25
903,11,2026-04,800,14,786,0,0.9825000,24.0,25.0,25
907,4,2026-08,804,14,790,0,0.9825871,24.0,25.0,25
907,11,2026-06,804,14,790,0,0.9825871,24.0,25.0,25
31,9,2026-06,58,1,57,0,0.9827586,24.0,25.0,25
903,8,2026-08,58,1,57,0,0.9827586,24.0,25.0,25
902,4,2026-03,581,10,571,0,0.9827883,24.0,25.0,25
912,1,2026-07,1570,27,1543,0,0.9828025,24.0,25.0,25
913,6,2026-06,291,5,286,0,0.9828179,24.0,25.0,25
910,1,2026-04,1521,26,1495,0,0.9829060,24.0,25.0,25
911,8,2026-06,117,2,115,0,0.9829060,24.0,25.0,25
908,11,2026-03,235,4,231,0,0.9829787,24.0,25.0,25
908,3,2026-08,1531,26,1505,0,0.9830176,24.0,25.0,25
909,7,2026-08,118,2,116,0,0.9830508,24.0,25.0,25
35,11,2026-08,415,7,408,0,0.9831325,24.0,25.0,25
907,8,2026-07,119,2,117,0,0.9831933,24.0,25.0,25
908,3,2026-06,3991,67,3924,0,0.9832122,24.0,25.0,25
906,4,2026-08,957,16,941,0,0.9832811,24.0,25.0,25
908,2,2026-07,1383,23,1360,0,0.9833695,24.0,25.0,25
906,11,2026-08,302,5,297,0,0.9834437,24.0,25.0,25
906,10,2026-08,423,7,416,0,0.9834515,24.0,25.0,25
908,3,2026-07,4113,68,4045,0,0.9834671,24.0,25.0,25
913,4,2026-04,2238,37,2201,0,0.9834674,24.0,25.0,25
912,2,2026-06,1393,23,1370,0,0.9834889,24.0,25.0,25
908,4,2026-04,2121,35,2086,0,0.9834983,24.0,25.0,25
909,2,2026-08,607,10,597,0,0.9835255,24.0,25.0,25
905,11,2026-07,852,14,838,0,0.9835681,24.0,25.0,25
906,11,2026-07,915,14,900,1,0.9836066,24.0,25.0,32
903,10,2026-04,857,14,843,0,0.9836639,24.0,25.0,25
906,10,2026-07,920,15,905,0,0.9836957,24.0,25.0,25
33,11,2026-08,368,6,362,0,0.9836957,24.0,25.0,25
906,6,2026-06,247,4,243,0,0.9838057,24.0,25.0,25
906,2,2026-07,1298,20,1277,1,0.9838213,24.0,25.0,42
902,10,2026-04,804,13,791,0,0.9838308,24.0,25.0,25
906,4,2026-07,2355,38,2317,0,0.9838641,24.0,25.0,25
35,9,2026-05,62,1,61,0,0.9838710,24.0,25.0,25
903,4,2026-08,875,14,861,0,0.9840000,24.0,25.0,25
913,6,2026-04,251,4,247,0,0.9840637,24.0,25.0,25
907,4,2026-05,2145,34,2111,0,0.9841492,24.0,25.0,25
908,2,2026-06,1464,23,1441,0,0.9842896,24.0,25.0,25
902,11,2026-04,769,12,757,0,0.9843953,24.0,25.0,25
911,6,2026-07,257,4,253,0,0.9844358,24.0,25.0,25
905,1,2026-04,1552,24,1528,0,0.9845361,24.0,25.0,25
906,1,2026-08,582,8,573,1,0.9845361,24.0,25.0,29
910,2,2026-07,1490,21,1467,2,0.9845638,24.0,25.0,31
908,7,2026-06,324,5,319,0,0.9845679,24.0,25.0,25
908,10,2026-07,845,13,832,0,0.9846154,24.0,25.0,25
908,10,2026-06,915,14,901,0,0.9846995,24.0,25.0,25
905,6,2026-06,262,4,258,0,0.9847328,24.0,25.0,25
902,5,2026-04,131,2,129,0,0.9847328,24.0,25.0,25
913,3,2026-06,4062,62,4000,0,0.9847366,24.0,25.0,25
912,6,2026-03,66,1,65,0,0.9848485,24.0,25.0,25
906,4,2026-06,2320,35,2285,0,0.9849138,24.0,25.0,25
909,2,2026-06,1392,21,1371,0,0.9849138,24.0,25.0,25
901,5,2026-06,133,2,131,0,0.9849624,24.0,25.0,25
908,1,2026-04,1532,23,1509,0,0.9849869,24.0,25.0,25
905,6,2026-03,67,1,66,0,0.9850746,24.0,25.0,25
35,5,2026-08,67,1,66,0,0.9850746,24.0,25.0,25
902,11,2026-08,337,5,332,0,0.9851632,24.0,25.0,25
912,1,2026-03,472,7,465,0,0.9851695,24.0,25.0,25
905,4,2026-03,607,9,598,0,0.9851730,24.0,25.0,25
908,4,2026-06,2026,30,1996,0,0.9851925,24.0,25.0,25
909,10,2026-06,878,13,865,0,0.9851936,24.0,25.0,25
902,10,2026-03,271,3,267,1,0.9852399,24.0,25.0,41
912,10,2026-07,950,14,936,0,0.9852632,24.0,25.0,25
905,2,2026-07,1496,20,1474,2,0.9852941,24.0,25.0,29
905,11,2026-03,272,4,268,0,0.9852941,24.0,25.0,25
912,8,2026-06,136,2,134,0,0.9852941,24.0,25.0,25
900,2,2026-03,136,2,134,0,0.9852941,24.0,25.0,25
911,7,2026-03,68,1,67,0,0.9852941,24.0,25.0,25
36,9,2026-06,68,1,67,0,0.9852941,24.0,25.0,25
905,3,2026-08,1570,23,1547,0,0.9853503,24.0,25.0,25
913,2,2026-08,547,8,539,0,0.9853748,24.0,25.0,25
906,1,2026-03,479,7,472,0,0.9853862,24.0,25.0,25
910,4,2026-06,2331,34,2297,0,0.9854140,24.0,25.0,25
909,1,2026-06,1579,22,1556,1,0.9854338,24.0,25.0,40
905,4,2026-04,2060,30,2030,0,0.9854369,24.0,25.0,25
905,3,2026-03,1104,15,1088,1,0.9855072,24.0,25.0,43
913,11,2026-03,138,2,136,0,0.9855072,23.0,25.0,25
913,8,2026-07,138,2,136,0,0.9855072,24.0,25.0,25
908,1,2026-07,1731,21,1706,4,0.9855575,24.0,25.0,52
911,1,2026-03,486,7,479,0,0.9855967,24.0,25.0,25
910,10,2026-06,903,13,890,0,0.9856035,24.0,25.0,25
32,5,2026-05,139,0,137,2,0.9856115,24.0,25.0,37
911,1,2026-07,1672,24,1648,0,0.9856459,24.0,25.0,25
913,3,2026-07,3772,54,3718,0,0.9856840,24.0,25.0,25
913,8,2026-06,140,2,138,0,0.9857143,24.0,25.0,25
908,8,2026-04,140,2,138,0,0.9857143,24.0,25.0,25
909,3,2026-08,1402,20,1382,0,0.9857347,24.0,25.0,25
909,3,2026-04,3667,52,3615,0,0.9858195,24.0,25.0,25
908,2,2026-04,1342,19,1323,0,0.9858420,24.0,25.0,25
905,7,2026-06,283,4,279,0,0.9858657,24.0,25.0,25
902,4,2026-08,920,13,907,0,0.9858696,24.0,25.0,25
906,2,2026-03,425,6,419,0,0.9858824,24.0,25.0,25
910,11,2026-06,852,12,840,0,0.9859155,24.0,25.0,25
903,3,2026-08,1503,21,1482,0,0.9860279,24.0,25.0,25
903,11,2026-07,859,12,847,0,0.9860303,24.0,25.0,25
909,6,2026-06,215,3,212,0,0.9860465,24.0,25.0,25
912,1,2026-06,1583,21,1561,1,0.9861023,24.0,25.0,43
901,6,2026-03,72,1,71,0,0.9861111,24.0,25.0,25
903,1,2026-04,1520,19,1499,2,0.9861842,24.0,25.0,59
902,2,2026-03,439,6,433,0,0.9863326,24.0,25.0,25
903,4,2026-04,2199,30,2169,0,0.9863574,24.0,25.0,25
911,6,2026-03,74,1,73,0,0.9864865,24.0,25.0,25
906,4,2026-04,2147,29,2118,0,0.9864928,24.0,25.0,25
907,3,2026-06,4073,55,4018,0,0.9864964,24.0,25.0,25
905,8,2026-07,149,2,147,0,0.9865772,24.0,25.0,25
902,6,2026-03,75,1,74,0,0.9866667,24.0,25.0,25
900,10,2026-03,75,1,74,0,0.9866667,24.0,25.0,25
907,7,2026-04,227,3,224,0,0.9867841,24.0,25.0,25
909,1,2026-03,455,6,449,0,0.9868132,24.0,25.0,25
902,10,2026-08,380,5,375,0,0.9868421,24.0,25.0,25
902,8,2026-06,152,2,150,0,0.9868421,24.0,25.0,25
909,1,2026-07,1521,20,1501,0,0.9868508,24.0,25.0,25
908,1,2026-06,1529,19,1509,1,0.9869196,24.0,25.0,27
903,11,2026-08,306,4,302,0,0.9869281,24.0,25.0,25
911,2,2026-06,1531,20,1511,0,0.9869366,24.0,25.0,25
903,3,2026-03,1073,14,1059,0,0.9869525,24.0,25.0,25
903,3,2026-07,3991,51,3939,1,0.9869707,24.0,25.0,26
906,10,2026-06,923,12,911,0,0.9869989,24.0,25.0,25
1,9,2026-07,77,76,1,0,0.9870130,13.0,13.0,23
903,2,2026-08,544,7,537,0,0.9871324,24.0,25.0,25
910,1,2026-06,1714,22,1692,0,0.9871645,24.0,25.0,25
905,4,2026-07,2344,30,2314,0,0.9872014,24.0,25.0,25
905,2,2026-08,548,7,541,0,0.9872263,24.0,25.0,25
902,4,2026-07,2349,30,2319,0,0.9872286,24.0,25.0,25
7,9,2026-07,79,78,0,1,0.9873418,13.0,13.0,34
901,1,2026-03,475,6,469,0,0.9873684,24.0,25.0,25
905,10,2026-07,871,11,860,0,0.9873708,24.0,25.0,25
905,10,2026-03,238,3,235,0,0.9873950,24.0,25.0,25
908,4,2026-07,2222,28,2194,0,0.9873987,24.0,25.0,25
909,3,2026-06,3894,48,3845,1,0.9874165,24.0,25.0,44
36,8,2026-06,159,2,157,0,0.9874214,24.0,25.0,25
907,1,2026-08,638,8,630,0,0.9874608,24.0,25.0,25
8,9,2026-06,80,79,0,1,0.9875000,12.0,13.0,33
909,4,2026-07,2241,28,2213,0,0.9875056,24.0,25.0,25
902,3,2026-08,1523,19,1504,0,0.9875246,24.0,25.0,25
906,3,2026-08,1447,18,1429,0,0.9875605,24.0,25.0,25
902,3,2026-06,3942,47,3893,2,0.9875698,24.0,25.0,40
902,1,2026-08,645,8,637,0,0.9875969,24.0,25.0,25
902,10,2026-07,970,12,958,0,0.9876289,24.0,25.0,25
901,6,2026-08,81,1,80,0,0.9876543,24.0,25.0,25
903,10,2026-06,900,11,889,0,0.9877778,24.0,25.0,25
908,2,2026-08,574,7,567,0,0.9878049,24.0,25.0,25
913,1,2026-06,1562,18,1543,1,0.9878361,24.0,25.0,42
905,3,2026-04,3641,42,3597,2,0.9879154,24.0,25.0,28
903,6,2026-07,250,3,247,0,0.9880000,24.0,25.0,25
906,2,2026-06,1422,16,1405,1,0.9880450,24.0,25.0,29
901,2,2026-08,587,7,580,0,0.9880750,24.0,25.0,25
906,2,2026-04,1349,16,1333,0,0.9881394,24.0,25.0,25
905,2,2026-03,422,5,417,0,0.9881517,24.0,25.0,25
902,2,2026-04,1521,18,1503,0,0.9881657,24.0,25.0,25
901,11,2026-06,847,10,837,0,0.9881936,24.0,25.0,25
907,1,2026-06,1537,18,1519,0,0.9882889,24.0,25.0,25
901,7,2026-04,257,3,254,0,0.9883268,24.0,25.0,25
907,6,2026-06,258,3,255,0,0.9883721,24.0,25.0,25
2,9,2026-04,86,85,0,1,0.9883721,13.0,13.0,30
33,5,2026-08,86,0,85,1,0.9883721,24.0,25.0,40
911,7,2026-04,259,3,256,0,0.9884170,24.0,25.0,25
907,1,2026-05,1641,19,1622,0,0.9884217,24.0,25.0,25
907,2,2026-06,1384,16,1368,0,0.9884393,24.0,25.0,25
908,7,2026-04,260,3,257,0,0.9884615,24.0,25.0,25
909,1,2026-04,1563,18,1545,0,0.9884837,24.0,25.0,25
905,2,2026-04,1312,14,1297,1,0.9885671,24.0,25.0,38
907,2,2026-07,1488,17,1471,0,0.9885753,24.0,25.0,25
2,7,2026-04,440,435,2,3,0.9886364,13.0,13.0,28
905,6,2026-04,264,3,261,0,0.9886364,24.0,25.0,25
36,6,2026-08,88,1,87,0,0.9886364,24.0,25.0,25
905,6,2026-07,267,3,264,0,0.9887640,24.0,25.0,25
906,1,2026-06,1607,18,1589,0,0.9887990,24.0,25.0,25
909,3,2026-07,4288,48,4240,0,0.9888060,24.0,25.0,25
33,6,2026-06,268,2,265,1,0.9888060,24.0,25.0,44
1,5,2026-08,90,89,1,0,0.9888889,13.0,13.0,23
905,4,2026-08,901,10,891,0,0.9889012,24.0,25.0,25
909,4,2026-06,2254,25,2229,0,0.9889086,24.0,25.0,25
911,6,2026-04,273,3,270,0,0.9890110,24.0,25.0,25
36,6,2026-03,91,1,90,0,0.9890110,24.0,25.0,25
906,3,2026-07,3926,42,3883,1,0.9890474,24.0,25.0,31
902,3,2026-03,1111,12,1099,0,0.9891989,24.0,25.0,25
906,6,2026-07,278,3,275,0,0.9892086,24.0,25.0,25
902,10,2026-06,1027,11,1016,0,0.9892892,24.0,25.0,25
911,7,2026-07,281,3,278,0,0.9893238,24.0,25.0,25
907,7,2026-06,282,3,279,0,0.9893617,24.0,25.0,25
903,2,2026-06,1415,15,1400,0,0.9893993,24.0,25.0,25
910,1,2026-07,1701,18,1683,0,0.9894180,24.0,25.0,25
909,7,2026-04,284,3,281,0,0.9894366,24.0,25.0,25
36,1,2026-08,666,7,659,0,0.9894895,24.0,25.0,25
907,3,2026-07,3909,41,3868,0,0.9895114,24.0,25.0,25
911,1,2026-06,1534,16,1518,0,0.9895698,24.0,25.0,25
913,1,2026-07,1737,18,1719,0,0.9896373,24.0,25.0,25
33,8,2026-07,193,2,191,0,0.9896373,24.0,25.0,25
908,7,2026-07,290,3,287,0,0.9896552,24.0,25.0,25
36,11,2026-03,389,4,385,0,0.9897172,24.0,25.0,25
913,6,2026-07,296,3,293,0,0.9898649,24.0,25.0,25
36,2,2026-08,691,7,684,0,0.9898698,24.0,25.0,25
905,1,2026-07,1698,17,1681,0,0.9899882,24.0,25.0,25
910,7,2026-06,300,3,297,0,0.9900000,24.0,25.0,25
905,4,2026-06,2203,22,2181,0,0.9900136,24.0,25.0,25
902,4,2026-04,2103,21,2082,0,0.9900143,24.0,25.0,25
907,1,2026-07,1705,17,1688,0,0.9900293,24.0,25.0,25
905,11,2026-08,301,3,298,0,0.9900332,24.0,25.0,25
903,7,2026-08,101,1,100,0,0.9900990,24.0,25.0,25
901,3,2026-06,3742,36,3705,1,0.9901122,24.0,25.0,45
906,2,2026-08,608,6,602,0,0.9901316,24.0,25.0,25
906,1,2026-07,1733,17,1716,0,0.9901904,24.0,25.0,25
901,2,2026-03,408,4,404,0,0.9901961,24.0,25.0,25
901,4,2026-03,614,6,608,0,0.9902280,24.0,25.0,25
905,3,2026-06,3585,35,3550,0,0.9902371,24.0,25.0,25
905,7,2026-07,308,3,305,0,0.9902597,24.0,25.0,25
901,3,2026-03,1146,11,1135,0,0.9904014,24.0,25.0,25
905,1,2026-06,1563,15,1548,0,0.9904031,24.0,25.0,25
905,3,2026-07,3925,36,3888,1,0.9905732,24.0,25.0,29
901,1,2026-08,531,5,526,0,0.9905838,24.0,25.0,25
907,4,2026-07,2233,21,2212,0,0.9905956,24.0,25.0,25
36,11,2026-05,1066,10,1056,0,0.9906191,24.0,25.0,25
116,0,2026-08,13155,120,13032,3,0.9906499,24.0,25.0,58
901,2,2026-06,1392,13,1379,0,0.9906609,24.0,25.0,25
903,1,2026-03,431,4,427,0,0.9907193,24.0,25.0,25
905,10,2026-06,867,8,859,0,0.9907728,24.0,25.0,25
902,4,2026-06,2279,21,2258,0,0.9907854,24.0,25.0,25
901,4,2026-06,2281,20,2260,1,0.9907935,24.0,25.0,42
906,3,2026-06,3706,34,3672,0,0.9908257,24.0,25.0,25
3,8,2026-04,220,218,0,2,0.9909091,13.0,13.0,35
903,4,2026-07,2318,20,2297,1,0.9909405,24.0,25.0,56
902,7,2026-08,111,1,110,0,0.9909910,24.0,25.0,25
907,5,2026-04,111,1,110,0,0.9909910,24.0,25.0,25
903,1,2026-07,1676,15,1661,0,0.9910501,24.0,25.0,25
910,5,2026-06,112,1,111,0,0.9910714,24.0,25.0,25
906,8,2026-04,112,1,111,0,0.9910714,24.0,25.0,25
901,11,2026-07,903,7,895,1,0.9911406,24.0,25.0,27
900,3,2026-03,460,4,456,0,0.9913043,24.0,25.0,25
112,7,2026-03,115,0,114,1,0.9913043,25.0,25.0,40
903,3,2026-06,4032,35,3997,0,0.9913194,24.0,25.0,25
3,5,2026-05,232,230,1,1,0.9913793,13.0,13.0,33
908,1,2026-08,702,6,696,0,0.9914530,24.0,25.0,25
902,6,2026-08,117,1,116,0,0.9914530,24.0,25.0,25
913,5,2026-04,117,1,116,0,0.9914530,24.0,25.0,25
905,2,2026-06,1408,12,1396,0,0.9914773,24.0,25.0,25
36,3,2026-08,1771,14,1756,1,0.9915302,24.0,25.0,41
913,5,2026-07,119,1,118,0,0.9915966,24.0,25.0,25
909,5,2026-06,119,1,118,0,0.9915966,24.0,25.0,25
908,1,2026-03,479,4,475,0,0.9916493,24.0,25.0,25
902,11,2026-06,839,7,832,0,0.9916567,24.0,25.0,25
910,5,2026-04,120,1,119,0,0.9916667,24.0,25.0,25
903,2,2026-07,1449,10,1437,2,0.9917184,24.0,25.0,31
903,8,2026-06,121,1,120,0,0.9917355,24.0,25.0,25
902,1,2026-07,1585,13,1572,0,0.9917981,24.0,25.0,25
1,7,2026-07,488,484,1,3,0.9918033,13.0,13.0,35
900,4,2026-03,246,2,244,0,0.9918699,24.0,25.0,25
902,6,2026-07,246,2,244,0,0.9918699,24.0,25.0,25
903,11,2026-06,867,7,860,0,0.9919262,24.0,25.0,25
906,5,2026-07,124,1,123,0,0.9919355,24.0,25.0,25
903,1,2026-06,1493,12,1481,0,0.9919625,24.0,25.0,25
901,8,2026-04,125,1,124,0,0.9920000,24.0,25.0,25
908,6,2026-04,251,2,249,0,0.9920319,24.0,25.0,25
901,10,2026-04,881,7,874,0,0.9920545,24.0,25.0,25
902,3,2026-04,4047,32,4015,0,0.9920929,24.0,25.0,25
903,6,2026-06,253,2,251,0,0.9920949,24.0,25.0,25
902,3,2026-07,3808,27,3778,3,0.9921218,24.0,25.0,42
902,6,2026-06,254,2,252,0,0.9921260,24.0,25.0,25
113,0,2026-08,13086,98,12983,5,0.9921290,24.0,25.0,70
36,10,2026-08,387,3,384,0,0.9922481,24.0,25.0,25
907,8,2026-05,129,1,128,0,0.9922481,24.0,25.0,25
31,6,2026-08,129,1,128,0,0.9922481,24.0,25.0,25
