日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-05-01,976691,95049889.2123643270,85721513.1182487931,-1310557.1101409963,45626.6959843569,85721513.1182487931,-1264930.4141564959,1.435E-7,-85721513.1182486496,-85675886.4222642927,-0.015288543826,-0.013788097188,63975,0
2026-05-02,986374,100910865.9535826374,90541184.9543478433,-2409557.0735849433,61624.1451066574,90541184.9543478433,-2347932.9284780389,2.470E-7,-90541184.9543475963,-90479560.8092409389,-0.026612829010,-0.023878073494,63031,0
2026-05-03,823420,82414823.2965742110,74632799.7598668183,-1083186.4096120779,47776.1209431785,74632799.7598668183,-1035410.2886687690,1.304E-7,-74632799.7598666879,-74585023.6389235094,-0.014513543818,-0.013143101766,53924,0
2026-05-04,931538,105167881.9437872043,95277468.0672427669,-2618629.0230533363,46601.1079541493,95277468.0672427669,-2572027.9150990543,1.327E-7,-95277468.0672426342,-95230866.9592884849,-0.027484242352,-0.024899512804,61743,0
2026-05-05,1064901,107701696.8593198744,97173325.7547821138,-1056447.3440290597,39182.2295591468,97173325.7547821138,-1017265.1144697903,1.226E-7,-97173325.7547819912,-97134143.5252228444,-0.010871783340,-0.009809012995,72096,0
2026-05-06,992727,106223512.8415717207,94855075.2703418314,-2154927.5588239103,65086.7315435515,94855075.2703418314,-2089840.8272803052,5.36E-8,-94855075.2703417778,-94789988.5387982263,-0.022718104990,-0.020286728439,66130,0
2026-05-07,973558,99177130.2834412117,89546231.1107003384,-1571288.0005870759,44489.7926442309,89525511.0118334584,-1526798.2079426843,1.607E-7,-89525511.0118332977,-89481021.2191890668,-0.017547226512,-0.015843249307,66526,0
2026-05-08,1002713,109901649.4213803375,99098450.0769491589,-1018127.0585101764,68354.5585232152,99098450.0769491589,-949772.4999868303,1.309E-7,-99098450.0769490280,-99030095.5184258128,-0.010273894876,-0.009263983424,68864,0
2026-05-09,1003920,98468868.5095671483,88525756.3166706220,-1248382.9823607025,41088.7935701801,88525756.3166706220,-1207294.1887904282,9.42E-8,-88525756.3166705278,-88484667.5231003477,-0.014101918293,-0.012677945845,65190,0
2026-05-10,919893,93518559.6713292821,78775927.8915910867,-1826051.8821092006,31245.0577181107,78775927.8915910867,-1794806.8243909797,1.102E-7,-78775927.8915909765,-78744682.8338728658,-0.023180328445,-0.019526090741,57182,0
2026-05-11,887513,85494374.6278397244,77329236.3980213379,-1342190.3829927756,36803.2581894690,77326145.9876548603,-1305387.1248031918,1.148E-7,-77326145.9876547455,-77289342.7294652765,-0.017356829648,-0.015699166043,58356,0
