列名,释义数,类型数,出现表数,风险,明细
addtime,2,1,10,🟠 义异型同,ods_a168_game_callwebapi →  [datetime]  ||  ods_a168_employee →  [datetime]  ||  ods_a168_tip →  [datetime]  ||  ods_a168_conversion →  [datetime]  ||  ods_a168_RedPacket_Order → gs寫單時間 [datetime]  ||  ods_a168_agents_LoginPass →  [datetime]  ||  ods_a168_game_log →  [datetime]  ||  ods_a168_alert_ip_setting →  [datetime]  ||  ods_a168_shuffle_info →  [datetime]  ||  ods_a168_ipblacklist →  [datetime]
bet18,2,1,7,🟠 义异型同,ods_a168_bet02 → LV1ID [int(11)]  ||  ods_a168_dailyreport2 → LV1ID [int(11)]  ||  ods_a168_dailyreport → LV1ID [int(11)]  ||  ods_a168_dailyreport_table → LV1ID [int(11)]  ||  ods_a168_dailyreport_usercount → LV1ID [int(11)]  ||  ods_a168_bet01 → LV4ID [int(11)]  ||  ods_a168_dailyreport_member → LV1ID [int(11)]
lastmodifytime,2,1,6,🟠 义异型同,ods_a168_roles →  [timestamp]  ||  ods_a168_permissions → 最後修改時間 [timestamp]  ||  ods_a168_agent_permissionrole → 最後修改時間 [timestamp]  ||  ods_a168_subagent_permissionrole → 最後修改時間 [timestamp]  ||  ods_a168_permissionrole → 最後修改時間 [timestamp]  ||  ods_a168_permissionsgroup →  [timestamp]
update_at,2,1,6,🟠 义异型同,ods_a168_aggregate_transaction → 更新時間 [datetime]  ||  ods_a168_aggregate_token →  [datetime]  ||  ods_a168_wallet_reporter_copy → 更新時間 [datetime]  ||  ods_a168_partner_setting →  [datetime]  ||  ods_a168_wallet_reporter → 更新時間 [datetime]  ||  ods_a168_tablelimit_third → 更新時間 [datetime]
agent_id,2,1,5,🟠 义异型同,ods_a168_RedPacketSetup → 代理id [int(11)]  ||  ods_a168_partner_transation → 代理 id [int(11)]  ||  ods_a168_agent_partner_gamelist → 代理 id [int(11)]  ||  ods_a168_aggregate_setting → 代理 id [int(11)]  ||  ods_a168_partner_setting → 代理 id [int(11)]
bet19,2,1,5,🟠 义异型同,ods_a168_dailyreport → LV2ID [int(11)]  ||  ods_a168_bet01 → LV5ID [int(11)]  ||  ods_a168_dailyreport_member → LV2ID [int(11)]  ||  ods_a168_bet02 → LV2ID [int(11)]  ||  ods_a168_dailyreport2 → LV2ID [int(11)]
bet41,2,1,5,🟠 义异型同,"ods_a168_bet02 → 下注退水金額 [decimal(16,4)]  ||  ods_a168_dailyreport2 → 有效投注 [decimal(16,4)]  ||  ods_a168_dailyreport → 有效投注 [decimal(16,4)]  ||  ods_a168_dailyreport_member → 有效投注 [decimal(16,4)]  ||  ods_a168_dailyreport_table → 下注退水金額 [decimal(16,4)]"
opengame,2,1,5,🟠 义异型同,ods_a168_agent_bak20250610 →  [varchar(255)]  ||  ods_a168_agent →  [varchar(255)]  ||  ods_a168_opengame_log →  [varchar(255)]  ||  ods_a168_agent_test →  [varchar(255)]  ||  ods_a168_member → 輸入要開啟的種類 [varchar(255)]
create_at,2,1,4,🟠 义异型同,ods_a168_aggregate_token →  [datetime]  ||  ods_a168_partner_setting →  [datetime]  ||  ods_a168_aggregate_transaction → 建立時間 [datetime]  ||  ods_a168_tablelimit_third → 建立時間 [datetime]
eid,2,1,4,🟠 义异型同,ods_a168_bet01 → 荷官 [int(11)]  ||  ods_a168_game_info → 荷官 [int(11)]  ||  ods_a168_emp_login →  [int(11)]  ||  ods_a168_bet02 → 荷官 [int(11)]
identity,2,1,4,🟠 义异型同,"ods_a168_agent → 0:信用;1:API [int(11)]  ||  ods_a168_agent_bak20250610 → 0:信用;1:API [int(11)]  ||  ods_a168_agent_test → 0:信用;1:API [int(11)]  ||  ods_a168_member → 0:信用,1:api [int(11)]"
optime,2,1,4,🟠 义异型同,ods_a168_change_log → 操作時間 [datetime]  ||  ods_a168_orderslist → 操作時間 [datetime]  ||  ods_a168_risklist → 操作時間 [datetime]  ||  ods_a168_jackpot → 最後操作時間 [datetime]
lv_id,2,1,3,🟠 义异型同,ods_a168_member_category → 階層編號 [int(11)]  ||  ods_a168_categoryLevel →  [int(11)]  ||  ods_a168_payment_setting →  [int(11)]
ps003,2,1,3,🟠 义异型同,"ods_a168_play_set → 退水 [decimal(16,2)]  ||  ods_a168_partner_type → 退水 [decimal(16,2)]  ||  ods_a168_game_type →  [decimal(16,2)]"
ps004,2,1,3,🟠 义异型同,ods_a168_partner_type → 最小押分 [int(11)]  ||  ods_a168_game_type →  [int(11)]  ||  ods_a168_play_set → 最小押分 [int(11)]
ps005,2,1,3,🟠 义异型同,ods_a168_game_type →  [int(11)]  ||  ods_a168_partner_type → 最大押分 [int(11)]  ||  ods_a168_play_set → 最大押分 [int(11)]
ps006,2,1,3,🟠 义异型同,ods_a168_partner_type → 押分倍數 [int(11)]  ||  ods_a168_game_type →  [int(11)]  ||  ods_a168_play_set → 押分倍數 [int(11)]
ps007,2,1,3,🟠 义异型同,ods_a168_play_set → 最大押分02 [int(11)]  ||  ods_a168_game_type →  [int(11)]  ||  ods_a168_partner_type → 最大押分02 [int(11)]
ps008,2,1,3,🟠 义异型同,ods_a168_play_set → 最大押分03 [int(11)]  ||  ods_a168_game_type →  [int(11)]  ||  ods_a168_partner_type → 最大押分03 [int(11)]
ps009,2,1,3,🟠 义异型同,ods_a168_game_type →  [int(11)]  ||  ods_a168_partner_type → 最大押分04 [int(11)]  ||  ods_a168_play_set → 最大押分04 [int(11)]
ps010,2,1,3,🟠 义异型同,ods_a168_play_set → 最大押分05 [int(11)]  ||  ods_a168_partner_type → 最大押分05 [int(11)]  ||  ods_a168_game_type →  [int(11)]
ps011,2,1,3,🟠 义异型同,ods_a168_game_type →  [int(11)]  ||  ods_a168_play_set → 最大押分06 [int(11)]  ||  ods_a168_partner_type → 最大押分06 [int(11)]
risk,2,1,3,🟠 义异型同,ods_a168_dailyreport2 → 風險單1:是 [tinyint(1)]  ||  ods_a168_dailyreport_member → 風險單 1:是 [tinyint(1)]  ||  ods_a168_dailyreport_table → 風險單 1:是 [tinyint(1)]
balance,2,1,2,🟠 义异型同,"ods_a168_aggregate_transaction → 對方餘額 [decimal(16,4)]  ||  ods_a168_partner_transation → 交易前餘額 [decimal(16,4)]"
betTime,2,1,2,🟠 义异型同,ods_a168_log_realtimebet →  [datetime]  ||  ods_a168_bet_partner → 下注時間 [datetime]
comment,2,1,2,🟠 义异型同,ods_a168_game_demoipsetting →  [text]  ||  ods_a168_game_transfer → 註解 [text]
frequency,2,1,2,🟠 义异型同,ods_a168_shuffle_info →  [int(11)]  ||  ods_a168_jackpot → 次數 [int(11)]
gameNoRound,2,1,2,🟠 义异型同,ods_a168_game_result → 子場次編號 [int(11)]  ||  ods_a168_log_realtimebet →  [int(11)]
gametype,2,1,2,🟠 义异型同,ods_a168_bet01 → 1:網投、2:電投 [int(11)]  ||  ods_a168_bet02 → 1:網投、2:電投、3 電投網投模式、4 電投電投模式 [int(11)]
is_send,2,1,2,🟠 义异型同,ods_a168_betchange_log → 是否已發送 [int(1)]  ||  ods_a168_alarmMessage → 發送 tg 0: 未發送 1:已發送 [int(1)]
level,2,1,2,🟠 义异型同,ods_a168_category → 層級等級，status為1時修改為sn [int(11)]  ||  ods_a168_categoryLevel → 層級等級 [int(11)]
lv,2,1,2,🟠 义异型同,ods_a168_passiplist →  [int(11)]  ||  ods_a168_change_log → 操作者層級 [int(11)]
mem001,2,1,2,🟠 义异型同,ods_a168_member_dtl → mid [int(11)]  ||  ods_a168_member →  [int(11)]
mem006,2,1,2,🟠 义异型同,ods_a168_member →  [int(11)]  ||  ods_a168_member_dtl → LV3ID [int(11)]
mem007,2,1,2,🟠 义异型同,ods_a168_member_dtl → LV4ID [int(11)]  ||  ods_a168_member →  [int(11)]
mem008,2,1,2,🟠 义异型同,ods_a168_member →  [int(11)]  ||  ods_a168_member_dtl → LV5ID [int(11)]
mem009,2,1,2,🟠 义异型同,ods_a168_member →  [int(11)]  ||  ods_a168_member_dtl → 最大押分05 [int(11)]
mem010,2,1,2,🟠 义异型同,ods_a168_member →  [int(11)]  ||  ods_a168_member_dtl → 最大押分06 [int(11)]
mem012,2,1,2,🟠 义异型同,ods_a168_member_dtl → 最大可贏金額 [int(11)]  ||  ods_a168_member →  [int(11)]
modify_time,2,1,2,🟠 义异型同,ods_a168_member_url → 最後異動時間 [timestamp]  ||  ods_a168_agents_LoginPass →  [timestamp]
ordered,2,1,2,🟠 义异型同,ods_a168_permissionsgroup → 排序 [int(11)]  ||  ods_a168_permissions → 顯示的順序 [int(11)]
rate,2,1,2,🟠 义异型同,"ods_a168_RedPacket_Order →  [decimal(8,4)]  ||  ods_a168_currency → 匯率 [decimal(8,4)]"
receivetime,2,1,2,🟠 义异型同,ods_a168_RedPacket_Order → 領取時間 [datetime]  ||  ods_a168_SMR_log →  [datetime]
requestDate,2,1,2,🟠 义异型同,ods_a168_partner_transation → 第三方請求時間 [datetime]  ||  ods_a168_wallet_dtl → 我方請求時間 [datetime]
update_time,2,1,2,🟠 义异型同,ods_a168_RedPacketSetup → 操作時間 [datetime]  ||  ods_a168_white_list →  [datetime]
