IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
103.199.32.104,79,1846,59,166684.78682470918,-8.760186947261445,-8.760186947261445,1.4237263188944425e-05,1.1989539625166366e-05,44
49.48.233.190,79,1814,62,38818.950239235375,1260.2880586397996,1285.8722443311417,1.399046339368645e-05,2.7922244793109116e-06,44
103.199.33.59,79,1660,54,1952649.2986235328,-122450.55614987662,-122450.55614987662,1.2802739379007445e-05,0.00014045292666402883,44
103.199.32.134,79,1276,50,39845.11655396981,-2637.912376194355,-2637.912376194355,9.841141835911747e-06,2.866036024604832e-06,44
103.199.32.157,79,1183,53,87891.61363660035,-8229.547400605354,-8229.547400605354,9.123879930943258e-06,6.321992573467546e-06,44
103.199.33.153,79,1113,63,69180.8246307335,5026.63213621887,5026.63213621887,8.584005378816437e-06,4.976136419001068e-06,44
104.28.119.142,79,921,85,120956.76442365201,-4566.648047347987,-4566.648047347985,7.103206607268589e-06,8.70034960967602e-06,44
103.199.32.10,78,3436,60,207362.88898044694,13597.552372922668,13597.552372922668,2.650012801582505e-05,1.4915491818906012e-05,44
49.48.233.87,78,3314,82,97322.89521371812,2142.8663396249426,2237.9755307171386,2.5559203796404022e-05,7.000379163743897e-06,44
49.48.233.128,78,3198,72,102752.24348907318,3658.527988791241,3684.464970346152,2.466455453859386e-05,7.390909022684501e-06,44
49.48.233.140,78,2872,76,90914.43007541484,-9353.063954804871,-9310.78564602635,2.2150281624403244e-05,6.539421999170828e-06,44
49.48.233.25,78,2658,64,44095.11238932995,667.7446675331048,697.2532656781555,2.0499807993615535e-05,3.171735749489916e-06,44
49.48.233.231,78,2244,68,56455.48532634629,-2760.9270838763023,-2603.9981151559928,1.7306835642465486e-05,4.060810175136438e-06,44
49.48.233.251,78,2192,68,111979.46156518301,-144.20430852459435,-64.95314421331386,1.6905785975171277e-05,8.05461744419697e-06,44
49.48.233.132,78,2087,69,90870.6912335352,-3173.510146776964,-2736.6239949974592,1.609597414698105e-05,6.536275889751579e-06,44
49.48.233.175,78,1730,67,82119.38926063772,-1398.3684878751064,-1331.2052690805394,1.3342613931134265e-05,5.906799836329905e-06,44
223.205.121.228,78,1697,6,29986.31905556998,-2586.519378549614,-2586.519378549614,1.308810164227448e-05,2.156898463131624e-06,44
49.48.233.4,78,1694,71,79106.77250569027,-14227.919196047782,-14046.37753570029,1.3064964161469043e-05,5.690104067946031e-06,44
103.199.32.65,78,1680,52,68743.5959475918,2398.726602948162,2398.726602948162,1.295698925104368e-05,4.944686814501171e-06,44
49.48.233.204,78,1616,68,89327.97938931036,-1230.7376275287984,-872.598323591393,1.246338966052773e-05,6.425309525400652e-06,44
49.48.233.168,78,1450,70,49055.350575927885,3517.5604642568624,3531.2347972729967,1.1183115722626986e-05,3.5285227929950967e-06,44
103.199.32.163,78,1167,57,104991.30928736106,-11402.792925299482,-11402.339191447996,9.00048003331427e-06,7.551963721336506e-06,44
27.55.101.38,78,240,3,1780.1373655153675,178.92941640070208,178.92941640070208,1.8509984644348113e-06,1.2804424380090993e-07,44
184.22.191.121,78,237,6,407.9057505760291,-21.831947666355266,-21.83194766635526,1.8278609836293763e-06,2.9340423040572e-08,44
49.48.233.71,77,3575,71,170530.0114440968,-11699.366952207156,-11606.984909574867,2.757216462647688e-05,1.2266124392259094e-05,44
49.48.233.44,77,3258,69,61309.62004604354,-8456.463042546287,-8434.515793217493,2.5127304154702565e-05,4.40996525807097e-06,44
49.48.233.194,77,3176,65,112460.83442353061,1715.5120835229286,1877.923532617917,2.4494879679354004e-05,8.089242313506174e-06,44
49.48.233.250,77,2788,65,170492.77297964055,-3167.308980741868,-3163.9558204386262,2.150243216185106e-05,1.2263445851201545e-05,44
49.48.233.22,77,2624,65,60027.82996588075,-1992.1165408304364,-1986.407694144108,2.0237583211153937e-05,4.317766844226409e-06,44
49.48.233.234,77,2550,73,105943.45162520627,-10509.20663852208,-10309.078506402433,1.966685868461987e-05,7.6204507650905285e-06,44
103.199.32.220,77,2038,64,111665.3457531813,-4101.174068664941,-4101.174068664941,1.5718061960492273e-05,8.032023276806959e-06,44
49.48.233.79,77,1922,68,49029.36526006123,1341.0244509417846,1350.9351561291087,1.4823412702682115e-05,3.5266536843608256e-06,44
49.48.233.237,77,1890,69,32782.55825982393,-188.07452953166887,-180.5199680589878,1.457661290742414e-05,2.358030320330463e-06,44
49.48.233.47,77,1794,66,76147.74795344827,-2344.124459122858,-2296.180700822888,1.3836213521650215e-05,5.477263155486188e-06,44
103.199.33.236,77,1790,61,105690.07699667865,4011.3457678684636,4011.3457678684636,1.3805363547242968e-05,7.602225675647072e-06,44
103.199.32.33,77,1622,61,142913.30227109336,1878.9203378350564,1878.9203378350564,1.25096646221386e-05,1.0279670587721866e-05,44
103.199.32.173,77,1561,60,82905.66856447491,-1532.3068221887438,-1532.3068221887438,1.2039202512428086e-05,5.963356448660208e-06,44
49.48.233.48,77,1415,74,25177.046858644404,-284.9941874692436,-274.65841322451894,1.0913178446563575e-05,1.8109703153283804e-06,44
103.199.33.113,77,1238,59,81070.79728378152,3882.0509114440056,3882.0509114440056,9.548067079042903e-06,5.831375226222144e-06,44
103.199.32.38,77,1216,54,129701.64618848896,17733.786911679526,17733.786911679526,9.378392219803044e-06,9.329363861271566e-06,44
103.164.182.14,77,978,129,4020.4625119458988,231.5340352576865,231.5340352576865,7.542818742571856e-06,2.8918952663126675e-07,44
103.199.32.54,77,912,55,36840.84691704336,-564.9860545412325,-564.9860545412325,7.033794164852284e-06,2.6499406595581503e-06,44
222.254.103.182,77,404,3,8215.06164437348,131.40329293511002,131.4032929351099,3.1158474151319326e-06,5.90904598942076e-07,44
49.48.233.55,76,3365,72,147039.80373339314,-14534.58844704066,-14520.104099196493,2.5952540970096418e-05,1.057648743428615e-05,44
49.48.233.117,76,3016,74,64220.183274503186,-4652.837038628746,-4497.069629332454,2.326088070306413e-05,4.619320375739069e-06,44
103.199.33.123,76,2923,62,134578.41655553936,3035.1311999706736,3035.1311999706736,2.254361879809564e-05,9.680147113135317e-06,44
49.48.233.34,76,2852,75,108708.74519182707,-2131.212270514079,-1785.8105186527237,2.199603175236701e-05,7.819356720599737e-06,44
103.199.33.106,76,2115,61,93227.21969339236,-2512.6274892197866,-2512.6274892197866,1.6311923967831777e-05,6.705779609230202e-06,44
103.199.33.14,76,1907,55,120012.19913229544,-7744.120696245351,-7744.120696245351,1.4707725298654938e-05,8.632407578462421e-06,44
103.199.33.96,76,1765,61,95969.83894110366,2724.421070329251,2724.421070329251,1.3612551207197676e-05,6.9030546141876685e-06,44
223.206.50.252,76,1657,15,72810.06893934603,-1301.1616385217062,-705.9279404633908,1.2779601898202011e-05,5.237185848144706e-06,44
