窗口右端日,窗口左端日,窗口内有下注天数,是否满窗,活跃会员数,物理局数,玩家局数,投注金额,游戏盈利,返水,净盈利,胜局数,负局数,和局数,胜率,游戏盈利率,净盈利率
2026-07-24,2026-06-25 00:00:00,30,1,201857,1334581,19964343,3239450142.59289,-54719438.72303253,2211187.1998580224,-52508251.523175314,8994413,9378248,1591682,0.489554180529429,-0.016891582310087513,-0.01620900128475111
2026-07-25,2026-06-26 00:00:00,30,1,201925,1334639,19980543,3235000480.194909,-54001472.399923354,2173077.248698159,-51828395.15122652,9002947,9383933,1593663,0.4896397322438608,-0.016692879253195587,-0.01602113986335602
2026-07-26,2026-06-27 00:00:00,30,1,202261,1335002,19999671,3219851820.4934597,-51424919.904093936,2152778.9490465275,-49272140.95504911,9011447,9389851,1598373,0.4897180079361793,-0.015971206990579086,-0.015302611331815229
2026-07-27,2026-06-28 00:00:00,30,1,201465,1327607,19864058,3192355183.5226817,-50295900.91579504,2141901.78267367,-48153999.133122556,8950119,9325757,1588182,0.48972311915445255,-0.01575510807049196,-0.015084160867083047
2026-07-28,2026-06-29 00:00:00,30,1,201677,1327654,19860215,3192337637.3107677,-51363810.70477082,2139076.3906506603,-49224734.314121604,8948561,9324047,1587607,0.48972544039690447,-0.016089717486161587,-0.01541965164924993
2026-07-29,2026-06-30 00:00:00,30,1,202058,1335057,19968123,3210336348.0010967,-51911009.96086813,2171074.572714023,-49739935.38815576,8995968,9375043,1597112,0.48968279426755557,-0.01616995988385775,-0.015493683526066088
2026-07-30,2026-07-01 00:00:00,30,1,201105,1334983,19934553,3207494796.82916,-52162690.67989613,2163029.5151410187,-49999661.164757036,8983189,9357408,1593956,0.48979806927767944,-0.016262751456826277,-0.015588384185123325
2026-07-31,2026-07-02 00:00:00,30,1,199509,1335111,19861014,3166064431.9848046,-54150943.16701719,2168412.403571688,-51982530.763447076,8950120,9322205,1588689,0.4898183455033774,-0.017103550584745993,-0.016418658520748818
2026-08-01,2026-07-03 00:00:00,30,1,200176,1334681,19883986,3141483235.3283806,-54477668.48584128,2139541.571623664,-52338126.91421925,8960235,9333773,1589978,0.4897907008677377,-0.01734138443687945,-0.016660323482117302
2026-08-02,2026-07-04 00:00:00,30,1,199866,1334577,19863138,3124064524.9263444,-53089696.96233173,2129780.9632223463,-50959915.99911117,8948846,9325561,1588731,0.4896928256003054,-0.016993790153416698,-0.01631205616673767
2026-08-03,2026-07-05 00:00:00,30,1,198652,1327246,19746533,3091326629.8326044,-52215596.28709781,2111712.3314442015,-50103883.9556555,8896659,9270050,1579824,0.48972320743399367,-0.016890999412095542,-0.01620789064220258
2026-08-04,2026-07-06 00:00:00,30,1,198949,1327019,19733455,3060683630.794473,-51747071.34362035,2102091.8699801895,-49644979.47364205,8890393,9263605,1579457,0.4897209419104266,-0.016907030449987467,-0.01622022576072507
2026-08-05,2026-07-07 00:00:00,30,1,198959,1325180,19669226,3041682988.5581045,-52310760.133366354,2009256.9537757277,-50301503.17959221,8860230,9235129,1573867,0.48964101789856723,-0.017197965840011493,-0.016537391756080867
2026-08-06,2026-07-08 00:00:00,30,1,198586,1324780,19623673,3017642879.3795867,-51980719.99516164,1942418.362611087,-50038301.63255213,8838078,9214301,1571294,0.4895796836527751,-0.017225603582968915,-0.016581916294495316
2026-08-07,2026-07-09 00:00:00,30,1,197348,1324563,19556422,2989755429.7341595,-51200436.35600315,1885672.0569388522,-49314764.29906625,8807805,9181520,1567097,0.4896128676312202,-0.01712529253958266,-0.016494581399071555
2026-08-08,2026-07-10 00:00:00,30,1,197213,1324000,19536918,2967290727.3577013,-51517337.1618652,1852020.8705994035,-49665316.29126759,8795796,9172461,1568661,0.48951859938334585,-0.017361742375591255,-0.01673759697132654
2026-08-09,2026-07-11 00:00:00,30,1,195931,1323548,19400935,2924019288.7033143,-50130650.04718312,1810642.210034342,-48320007.83715023,8734285,9111002,1555648,0.4894449161843124,-0.017144432063378783,-0.016525201466293413
2026-08-10,2026-07-12 00:00:00,30,1,193933,1316410,19226158,2886182321.3527675,-49769765.72794545,1799393.1602231152,-47970372.567723975,8654520,9027579,1544059,0.4894509413164127,-0.017244151680832872,-0.016620700713473994
2026-08-11,2026-07-13 00:00:00,30,1,193810,1316033,19216936,2848547998.7749825,-48447171.53502107,1782570.847057821,-46664600.687964804,8648146,9023893,1544897,0.4893688838056548,-0.01700767252503934,-0.016381890250061752
2026-08-12,2026-07-14 00:00:00,30,1,197847,1320684,19382286,2847288983.5440645,-47915128.08256398,1751995.5876901792,-46163132.494875476,8725070,9097615,1559601,0.48954857250745326,-0.01682833332320321,-0.016213012715490336
2026-08-13,2026-07-15 00:00:00,30,1,193759,1280833,18813592,2732776356.116137,-46326160.0414505,1674301.993245098,-44651858.04820689,8469837,8830091,1513664,0.4895879913488657,-0.01695204949273271,-0.016339375137037114
