日,下注笔数,独立会员数,独立荷官数,独立桌台数,总下注金额,总派彩金额,总GGR,平均GGR占比
2026-06-22,720745,23460,123,30,2859069100.5,2809896492.629,49172603.566,0.104390904672861
2026-06-28,724702,20816,131,30,2040542923.5,2050788936.337,-10246010.295,0.106535886018506
2026-07-12,795075,21840,125,30,4440649623.8,4373936145.331,66713472.38,0.107210586215459
2026-07-19,866852,21732,130,30,4547861319.4,4415460227.698,132401093.424,0.105010407827725
2026-07-24,880057,22376,127,30,3079045178.5,3086616454.381,-7571275.775,0.105125451858086
2026-07-25,868412,22578,136,30,3448011683,3311927439.364,136084244.075,0.110316475840375
2026-07-31,971037,23179,122,30,2848514758,2720872541.947,127642214.147,0.10815424835698
2026-08-01,998284,25917,120,30,2710939826,2614897357.086,96042471.56,0.111291110255486
2026-03-25,982232,25927,122,30,5440556114.5,5481705385.305,-41149269.058,0.107666445555636
2026-06-20,847511,25668,121,30,3030537449.2,2851445085.916,179092362.248,0.103234892708581
2026-03-21,132914,5790,87,17,380824107,382469856.783,-1645749.83,0.0805707459256624
