agent_level,agent_id,top_agent_id,parent_agent_id,is_test_line,n_bets_all,n_bets_prod,n_bets_testline,n_members_all,n_members_prod,active_days,first_seen,last_seen,own_share_pct_unw,own_share_pct_w,pct_complement,pct_top_bet23,stake,valid_bet,profit,rebate_cost,cost_complement_b,cost_ownshare_a,ngr,residual_b,residual_a,hold_rate,stake_testline_audit,profit_testline_audit,agent_status,agent_formula_version,audit_rn,batch_id
1,29360,29360,,0,6,6,0,2,2,2,2026-06-27,2026-07-27,-4.000000,-4.000000,4.000000,96.000000,198.8757,198.8757,114.6934,0.0000,4.5877,-4.5877,114.6934,110.1056,119.2811,0.57670877,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,38,1
1,39577,39577,,0,98,98,0,7,7,10,2026-04-17,2026-07-21,0.000000,0.000000,4.000000,96.000000,779.5288,728.8917,124.1435,0.0000,4.9657,0.0000,124.1435,119.1778,124.1435,0.15925454,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,39,1
1,6757,6757,,0,14,14,0,1,1,3,2026-05-14,2026-07-16,100.000000,100.000000,0.000000,100.000000,480.0000,480.0000,121.0000,0.0000,0.0000,121.0000,121.0000,121.0000,0.0000,0.25208333,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,40,1
1,28635,28635,,0,3419,3419,0,24,24,53,2026-04-04,2026-08-04,0.000000,0.000000,3.000000,97.000000,34933.1565,31620.4084,128.9632,0.0000,3.8689,0.0000,128.9632,125.0943,128.9632,0.00369171,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,41,1
1,35832,35832,,0,4237,4237,0,10,10,60,2026-03-22,2026-07-22,0.000000,0.000000,4.000000,96.000000,41657.0632,37565.0116,135.4481,0.0000,5.4179,0.0000,135.4481,130.0301,135.4481,0.00325150,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,42,1
1,46004,46004,,0,14,14,0,3,3,4,2026-04-24,2026-07-09,0.000000,0.000000,4.000000,96.000000,817.8843,422.2103,136.1747,0.0000,5.4470,0.0000,136.1747,130.7277,136.1747,0.16649623,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,43,1
1,49140,49140,,0,2,2,0,2,2,2,2026-07-09,2026-07-19,0.000000,0.000000,4.000000,96.000000,140.9112,140.9112,140.9112,0.0000,5.6364,0.0000,140.9112,135.2748,140.9112,1.00000000,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,44,1
1,49020,49020,,0,46,46,0,4,4,7,2026-05-05,2026-08-02,0.000000,0.000000,4.000000,96.000000,18226.4106,17422.4410,402.5256,0.0000,16.1010,0.0000,402.5256,386.4246,402.5256,0.02208474,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,45,1
1,18698,18698,,0,1404,1404,0,32,32,38,2026-03-24,2026-08-03,0.000000,0.000000,4.000000,96.000000,15450.1635,13919.8660,438.1001,0.0000,17.5240,0.0000,438.1001,420.5761,438.1001,0.02835569,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,46,1
1,53919,53919,,0,24,24,0,1,1,11,2026-04-01,2026-05-22,0.000000,0.000000,6.000000,94.000000,4625.9936,4578.5044,665.5743,0.0000,39.9345,0.0000,665.5743,625.6398,665.5743,0.14387705,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,47,1
1,6589,6589,,0,370,370,0,13,13,22,2026-04-06,2026-07-24,0.000000,0.000000,4.000000,96.000000,14139.2670,13109.0846,872.0251,0.0000,34.8810,0.0000,872.0251,837.1441,872.0251,0.06167400,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,48,1
