uid1,uid2,总同桌局数
147705663,148729820,524
54907068,123591261,524
54653530,142020180,524
123591261,137995147,523
113788887,120316504,523
123903499,148956669,523
145302805,148541506,523
135444165,150133341,523
142020180,148007068,523
121177155,142020180,523
152366001,152638777,523
136592105,145846574,523
72634316,135444165,522
120316504,124272274,522
106854977,142020180,522
6255961,31499059,522
68360281,113375267,521
142020180,146777927,521
123521207,142391599,521
90473758,140840421,520
118402175,145524668,520
72427495,146517701,520
116522545,120316504,519
123591261,141621532,519
123591261,143913418,518
45113100,72216248,518
20528051,149316979,518
89596067,125487212,518
142020180,146411892,518
113311676,115359456,518
126404796,145846574,518
90473758,122595651,518
80499351,126527236,517
72216248,124560060,517
101054871,126527236,517
80507532,147601011,517
113311676,114024356,516
54046314,120046662,516
72216248,133319507,516
142020180,143066478,516
122313879,142020180,515
38559714,109424204,515
27918930,136663437,515
139169953,148739858,515
6255961,86925540,515
145846574,150212606,515
89596067,142668385,515
123483915,139570642,514
22477772,123483915,514
101153588,144484933,514
65468059,139045947,514
146253297,147248284,514
140840421,142478759,514
140672959,146517701,514
63093963,80583981,514
72216248,137319795,513
72216248,94163947,512
22477772,113375267,511
6255961,142327375,511
115314671,123903499,511
38559714,107312460,511
125487212,134896269,511
123903499,142048492,511
120249935,151384275,511
150014770,152347453,511
84877977,139169953,510
93267280,135715113,510
116388530,142020180,510
6255961,147453711,510
142608020,146793502,509
142014010,142327375,508
145524668,147971144,508
17658682,137670394,508
94863925,137670394,508
142020180,145031577,508
139169953,142024819,508
50034319,121732938,507
72216248,136631485,507
20528051,142445460,507
90473758,132309454,507
49285724,125338962,507
101153588,122650490,506
135444165,136930242,506
113311676,139614157,506
137220178,139169953,506
137242099,149651647,506
27971132,81846921,506
114881779,138839798,506
120316504,141621532,505
24862477,131067716,505
138399124,141556233,505
35471813,139169953,505
81078358,118719977,505
135715113,142185456,505
76071322,123483915,504
123591261,146560009,504
142020180,142216204,504
6255961,126384622,503
139169953,141621532,503
10649454,142024819,502
52169523,149955590,502
120562553,135715113,502
139169953,145930634,502
110216692,142020180,501
61237264,101153588,501
142020180,143293096,501
92755421,142020180,501
123584935,141556233,501
124073014,139169953,501
110750769,123903499,501
146517701,150304963,501
128096699,147601011,500
101506309,142024935,500
38559714,146539785,500
7462908,142024935,500
24091839,142020180,500
101054871,129533265,499
114881779,147309576,499
135715113,136684119,499
151153890,152638777,499
129118209,142020180,499
115968087,132513825,498
38559714,142078611,498
31160697,120046662,498
124627111,146517701,498
71816929,143901669,498
118670037,148437837,498
72634316,142012746,498
142279111,151589776,498
97519176,132763297,497
72216248,125552398,497
120316504,139045947,497
84773768,89596067,497
114881779,149960975,497
123903499,141621532,496
7697855,8788462,496
80507532,142020180,496
90473758,120316504,496
91099680,121732938,495
134611684,146793502,495
80507532,101153588,495
53881953,72216248,495
135444165,146986764,495
10649454,72427495,495
101153588,148737626,494
47745566,135715113,494
122991841,139169953,494
119958450,149651647,494
19570235,118670037,494
119636387,125487212,494
135444165,138069421,493
24862477,145819225,493
70992922,140445234,493
106303777,142020180,493
149955590,151290699,493
142014010,152284832,493
133767947,146517701,492
123903499,151143230,492
122932039,142279111,492
19570235,116007922,492
135444165,142391599,491
120316504,133258249,491
91935079,131067716,491
137046699,142050158,491
20528051,111979675,491
81846921,150832975,491
101054871,118118853,491
106297635,139169953,491
