交易id,会员,投注选项,赔率,投注额,bet33,bet34,bet35,bet36,bet37,bet38,bet39,bet40,bet41
5514842195,120552004,BPair,4.8926,7827.66,0.0,0.0,0.0,0.0,0.0,,8.0,3.0,10.0
5514842205,148187356,Banker,4.8926,1850.7893,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,200.0
5514842211,153311724,Even,3.8733,24742.55,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,500.0
5514842226,152132253,Player,1.0000,604.03,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,200.0
5514842232,153289809,Big,1.0000,506.8,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,50.0
5514842239,151293681,Banker,3.8733,348.61,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,50.0
5514842247,152965278,Super6,0.1472,17800.15,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,50.0
5514842253,126355134,Banker,3.8733,32.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,32.0
5514842258,99487840,R3W1,3.8733,98.11,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,28.0
5514842264,151971281,Tie,309.0231,181500.5,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,500.0
5514842270,153000024,Banker,4.8926,1382.0,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,120.0
5514842285,101186350,SuperLucky7,0.1472,25.31,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,1.0
5514842291,147668164,Banker,3.8733,439.47,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,350.0
5514842300,115059896,Lucky7,4.8926,873.3984,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,50.0
5514842314,142066758,Banker,4.8926,28.5602,0.0,0.0,0.0,0.0,0.0,,912.0,0.0,23.0
5514842323,135093305,Super6,4.8926,402.81,0.0,0.0,0.0,0.0,0.0,,33.0,2.0,10.0
5514842328,149562643,Odd,3.8733,995.27,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,90.0
5514842337,116147226,W3R1,3873.2990,1523000.68,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,200000.0
5514842342,150040068,Player,1.0000,2678.39,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,17.0
5514842349,153390988,Player,3.8733,1255.51,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,10.0
5514842356,101186350,Player,0.1472,24.31,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,3.0
5514842361,151868468,Lucky7,0.1472,24.66,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,1.0
5514842375,152510706,BPair,4.8926,604.4,0.0,0.0,0.0,0.0,0.0,,906.0,3.0,20.0
5514842380,127288016,Even,3.8733,469.52,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,100.0
5514842394,153389498,Banker,4.8926,1101.35,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,30.0
5514842406,152158980,Banker,3.8733,117.0,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,50.0
5514842412,142532245,Odd,3.8733,1512.8,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,100.0
5514842419,152928777,Even,3.8733,6008.18,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,500.0
5514842425,132080498,R4,3.8733,786.21,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,40.0
5514842431,147490142,Banker,3.8733,4332.73,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,100.0
5514842444,147669076,Tie,3.8733,103.5,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,10.0
5514842450,78490442,Player,3.8733,2070.38,0.0,0.0,0.0,0.0,0.0,,35.0,0.0,130.0
5514842467,143871449,Player,4.8926,340.67,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,100.0
5514842473,145520431,Odd,3.8733,251.44,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,30.0
5514842478,151813997,W3R1,3.8733,100.35,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,20.0
5514842486,146671482,Banker,3.8733,5971.51,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,100.0
5514842492,95285166,Small,1.0000,7769.2,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,100.0
5514842499,152559905,Odd,3.8733,302.24,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,100.0
5514842503,130971597,Banker,4.8926,298.38,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,298.0
