member_id,Recency,Frequency,Monetary
145592892,10,27,1365.0000
147800775,121,2,2950.0000
147795010,119,78,9728.0000
132705379,0,196,11972.0000
142424451,59,571,90894.0000
147775897,121,2,642.0000
147801280,89,839,279437078.0000
14840177,116,55,3036.0000
147306605,121,22,652.0000
139029019,49,81,16867.0000
65564531,0,5446,858139.0000
138112827,2,1714,74305.0000
147801736,121,20,360.0000
147459642,108,82,5876.0000
143395058,107,1575,822011.0000
143734035,73,248,12836.0000
147666351,120,324,22230.0000
84489771,0,1919,7085966.0000
147237086,54,1098,11101.0000
102314193,67,76,5111.0000
147682391,71,291,8982.0000
147802860,121,4,198.0000
139312682,116,655,20659.0000
144141291,89,386,168620.0000
131236226,0,898,180595.0000
147659211,121,11,12000.0000
139196803,21,126,28699.0000
144195964,0,143,72620.0000
147803467,121,54,540.0000
122732884,3,983,548991.0000
147803223,121,9,89.0000
140193572,3,12784,824452.0000
133842452,28,4,80.0000
73150631,0,2184,551942.0000
142506607,121,46,6140.0000
103588206,84,1868,192452.0000
147803727,121,8,1040.0000
142384530,1,32782,578749.0000
114246599,48,573,9437.0000
126454787,3,16992,211993.0000
126098242,0,3664,3281066.0000
107541514,13,183,169834.0000
18785434,0,33703,892694.0000
144633642,79,49,46757.0000
147804283,121,10,500.0000
147804297,121,4,1040.0000
147804502,121,8,280.0000
147804594,121,8,1233.0000
141056013,69,117,4010.0000
147804870,118,68,3040.0000
145641998,0,1114,129698.0000
147803710,121,4,188.0000
147805398,121,3,300.0000
142902535,56,352,27419.0000
145217031,121,35,2211.0000
120016649,12,1539,189511.0000
147804217,121,12,722.0000
146851567,120,72,23335.0000
39316301,6,2258,7165.0000
113936793,0,2730,295808.0000
74450971,7,225,12706.0000
125338962,2,14572,2949111.0000
138912545,83,20,1900.0000
129643376,65,57,347686.0000
147606488,113,110,5986.0000
108024460,21,172,9921.0000
146970979,57,659,27023.0000
141444406,30,464,29023.0000
132185037,18,156,1381.0000
120981537,55,186,287244.0000
34563359,75,391,127013.0000
147739145,122,45,832.0000
147752457,122,18,560.0000
147496312,17,1284,302172.0000
135896815,0,6153,393103.0000
146021871,30,850,23363.0000
131046039,118,4,1530.0000
139624656,4,7163,607192.0000
132789578,0,53374,946983.0000
147688440,45,2657,1233727.0000
70437672,122,282,2703.0000
122760776,57,1161,21800.0000
103872580,0,3048,572651.0000
142123628,22,270,54401.0000
98086289,0,4721,143060.0000
4725699,0,8578,2723409.0000
49750333,15,87,103134.0000
