TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_mariadb_2b,ods_a168_agent_bak20250610,last_chpsw,varchar,source_type=timestamp; 上次修改密碼時間
ods_mariadb_2b,ods_a168_agent_bak20250610,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_bak20250610,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_bak20250610,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_bak20250610,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_dtl,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_dtl,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_dtl,ag001,varchar,source_type=int(11); id
ods_mariadb_2b,ods_a168_agent_dtl,ag002,varchar,source_type=int(11); 類別
ods_mariadb_2b,ods_a168_agent_dtl,ag003,varchar,"source_type=decimal(16,2); 退水"
ods_mariadb_2b,ods_a168_agent_dtl,ag004,varchar,source_type=int(11); 最小押分
ods_mariadb_2b,ods_a168_agent_dtl,ag005,varchar,source_type=int(11); 最大押分
ods_mariadb_2b,ods_a168_agent_dtl,ag006,varchar,source_type=int(11); 押分倍數
ods_mariadb_2b,ods_a168_agent_dtl,ag007,varchar,source_type=int(11); 最大押分02
ods_mariadb_2b,ods_a168_agent_dtl,ag008,varchar,source_type=int(11); 最大押分03
ods_mariadb_2b,ods_a168_agent_dtl,ag009,varchar,source_type=int(11); 最大押分04
ods_mariadb_2b,ods_a168_agent_dtl,ag010,varchar,source_type=int(11); 最大押分05
ods_mariadb_2b,ods_a168_agent_dtl,ag011,varchar,source_type=int(11); 最大押分06
ods_mariadb_2b,ods_a168_agent_dtl,ag012,varchar,"source_type=decimal(16,2); 佔成"
ods_mariadb_2b,ods_a168_agent_dtl,ag013,varchar,source_type=int(11); 選則限紅（BIT）
ods_mariadb_2b,ods_a168_agent_dtl,ag014,varchar,source_type=varchar(300); 新版限額
ods_mariadb_2b,ods_a168_agent_dtl,ag015,varchar,"source_type=decimal(16,2); 電投退水"
ods_mariadb_2b,ods_a168_agent_dtl,ag016,varchar,source_type=int(3); 電投佔成
ods_mariadb_2b,ods_a168_agent_dtl,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_dtl,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_dtl,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_dtl,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_dtl_test,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_dtl_test,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_dtl_test,ag001,varchar,source_type=int(11); id
ods_mariadb_2b,ods_a168_agent_dtl_test,ag002,varchar,source_type=int(11); 類別
ods_mariadb_2b,ods_a168_agent_dtl_test,ag003,varchar,"source_type=decimal(16,2); 退水"
ods_mariadb_2b,ods_a168_agent_dtl_test,ag004,varchar,source_type=int(11); 最小押分
ods_mariadb_2b,ods_a168_agent_dtl_test,ag005,varchar,source_type=int(11); 最大押分
ods_mariadb_2b,ods_a168_agent_dtl_test,ag006,varchar,source_type=int(11); 押分倍數
ods_mariadb_2b,ods_a168_agent_dtl_test,ag007,varchar,source_type=int(11); 最大押分02
ods_mariadb_2b,ods_a168_agent_dtl_test,ag008,varchar,source_type=int(11); 最大押分03
ods_mariadb_2b,ods_a168_agent_dtl_test,ag009,varchar,source_type=int(11); 最大押分04
ods_mariadb_2b,ods_a168_agent_dtl_test,ag010,varchar,source_type=int(11); 最大押分05
ods_mariadb_2b,ods_a168_agent_dtl_test,ag011,varchar,source_type=int(11); 最大押分06
ods_mariadb_2b,ods_a168_agent_dtl_test,ag012,varchar,"source_type=decimal(16,2); 佔成"
ods_mariadb_2b,ods_a168_agent_dtl_test,ag013,varchar,source_type=int(11); 選則限紅（BIT）
ods_mariadb_2b,ods_a168_agent_dtl_test,ag014,varchar,source_type=varchar(300); 新版限額
ods_mariadb_2b,ods_a168_agent_dtl_test,ag015,varchar,"source_type=decimal(16,2); 電投退水"
ods_mariadb_2b,ods_a168_agent_dtl_test,ag016,varchar,source_type=int(3); 電投佔成
ods_mariadb_2b,ods_a168_agent_dtl_test,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_dtl_test,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_dtl_test,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_dtl_test,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_elec,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_elec,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_elec,id,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_elec,gid,varchar,source_type=int(11); 
ods_mariadb_2b,ods_a168_agent_elec,profitRate,varchar,"source_type=decimal(3,2); "
ods_mariadb_2b,ods_a168_agent_elec,pot,varchar,"source_type=decimal(16,4); "
ods_mariadb_2b,ods_a168_agent_elec,potLock,varchar,source_type=tinyint(1); 
ods_mariadb_2b,ods_a168_agent_elec,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_elec,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_elec,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_elec,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_partner_gamelist,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_partner_gamelist,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_partner_gamelist,agent_id,varchar,source_type=int(11); 代理 id
ods_mariadb_2b,ods_a168_agent_partner_gamelist,code,varchar,source_type=int(11); 第三方遊戲代碼
ods_mariadb_2b,ods_a168_agent_partner_gamelist,gamelist_id,varchar,source_type=int(11); 第三方遊戲 id
ods_mariadb_2b,ods_a168_agent_partner_gamelist,status,varchar,source_type=int(11); 開關
ods_mariadb_2b,ods_a168_agent_partner_gamelist,orders,varchar,source_type=int(11); 順序
ods_mariadb_2b,ods_a168_agent_partner_gamelist,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_partner_gamelist,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_partner_gamelist,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_partner_gamelist,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_permissionrole,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_mariadb_2b,ods_a168_agent_permissionrole,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_mariadb_2b,ods_a168_agent_permissionrole,id,varchar,source_type=int(11); id
ods_mariadb_2b,ods_a168_agent_permissionrole,permissionid,varchar,source_type=int(11); t_permission id
ods_mariadb_2b,ods_a168_agent_permissionrole,status,varchar,source_type=int(11); 0:禁用;1啟用
ods_mariadb_2b,ods_a168_agent_permissionrole,lv1,varchar,source_type=bit(1); 
ods_mariadb_2b,ods_a168_agent_permissionrole,lv2,varchar,source_type=bit(1); 
ods_mariadb_2b,ods_a168_agent_permissionrole,lv3,varchar,source_type=bit(1); 
ods_mariadb_2b,ods_a168_agent_permissionrole,lv4,varchar,source_type=bit(1); 
ods_mariadb_2b,ods_a168_agent_permissionrole,lv5,varchar,source_type=bit(1); 
ods_mariadb_2b,ods_a168_agent_permissionrole,lastmodifytime,varchar,source_type=timestamp; 最後修改時間
ods_mariadb_2b,ods_a168_agent_permissionrole,source_db,varchar,来源库
ods_mariadb_2b,ods_a168_agent_permissionrole,source_table,varchar,来源表
ods_mariadb_2b,ods_a168_agent_permissionrole,ods_table_name,varchar,ODS表名
ods_mariadb_2b,ods_a168_agent_permissionrole,sync_time,datetime,同步时间
ods_mariadb_2b,ods_a168_agent_sub,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
