bet05,avg_players,max_players
128066655,238341.4756097561,238523
136014758,769572.0,769572
137430225,176709.89752306946,769572
128420141,187313.25714285715,267852
147908767,197410.50489157843,769572
147820422,258261.87323943662,769572
129378833,234949.7842069435,769572
146283157,224288.06181318683,769572
147644249,134564.0,134564
147643277,395863.9839572192,769572
78012096,219457.75757575757,267852
130084710,410839.2820295983,769572
147269860,219150.56697819315,769572
147644102,769572.0,769572
147644855,180042.0229540918,769572
147644859,769572.0,769572
141802432,267852.0,267852
6099271,152647.24804177546,769572
147572565,267852.0,267852
141303900,341762.15789473685,769572
146844660,131726.39393939395,238523
147645024,769572.0,769572
129363147,300003.237704918,769572
147645145,128447.0,128447
125555111,260410.52874327844,769572
145945624,283265.0693877551,769572
146622559,179614.97619047618,769572
146383195,199717.24074074073,769572
74009337,284309.4215116279,769572
129542359,769572.0,769572
121423920,223786.87974683545,769572
130501207,208586.25,267852
139461250,228811.70153417016,769572
148003630,204748.2,267852
130716733,409229.9886877828,769572
148003754,769572.0,769572
147783484,769572.0,769572
6053518,406401.7860906217,769572
146890987,143706.4019607843,769572
148000368,188576.125,250168
134066111,482411.4526735304,769572
118957156,169782.89855072464,769572
147915950,122945.18005181347,769572
148003702,226979.15,267852
134156327,171149.07677165355,769572
145532884,769572.0,769572
147812436,207530.2258064516,238523
147358782,194110.87898089172,769572
147516679,257256.74267882862,769572
137021703,191980.1818101232,769572
55293277,174972.50204319906,769572
147124558,465375.4285714286,769572
130990730,196321.6286407767,769572
121337822,200373.07441860466,769572
147808492,234369.81012658228,769572
123339205,206360.86956521738,769572
139384973,231565.88626609443,769572
147756776,769572.0,769572
99084612,560900.8995381063,769572
124228898,264461.32242757245,769572
146741023,185196.0,185196
147658878,670034.7391304348,769572
61683057,240540.58333333334,769572
147808971,769572.0,769572
147916859,547274.8373702422,769572
136709236,245698.34003831417,769572
147642203,164689.95377438507,769572
147940092,267852.0,267852
113845821,189763.6253071253,769572
109489505,413412.3304943529,769572
7017250,417180.7829850746,769572
147940093,769572.0,769572
147940002,393454.962962963,769572
113792975,204681.8404255319,769572
144888397,231028.5890040559,769572
146408394,268662.2465057179,769572
147940816,247434.65,769572
147935965,165007.30687830687,769572
63463512,173144.65716822507,769572
109425364,728255.75,769572
147940916,769572.0,769572
129629157,623347.3536977492,769572
147383138,573922.3684210526,769572
140492324,179243.6692913386,267852
137539839,180943.49274336282,769572
147647914,486138.43538767396,769572
66383202,177974.578313253,769572
123159833,507425.6274509804,769572
115394751,106379.66233766233,267852
123055197,250313.63829787233,769572
147066239,701378.9,769572
147741599,113882.4,185196
143363017,126761.9583984375,769572
139565966,185196.0,185196
147561981,305030.51485148515,769572
146912089,769572.0,769572
136621918,444163.0739130435,769572
123911243,455282.85714285716,769572
147649415,769572.0,769572
117406515,267426.7186661556,769572
147647789,149645.9024390244,267852
132911827,333136.81967213115,769572
146368447,241969.34615384616,250168
145919835,177065.0,219566
123221535,167656.9347826087,267852
147649784,250168.0,250168
147010439,744841.9302325582,769572
147645760,204943.86184210525,769572
147647695,300169.3548387097,769572
107880141,188328.60118694362,769572
147595441,284385.97222222225,769572
145862524,315798.08725761774,769572
146662594,348473.28571428574,769572
147650242,769572.0,769572
145706738,184183.95172413794,769572
145947316,388947.6,769572
146398643,228043.44339025932,769572
147810677,769572.0,769572
147933441,145521.35640138408,267852
142020803,255452.13987473905,769572
118434867,769572.0,769572
147933939,769572.0,769572
147165208,207518.0,219566
116422613,263600.09589041094,769572
146502160,231197.3317535545,267852
146207153,724886.25,769572
145830978,769572.0,769572
147982453,189750.22619047618,769572
144868602,142732.0909090909,267852
148008309,769572.0,769572
134711505,204854.04444444444,250168
129726708,769572.0,769572
148008588,769572.0,769572
145637389,224442.37037037036,769572
147600501,218414.44400199104,769572
129481885,294017.3452157598,769572
147088837,164571.75,185196
148008236,769572.0,769572
143234580,205121.72775397025,769572
64451542,359788.47107438016,769572
140699845,246037.64338304702,769572
147867727,161866.24045261668,769572
136137433,410434.83304195805,769572
140242749,769572.0,769572
142015317,756064.0671370537,769572
110594688,247963.182767624,769572
147688365,769572.0,769572
119969344,178581.1749249249,769572
142917949,299099.9201183432,769572
69064280,411929.7446010377,769572
143966288,423458.8747833622,769572
