uid,bet01_笔数,bet01_投注额,daily_笔数_跨产品汇总,daily_金额_跨产品汇总,当天涉及产品数,笔数倍差_修正后
150934891,4,297.9,37,1269.0000,1,9.25
151193437,6,852.277,55,4315.0000,1,9.17
147164982,22,44023.135,201,84529.0000,1,9.14
142640070,34,3710.1000000000004,310,5712.0000,1,9.12
152549289,1,10.87,9,110.0000,1,9.0
148531650,1,38.36,9,3964.0000,1,9.0
153110885,1,206.7401,9,578.0000,1,9.0
148418468,1,11.5,9,208.0000,1,9.0
145303050,1,3.39,9,17.0000,1,9.0
126539730,1,15.36,9,197.0000,1,9.0
145623566,1,24.1,9,930.0000,1,9.0
129426778,1,18.5,9,341.0000,1,9.0
147452472,1,23003.11,9,1800.0000,1,9.0
97560937,2,594.45,18,18782.0000,1,9.0
151654117,1,5.1825,9,250.0000,1,9.0
149183569,1,6450.0,9,76650.0000,1,9.0
152540920,5,133.25,44,1705.0000,1,8.8
151753312,9,1111.55,79,2413.0000,1,8.78
151170015,112,55107.6,978,138472.0000,1,8.73
142880651,15,151691.25,131,152081.0000,1,8.73
108941758,7,12482.550000000001,61,94905.0000,2,8.71
102288889,13,14355.609999999999,113,32992.0000,1,8.69
132266683,25,48980.18000000001,217,107101.0000,1,8.68
152954903,3,141.10999999999999,26,550.0000,1,8.67
145649679,3,130.0418,26,1615.0000,1,8.67
151091118,3,3091.92,26,6461.0000,1,8.67
153098553,3,494.59800000000007,26,96504.0000,1,8.67
89353522,74,78461.64000000001,639,174880.0000,1,8.64
150189255,14,4522.72,121,8330.0000,1,8.64
142325431,13,2243.6600000000003,112,11797.0000,1,8.62
142274345,10,1093.8,86,1040.0000,1,8.6
87578055,5,472155.0,43,11020000.0000,1,8.6
150516016,7,333.09,60,2715.0000,1,8.57
148030627,13,23090.92,111,104495.0000,1,8.54
88372450,2,8420.8,17,125314.0000,1,8.5
153092425,4,216.35999999999999,34,11117.0000,1,8.5
150161750,2,91.0,17,2652.0000,1,8.5
151181023,29,14665.0,246,168857.0000,1,8.48
118928120,9,901.1213999999999,76,53140.0000,1,8.44
15225807,5,122.8,42,444.0000,1,8.4
151533465,30,27872.4,252,64204.0000,1,8.4
150809271,57,27080.84,477,56698.0000,1,8.37
150917947,3,182.12,25,3715.0000,2,8.33
62593062,3,50.46,25,620.0000,1,8.33
94154241,3,621.41,25,995.0000,1,8.33
144280884,24,168177.12,200,75800.0000,1,8.33
115822008,297,1421273.8,2465,373175.0000,1,8.3
148991588,17,1028.5,141,3437.0000,1,8.29
153056783,11,13486.36,91,6680.0000,1,8.27
151683012,57,15566.320299999998,471,21969.0000,1,8.26
148758187,9,6825.170000000001,74,7715.0000,1,8.22
152032025,39,130600.0,320,268500.0000,1,8.21
149446176,29,15008.450000000003,238,32988.0000,1,8.21
148403576,5,1655.78,41,2585.0000,1,8.2
125559706,25,2346500.0,204,55910000.0000,1,8.16
151693114,62,6854.5,505,14958.0000,1,8.15
122213601,7,1070.3300000000002,57,50219.0000,2,8.14
152570990,16,32848.48,130,298830.0000,1,8.13
117231930,14,2648.42,113,14269.0000,1,8.07
31863993,17,12412.55,137,25920.0000,1,8.06
22469149,1,60.0042,8,240.0000,1,8.0
151830376,1,151.68,8,549.0000,1,8.0
144379355,2,5860.0,16,1505.0000,1,8.0
71235534,1,98.54,8,2481.0000,1,8.0
150042726,1,20.35,8,550.0000,1,8.0
152201669,3,30165.61,24,1520.0000,1,8.0
135474607,2,51.3986,16,287.0000,1,8.0
151551607,1,200.5644,8,730.0000,1,8.0
92286530,1,100.0,8,253.0000,2,8.0
153091276,1,8.6,8,66.0000,1,8.0
137070988,1,884.59,8,380.0000,1,8.0
152525076,3,19035.399999999998,24,23796.0000,1,8.0
102929212,2,8000.6,16,75018.0000,1,8.0
132037757,7,112510.0,56,171500.0000,1,8.0
147450456,1,33.65,8,1734.0000,1,8.0
141942795,3,46.11,24,1046.0000,1,8.0
148448032,1,156.71,8,11639.0000,1,8.0
153110675,2,109.91,16,783.0000,1,8.0
142389257,1,102.5,8,551.0000,1,8.0
151302855,1,12.22,8,263.0000,1,8.0
91314423,3,120.6867,24,320.0000,1,8.0
76928716,6,406.52000000000004,48,1068.0000,1,8.0
153095109,1,25.77,8,191.0000,1,8.0
136468814,7,11172.300000000001,56,23844.0000,1,8.0
152602765,1,4805.21,8,3630.0000,1,8.0
142320538,1,14.28,8,576.0000,1,8.0
144285296,6,3602.82,48,10091.0000,1,8.0
152957330,24,12208.8,191,34771.0000,1,7.96
122782497,20,254652.0,158,762367.0000,1,7.9
149882096,10,968.35,79,48519.0000,1,7.9
130782645,17,4681.22,133,9735.0000,1,7.82
