__source_pk,dt,bet01,op,optime,source_db,source_table,ods_table_name,sync_time
2965532940|249|2022-09-22 15:22:45,2022-09-22,2965532940,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965573658|249|2022-09-22 15:22:45,2022-09-22,2965573658,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965576397|249|2022-09-22 15:22:45,2022-09-22,2965576397,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965632091|249|2022-09-22 15:22:45,2022-09-22,2965632091,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965642661|249|2022-09-22 15:22:45,2022-09-22,2965642661,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965644287|249|2022-09-22 15:22:45,2022-09-22,2965644287,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965657704|249|2022-09-22 15:22:45,2022-09-22,2965657704,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965666143|249|2022-09-22 15:22:45,2022-09-22,2965666143,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965675454|249|2022-09-22 15:22:45,2022-09-22,2965675454,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965683667|249|2022-09-22 15:22:45,2022-09-22,2965683667,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965704398|249|2022-09-22 15:22:45,2022-09-22,2965704398,249,2022-09-22 15:22:45,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965716262|249|2022-09-22 15:14:23,2022-09-22,2965716262,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965752993|249|2022-09-22 15:14:23,2022-09-22,2965752993,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965759482|249|2022-09-22 15:14:23,2022-09-22,2965759482,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965769443|249|2022-09-22 15:14:23,2022-09-22,2965769443,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965771528|249|2022-09-22 15:14:23,2022-09-22,2965771528,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965774699|249|2022-09-22 15:14:23,2022-09-22,2965774699,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965792620|249|2022-09-22 15:14:23,2022-09-22,2965792620,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965806004|249|2022-09-22 15:14:23,2022-09-22,2965806004,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965809126|249|2022-09-22 15:14:23,2022-09-22,2965809126,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965830078|249|2022-09-22 15:14:23,2022-09-22,2965830078,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965838057|249|2022-09-22 15:14:23,2022-09-22,2965838057,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965841171|249|2022-09-22 15:14:23,2022-09-22,2965841171,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965862184|249|2022-09-22 15:14:23,2022-09-22,2965862184,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965872723|249|2022-09-22 15:14:23,2022-09-22,2965872723,249,2022-09-22 15:14:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965914911|249|2022-09-22 15:17:59,2022-09-22,2965914911,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965930095|249|2022-09-22 15:17:59,2022-09-22,2965930095,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2965972790|249|2022-09-22 15:17:59,2022-09-22,2965972790,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966000150|249|2022-09-22 15:17:59,2022-09-22,2966000150,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966001704|249|2022-09-22 15:17:59,2022-09-22,2966001704,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966033477|249|2022-09-22 15:17:59,2022-09-22,2966033477,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966034777|249|2022-09-22 15:17:59,2022-09-22,2966034777,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966054505|249|2022-09-22 15:17:59,2022-09-22,2966054505,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
