__source_pk,dt,roleid,permissionid,status,lastmodifytime,source_db,source_table,ods_table_name,sync_time
fc94b90af4c4ed9c63e5fad10654fe06,2025-05-14,22,80,0,2025-05-14 19:30:55,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
10a58caf8a7c8866393e16220aff67bf,2021-03-27,3,18,1,2021-03-27 18:09:14,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b7b92fc73d5360b49b5fc6f6ea928f68,2021-03-27,13,11,1,2021-03-27 19:43:33,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
50e6f81d8cab50b9a7f8e0f1bb64a5d4,2026-06-27,23,125,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
6d44e340c835af6d4a0b03924ea7d7a1,2026-06-27,23,127,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
8048581886ef316a9503b80f5b4d7d24,2026-06-27,23,63,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
99a8a377254ac9ac5ad2b98843167276,2026-06-27,23,89,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
9e8ba04ba89ff204c2c872fb6c3d131b,2026-06-27,23,129,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a8b2f7cbd94b93a0ca3dedb8f6d7fadf,2026-06-27,23,50,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bdc5015e07bec0fb2ad842af81293aca,2026-06-27,23,71,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f098eac9279f7f20456948040c05e348,2026-06-27,23,55,1,2026-06-27 15:22:07,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a2f5378abe6d0db13841981bf5b04055,2020-12-01,36,50,1,2020-12-01 11:20:16,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bb43b119a6e25d8c563c0e426cdb06d6,2020-12-01,36,18,1,2020-12-01 11:20:16,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c6fe8003a4e2db98e8ca697425d2d09d,2020-12-01,36,80,0,2020-12-01 11:20:16,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
686ff3d8173b7a02767a4bc1ccdbcc0d,2018-10-05,1,40,0,2018-10-05 17:01:00,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
106b3c79161c110c9037d4877afd346d,2019-07-03,19,52,1,2019-07-03 00:07:08,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1a28de95e8f294ed6dc2b626d28220ac,2019-07-03,19,18,1,2019-07-03 00:07:08,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
33d1b970a1dd7a10b89af03a23ae7b7b,2019-07-03,19,61,1,2019-07-03 00:07:08,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
3a02538d9abc8bb2afac5ac25bac98b6,2019-07-03,15,49,1,2019-07-03 00:13:56,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
48c67999c6ce2094d14adca263298382,2019-07-03,15,73,1,2019-07-03 00:13:56,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7d10460b4edfc31f7c7540dda3b43104,2019-07-03,15,51,1,2019-07-03 00:13:56,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a7f723620ce0bb2255cddd530cf4d9a7,2019-07-03,16,15,1,2019-07-03 00:06:50,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e8d0d930e7436f22a15306679fe579d7,2019-07-03,16,43,1,2019-07-03 00:06:50,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f2a0237fdd98ebdafaf9620caa21762a,2019-07-03,16,11,0,2019-07-03 00:06:50,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
119cd58c0947d343a7138884a4dc0412,2019-11-26,2,52,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1d76496aa22bc519c09d9521b12a59bb,2019-11-26,2,10,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
295796cf85bf61f5128fb4715db399b9,2019-11-26,2,14,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c7366c7edd2a05c4c6099ab9a72147a5,2019-11-26,2,32,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
77ea8eb5f63b1381994619270c65532b,2024-12-04,22,69,0,2024-12-04 06:11:10,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
003057e60397a501d539d54d5f299a12,2019-01-10,19,20,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
d133378ec4c01e9a0f76f9fe17603f1b,2019-01-10,19,43,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
66916ab7c09338cfdddec194362cb8ec,2021-03-03,24,63,0,2021-03-03 08:37:31,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
3feab1efffcfa95d6b4d1986f2b86f7b,2025-03-12,27,134,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
43090f8f3a6c583f8f15bc6e82d1c043,2025-03-12,27,92,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
aa4862394a008fd716df7c74c511d143,2025-03-12,27,7,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
dfbe047520878d5a2cacb95758e4f215,2025-03-12,27,124,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e7d8c43f4c772d72e712ca300a9e6a3b,2025-03-12,27,44,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
cbe801159cae2c06543a49652ee38236,2022-10-31,40,50,1,2022-10-31 19:31:01,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
aadbb87f72a1105aa679fa09c409c8fd,2025-03-10,43,134,1,2025-03-10 19:57:36,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
55df30c07e5b826445df67c6e534b503,2025-03-26,21,86,0,2025-03-26 10:23:12,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
0c032274c795a6eaa91c1315cae07111,2025-08-19,45,134,1,2025-08-19 22:20:17,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
