subnet_24,n_ip,n_member,n_lv3_chain,n_orders,stake,game_pnl,valid_bet
171.241.185.0/24,3,5,4,21,455.1424304426,-219.7561951402,449.9532861325
117.183.161.0/24,10,5,5,176,52178.0000000000,4443.1000000000,50130.0000000000
21.142.30.0/24,4,5,1,62,1212.3322200112,-14.1041580102,1150.4307685949
113.53.158.0/24,5,5,3,328,4504.6514756695,-485.9132767055,4014.4956606853
120.85.115.0/24,5,5,2,70,1681.0000000000,34.5500000000,1496.0000000000
171.241.188.0/24,5,5,4,311,27243.9951754045,-673.4818444197,24049.1626793744
1.54.74.0/24,7,5,2,222,3106.7587426500,-364.6729837206,2919.0220560239
21.235.118.0/24,5,5,3,34,603.3726970329,-163.5119748137,587.7131661734
171.235.185.0/24,5,5,5,97,2426.5897151513,-40.2038063578,2188.7462978574
221.14.66.0/24,14,5,3,440,139137.0000000000,-14921.7500000000,128656.0000000000
1.10.224.0/24,5,5,5,671,28098.4021470536,-732.1933569561,24239.9493337249
123.21.250.0/24,4,5,4,39,2555.3337606987,-154.5453618755,2189.1295888749
175.10.55.0/24,4,5,3,1318,108468.0000000000,1499.2500000000,101153.0000000000
171.108.121.0/24,5,5,3,21,1785.0000000000,136.1000000000,1291.0000000000
14.249.230.0/24,3,5,3,111,7346.7006805254,463.9374279545,6993.4704942905
21.171.186.0/24,4,5,2,59,3574.2154117702,668.5231737021,3168.4881128668
21.210.242.0/24,5,5,3,511,23207.7323479675,-542.9345006656,21458.9408668625
49.0.74.0/24,4,5,4,158,20941.2590118988,-1310.8448401092,19277.6256248512
116.106.193.0/24,2,5,1,837,6668.6496763842,-714.6515577104,6263.6581191440
21.250.179.0/24,4,5,3,123,12941.2582483410,-675.0470261833,11525.7480799494
21.172.36.0/24,4,5,4,28,1345.5670185442,26.8623656643,1309.5652698879
113.168.34.0/24,4,5,1,14,5695.6083510294,435.5768383757,5695.6083510294
14.252.120.0/24,2,5,4,68,641.8235714507,-6.8599308159,597.3356963253
123.26.10.0/24,4,5,3,25,505.0076228868,37.6408168281,441.0682577377
171.231.60.0/24,4,5,3,34,750.7847735358,-444.8433993579,737.6189099868
113.173.76.0/24,5,5,5,263,32674.1972283358,-4271.7640949153,28727.2661574592
113.179.118.0/24,3,5,3,25,1105.2536837502,-84.3469539948,931.4166688095
27.75.123.0/24,5,5,2,2284,137250.4632091162,4246.9899181027,123527.0293295574
113.162.115.0/24,5,5,4,48,5031.3487283984,-839.2615982637,4398.9376669836
27.72.57.0/24,2,5,2,219,43119.9850960471,-5742.5360218473,36733.3120794658
123.28.80.0/24,5,5,3,121,12426.7555281779,465.8192550321,11067.5256768805
39.9.106.0/24,5,5,3,269,11460.2404888137,275.7856225158,10520.6834922265
1.53.12.0/24,5,5,3,23,528.7428542702,-68.8896299780,420.3184104945
125.27.34.0/24,6,5,5,162,1921.8478523050,142.1062967416,1758.6780129957
203.96.242.0/24,17,5,3,221,4114.0175396580,921.7705289112,3673.2630062145
42.115.203.0/24,4,5,4,78,4328.2492617535,-304.7964251607,4033.9054883051
1.52.91.0/24,6,5,3,60,416.7680370059,119.6423790108,388.3684810717
182.0.243.0/24,5,5,4,38,2978.6225671287,794.3418454961,2824.3138259991
14.179.136.0/24,3,5,4,400,10809.5652727927,-471.9404101655,10048.5526947141
171.96.36.0/24,6,5,4,516,47848.1424305545,-5713.7662346771,43947.0699007545
21.191.177.0/24,3,5,2,16,700.1740873766,-511.3612462595,700.1740873766
182.52.212.0/24,4,5,5,323,8826.8261730314,-669.2586906238,8154.6278745335
83.118.20.0/24,2,5,4,168,2765.6756384317,-1891.4992366050,2697.5662963630
171.250.46.0/24,5,5,3,215,11857.9996389119,-663.0777392208,10732.6818928125
118.174.98.0/24,5,5,3,265,1248.3647369720,-130.9650532070,1167.7100008669
118.172.40.0/24,4,5,2,127,1335.7807022177,-259.6044360197,1268.3319019887
202.148.178.0/24,3,5,4,80,4305.9766477186,-788.8546525465,3525.5844805059
113.190.228.0/24,3,5,3,34,1124.8597218956,179.8657263699,1119.6961662712
113.66.39.0/24,4,5,4,29,1333.0000000000,387.7000000000,1281.0000000000
223.188.155.0/24,6,5,2,360,2896.3735187254,-239.1504900542,2560.9091751280
21.227.217.0/24,3,5,2,11,258.2609077787,-253.1178008278,253.1178008278
14.171.20.0/24,4,5,4,81,5240.4089130919,1487.6154725005,4723.0778984235
101.108.23.0/24,5,5,4,939,16492.4198475463,-138.6511295020,15437.3134480128
171.249.229.0/24,5,5,3,807,1092334.2609725262,-76589.6529946835,974439.2810495828
14.182.155.0/24,2,5,2,32,491.0609114474,-121.4564301233,419.8623144785
222.254.87.0/24,3,5,2,65,983.2361036284,77.7387513099,927.0229557866
115.79.5.0/24,4,5,2,150,13960.3675994329,3135.1927573965,11855.8957875286
113.176.26.0/24,3,5,3,109,1000.4326760014,26.4218489967,885.5807968844
14.189.94.0/24,5,5,3,26,610.7209995257,173.0007575978,610.7209995257
14.227.137.0/24,5,5,3,21,556.5107317945,52.0407860969,517.9374296627
154.196.229.0/24,1,5,2,4570,228607.2204089222,-17710.9120542593,197294.4199498597
14.190.5.0/24,3,5,3,232,12551.0595671390,438.9667584429,11137.8392091733
14.228.144.0/24,4,5,3,26,1413.3865517677,10.7311731823,1261.1898294224
180.93.233.0/24,3,5,3,35,1106.6876532116,231.9717870908,849.3645434266
113.164.254.0/24,5,5,4,294,9749.1392655851,2193.9044562082,8725.4998608945
180.72.16.0/24,2,5,3,43,3281.4026504404,-489.3001978776,3047.1218580201
1.0.232.0/24,6,5,3,300,59064.6570023084,-222.0886699469,47373.6659331982
116.102.126.0/24,4,5,1,11,384.5880552081,67.2484014249,219.8244647737
118.78.149.0/24,5,5,2,133,8056.0000000000,-1547.8000000000,7806.0000000000
14.165.216.0/24,5,5,4,351,10793.8720378832,-663.3633024456,9087.5123031045
123.26.130.0/24,5,5,4,304,18072.0103363745,-1675.9114993296,16308.6687641511
183.80.119.0/24,4,5,2,39,897.5569926808,-309.4357284611,795.0973038345
118.201.240.0/24,4,5,4,275,72676.7141343805,-11272.1711166864,64836.7617773448
14.251.80.0/24,5,5,3,20,634.4022423947,-418.7774834779,618.9729215420
120.32.141.0/24,3,5,3,15,1290.0000000000,401.8000000000,1290.0000000000
183.46.69.0/24,6,5,5,58,1851.0000000000,-545.6500000000,1632.0000000000
116.99.218.0/24,5,5,3,64,600.9929393825,-85.0038132876,461.9300597968
171.245.213.0/24,5,5,3,21,337.2096361791,58.7423085459,290.7018178949
112.209.79.0/24,6,5,2,483,124978.3811138133,6806.0025166872,113943.0815928339
27.247.41.0/24,5,5,5,82,4515.4043273638,72.8326627166,4288.0229920458
27.240.59.0/24,5,5,3,477,240519.0293347414,22992.1549053922,226756.1165498309
21.208.184.0/24,3,5,2,18,156.3683430681,-68.0768415774,143.2803656841
157.32.201.0/24,8,5,4,95,196.9155166344,-47.8723908212,189.8728076348
113.169.61.0/24,3,5,5,29,473.8018620587,96.5075948506,457.2128739870
171.249.233.0/24,5,5,4,44,3378.8222128641,-1397.0034771401,3221.7664842564
117.2.82.0/24,2,5,2,391,11092.4494072786,2400.1410556373,10001.1269994421
125.24.31.0/24,5,5,5,349,29237.1253311977,1.5904825724,26491.9986217214
1.54.41.0/24,5,5,4,712,30100.2759352616,-56.1592809041,26753.1856397091
14.165.178.0/24,4,5,3,98,4459.3642767406,334.3092665569,4051.7237442022
14.240.203.0/24,4,5,3,123,3487.6829692981,-221.3312031586,3122.0022958782
49.148.116.0/24,2,5,3,86,1035.9481498898,-9.0939773829,913.3140557794
113.180.41.0/24,5,5,5,20,529.6321231577,-228.4796093628,508.8755459173
116.102.239.0/24,5,5,3,155,23400.3759402093,3758.0386132213,20280.4910997420
39.158.51.0/24,6,5,1,86,9212.0000000000,1199.4500000000,8420.0000000000
183.80.219.0/24,5,5,4,110,24992.6829814267,-6472.6488006382,22134.3696200589
112.97.208.0/24,6,5,2,75,6141.0000000000,-1131.9000000000,5531.0000000000
171.245.83.0/24,5,5,4,62,730.0357786738,-90.6088325389,666.5184078300
14.240.144.0/24,2,5,2,40,1932.3757639342,-566.8339990551,1684.1646600736
114.137.220.0/24,4,5,4,113,5512.3233387794,-910.5242418834,5073.2905086396
182.1.194.0/24,7,5,4,250,2498.9811387272,-428.4691160657,2250.6325647456
113.172.166.0/24,5,5,2,73,456.3173749096,-15.9143316034,413.3724318695
110.227.59.0/24,4,5,1,24,293.8411577026,17.4125455790,285.2951230627
123.22.199.0/24,5,5,4,89,24837.6487858868,-1530.7771724712,21522.6869723671
14.235.10.0/24,3,5,3,60,1245.0550732629,-226.9532139826,1043.2293637952
21.206.9.0/24,4,5,4,38,3151.4345882574,-390.0045118217,3145.7771706114
14.169.33.0/24,5,5,4,416,18364.3462242864,-186.0541346617,16704.7848954887
218.252.116.0/24,4,5,3,260,58583.1270949721,-8322.4770949721,51580.1270949721
157.48.68.0/24,6,5,2,39,749.4293856580,-58.9032682585,710.1261757927
27.74.108.0/24,4,5,3,138,5526.5609042336,-638.2310733149,5245.6169873903
180.180.232.0/24,5,5,4,1590,52258.6934527789,-1847.7087845530,49322.8609617578
27.75.196.0/24,5,5,4,41,1163.6854634310,-316.6563252290,1057.8325731308
171.250.75.0/24,3,5,5,362,9736.3643393728,617.7150015780,8644.8525964674
118.173.116.0/24,4,5,4,162,2921.5816239407,-33.1367094233,2788.0354787977
14.232.218.0/24,4,5,2,40,1922.4975296732,-813.3329397168,1612.8886789439
14.146.0.0/24,5,5,3,187,22601.0000000000,-1171.9000000000,20615.0000000000
113.186.244.0/24,2,5,3,12,122.7173514703,-33.4285471770,78.3531233508
118.69.120.0/24,4,5,2,83,626.6697070611,-125.5641348468,577.2230137776
14.172.134.0/24,4,5,3,6,116.1397122288,-64.7086427198,116.1397122288
21.241.237.0/24,4,5,5,117,6849.6858212852,93.5164600793,6517.6425922018
14.255.28.0/24,5,5,3,51,9538.5463734754,-2149.4524145079,8454.1032040686
113.164.221.0/24,4,5,2,141,2675.6575461227,-163.2286156725,2188.3908979585
27.149.74.0/24,5,5,3,109,3466.0000000000,-1050.8000000000,2976.0000000000
111.181.10.0/24,5,5,3,192,6554.0000000000,-605.0000000000,6189.0000000000
14.234.99.0/24,4,5,3,62,1562.1942231135,-116.3858001001,1329.0740467121
171.107.235.0/24,5,5,4,110,6230.0000000000,464.2000000000,5539.0000000000
125.26.147.0/24,5,5,5,105,714.4861149453,-52.8912857874,691.2256997600
222.254.79.0/24,4,5,4,77,1183.4277453985,-252.4622327527,1139.9803956868
21.194.187.0/24,4,5,3,35,1178.0823974502,366.1945139810,1024.1046843328
113.168.202.0/24,5,5,3,67,9154.9965336052,350.4377382066,7140.9818328411
183.228.22.0/24,3,5,3,33,12038.1709534923,372.2980389434,12038.1709534923
14.177.255.0/24,5,5,4,33,643.8498252736,-323.3436298852,589.6324912174
14.176.12.0/24,3,5,3,126,1270.5440387553,40.9087276196,1149.2004815819
36.98.29.0/24,5,5,4,133,249239.0000000000,-45323.5500000000,228239.0000000000
123.21.235.0/24,4,5,4,173,18390.7279965299,-699.1607816861,17964.6417342867
106.224.174.0/24,5,5,2,39,6845.0000000000,-1459.0000000000,5881.0000000000
21.170.193.0/24,5,5,4,165,45876.4994955340,1125.8862537367,40280.5050819129
14.183.246.0/24,4,5,3,11,554.5573171036,-252.1599324323,554.5573171036
118.71.231.0/24,5,5,2,47,9120.9245393950,2401.7324380281,9059.2194093203
42.75.120.0/24,6,5,5,373,15968.2892755546,98.0688288462,14077.1106890410
118.232.1.0/24,5,5,4,334,20585.0548813691,328.4071092986,19018.6006038923
223.153.73.0/24,5,5,3,337,72442.0000000000,148.3500000000,64969.0000000000
113.169.169.0/24,3,5,2,552,3186.4379615113,-18.3050914624,2954.0773086938
21.199.16.0/24,5,5,5,15,333.5578704985,118.6797439333,333.5578704985
1.0.229.0/24,5,5,5,13,3220.1007489589,-263.8998495684,3009.2770608093
114.137.153.0/24,5,5,5,369,45235.3772166344,-314.8825024339,43307.5562743709
14.243.140.0/24,3,5,2,101,1567.6205834697,-317.1329428421,1378.8360266369
14.247.78.0/24,3,5,4,408,36318.4312025999,-2381.5313958887,31230.6126514129
21.237.102.0/24,5,5,4,180,16110.8959665788,503.7525076777,13517.9842761167
183.81.101.0/24,5,5,4,40,528.0057168768,130.1312061448,517.5353349696
140.240.68.0/24,5,5,4,113,12110.0000000000,-644.1500000000,11080.0000000000
180.136.12.0/24,5,5,4,42,1255.0000000000,-156.3000000000,1189.0000000000
14.232.123.0/24,4,5,3,62,4015.6157516793,-742.3424394486,3697.7806626856
14.231.93.0/24,5,5,4,36,597.8085087510,-85.8217354434,559.0818415680
119.93.8.0/24,3,5,2,188,2152.1288869909,51.0115471976,1859.0319502027
123.20.208.0/24,5,5,4,260,2665.7824278517,-989.3055874299,2517.8716180280
21.192.175.0/24,5,5,3,414,7671.7749211274,161.9996416469,6770.1333795172
113.179.144.0/24,3,5,4,32,366.6922145961,-246.2607508723,340.5162598281
116.99.220.0/24,4,5,3,11,235.0777560448,76.9555501338,235.0777560448
14.188.28.0/24,4,5,4,48,3200.1651874287,31.2137401006,2678.1297138015
123.25.64.0/24,5,5,2,13,364.3145580455,-210.1751868093,364.3145580455
14.234.150.0/24,5,5,3,516,15225.8953079445,-321.9051311615,14278.3828508669
36.142.75.0/24,5,5,3,117,8897.0000000000,-555.1500000000,7877.0000000000
112.92.81.0/24,4,5,3,47,41387.0061868564,-12376.0102283475,40445.6802750484
120.235.200.0/24,7,5,4,608,39995.0000000000,-379.9500000000,36085.0000000000
14.178.97.0/24,4,5,2,15,5979.8458975337,-3398.0680853322,3398.0680853322
21.38.232.0/24,5,5,4,10,618.0158818916,-575.3896384588,612.7806909380
21.235.110.0/24,5,5,3,91,16294.6623092270,-196.0996084088,14381.4248020918
21.46.103.0/24,4,5,3,27,1577.7439980902,-539.1118379556,1536.1922430546
42.118.2.0/24,3,5,4,57,34053.2650909359,-73.5721418939,31432.7472143337
171.232.221.0/24,4,5,4,240,6956.2599795895,352.9958380230,6322.8018742046
