bet_ip,n_member,n_lv3_chain,member_per_chain,n_orders,stake,game_pnl,net_pnl
113.185.74.82,26,11,2.3636364,356,19531.2889569135,-866.3173819196,-856.3356817033
42.113.201.197,26,11,2.3636364,210,7399.6789981879,298.8803730047,298.8803730047
42.114.44.52,26,11,2.3636364,822,19310.2903493779,-2121.4469670608,-2121.4469670608
113.185.46.140,26,11,2.3636364,265,14777.3779064654,-2039.3387023481,-2039.3387023481
113.185.46.182,26,11,2.3636364,182,12966.6046197987,-722.7657281141,-722.7657281141
113.185.46.239,26,11,2.3636364,409,29471.4289146154,942.0919999030,942.0919999030
117.20.154.118,26,11,2.3636364,1197,101911.8587101358,-17585.0073608611,-17563.6339356091
113.185.44.97,26,11,2.3636364,177,29996.5535546557,-237.3319904852,-237.3319904852
171.253.235.115,26,11,2.3636364,507,24106.2926650357,-2517.1334683555,-2517.1334683555
113.185.77.223,26,11,2.3636364,478,21890.9068417410,-3443.6895500718,-3434.4069116929
113.185.41.204,26,11,2.3636364,693,36044.3355221617,4080.3783422490,4080.3783422490
104.28.159.63,26,11,2.3636364,321,49398.3635830717,-15422.4190188046,-15341.1101821666
49.49.225.88,26,11,2.3636364,1028,63661.4970145762,6852.2267640493,7116.2922378813
122.11.245.13,26,11,2.3636364,1593,196286.4844060831,4075.0336561064,4209.8082650251
113.185.73.169,26,11,2.3636364,362,12919.2944670376,577.7409281732,577.7409281732
113.185.47.167,26,11,2.3636364,312,30333.6287609413,3478.6042187452,3478.6042187452
42.113.203.88,26,11,2.3636364,327,25034.6928056389,-8849.5877325277,-8849.5877325277
49.49.225.135,26,11,2.3636364,780,29924.2097366724,2966.9644734398,2966.9644734398
117.20.154.50,33,14,2.3571429,1332,235095.0296148750,-35311.2555443356,-34692.8510150056
49.49.225.25,33,14,2.3571429,1795,23688.9335475709,-1963.3305072648,-1960.2642438935
49.49.225.217,33,14,2.3571429,1107,15693.4703801077,-4126.8777659080,-4052.7471801940
49.49.225.233,33,14,2.3571429,564,22985.3431891279,1168.9721220101,1187.9207074483
113.185.45.161,21,9,2.3333333,291,177853.3704583729,-25712.2687888007,-25712.2687888007
49.49.225.36,28,12,2.3333333,543,13851.5479980497,167.1378719469,180.5658643397
113.185.74.33,21,9,2.3333333,478,10951.0429402559,-1964.2041905396,-1964.2041905396
113.185.46.127,21,9,2.3333333,377,23924.1297626783,-1999.6956865729,-1999.6956865729
113.185.79.132,21,9,2.3333333,187,14135.9441557474,783.7585729105,802.9101283922
113.185.77.138,21,9,2.3333333,235,73822.9970607463,-6519.5408011549,-6519.5408011549
103.199.69.245,21,9,2.3333333,2968,140423.1502806288,-6008.0941556987,-6008.0941556987
